arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
V0,mountainstreet,1,runaway,1,0,1,0,1,0,0,664
V0,mountainstreet,2,normal,0,0,3,2,0.7124,0.6549,7.088,678
V0,mountainstreet,3,normal,0,0,2,1,0.533,0.4229,4.592,681
V0,mountainstreet,4,normal,0,0,2,1,0.9032,1,10.4,651
V0,mountainstreet,5,normal,0,0,3,2,0.5635,1,11.2,701
V0,mountainstreet,6,runaway,1,0,1,0,1,0.1838,1.984,680
V0,mountainstreet,7,runaway,1,0,1,0,1,0.1973,2.08,664
V0,mountainstreet,8,normal,0,0,1,0,1,1,10.544,660
V0,mountainstreet,9,normal,0,0,1,0,1,0,0,695
V0,mountainstreet,10,normal,0,0,2,1,0.9455,1,10.544,660
V0,mountainstreet,11,runaway,1,0,1,0,1,0.0264,0.272,682
V0,mountainstreet,12,normal,0,0,1,0,1,0.0343,0.208,699
V0,mountainstreet,13,normal,0,0,2,1,0.5494,1,10.672,668
V0,mountainstreet,14,runaway,1,0,1,0,1,0,0,676
V0,mountainstreet,15,normal,0,0,3,2,0.5567,1,11.136,697
V0,mountainstreet,16,normal,0,0,2,1,0.657,0.8285,9.568,723
V0,mountainstreet,17,normal,0,1,4,3,0.3674,1,10.784,675
V0,mountainstreet,18,normal,0,0,2,1,0.9844,1,11.232,703
V0,mountainstreet,19,normal,0,1,4,4,0.4849,1,11.664,730
V0,mountainstreet,20,normal,0,0,1,0,1,0.5192,5.392,651
V0,mountainstreet,21,normal,0,0,1,0,1,0.4955,5.312,672
V0,mountainstreet,22,normal,0,0,2,1,0.8127,1,10.32,646
V0,mountainstreet,23,normal,0,0,1,0,1,0,0,682
V0,mountainstreet,24,normal,0,0,1,0,1,0.7876,7.536,659
V0,mountainstreet,25,normal,0,0,2,1,0.6788,0.8837,9.712,688
V0,mountainstreet,26,normal,0,0,2,1,0.9501,1,10.88,681
V0,mountainstreet,27,runaway,1,0,1,0,1,0.0279,0.288,681
V0,mountainstreet,28,normal,0,0,1,0,1,0.1362,1.488,690
V0,mountainstreet,29,normal,0,0,2,1,0.6677,0.6076,6.128,632
V0,mountainstreet,30,normal,0,1,4,3,0.5251,1,11.44,716
