arm,track,seed,v0Class,runaway,contest,distinctLeaders,leadChangeCount,maxLeadHoldShare,frontContestFraction,p1LongestMultiSec,windowFrames
V0,searound,1,runaway,1,0,1,0,1,0,0,1081
V0,searound,2,normal,0,0,2,1,0.5829,0.907,15.744,1086
V0,searound,3,normal,0,0,2,1,0.666,0.469,8.096,1081
V0,searound,4,runaway,1,0,1,0,1,0,0,1140
V0,searound,5,normal,0,0,2,2,0.6347,0.3903,7.216,1158
V0,searound,6,runaway,1,0,1,0,1,0,0,1126
V0,searound,7,normal,0,0,2,1,0.8585,0.7093,13.296,1173
V0,searound,8,runaway,1,0,1,0,1,0,0,1085
V0,searound,9,normal,0,0,2,1,0.7076,1,19.136,1197
V0,searound,10,normal,0,0,2,1,0.8679,0.549,9.76,1113
V0,searound,11,normal,0,0,1,0,1,0,0,1203
V0,searound,12,runaway,1,0,1,0,1,0.09,1.488,1045
V0,searound,13,normal,0,0,1,0,1,0.8111,14.688,1133
V0,searound,14,normal,0,0,3,2,0.506,1,18.608,1164
V0,searound,15,runaway,1,0,1,0,1,0,0,1068
V0,searound,16,normal,0,0,1,0,1,0.4069,7.744,1192
V0,searound,17,runaway,1,0,1,0,1,0,0,1089
V0,searound,18,runaway,1,0,1,0,1,0.0873,1.488,1077
V0,searound,19,normal,0,0,1,0,1,0,0,1128
V0,searound,20,runaway,1,0,1,0,1,0.1847,3.12,1061
V0,searound,21,normal,0,0,1,0,1,0,0,1054
V0,searound,22,normal,0,0,2,1,0.781,0.8456,15.056,1114
V0,searound,23,normal,0,0,1,0,1,0,0,1245
V0,searound,24,normal,0,0,2,1,0.672,1,18.96,1186
V0,searound,25,normal,0,0,1,0,1,0.6793,7.424,1138
V0,searound,26,normal,0,0,3,2,0.6633,0.6624,6.72,1087
V0,searound,27,normal,0,0,1,0,1,0,0,1120
V0,searound,28,normal,0,0,1,0,1,1,18.624,1165
V0,searound,29,normal,0,0,2,1,0.6085,1,17.232,1078
V0,searound,30,runaway,1,0,1,0,1,0,0,1064
V0,searound,31,runaway,1,0,1,0,1,0,0,1084
V0,searound,32,normal,0,0,3,2,0.6328,1,18.592,1163
V0,searound,33,normal,0,0,1,0,1,1,17.792,1113
V0,searound,34,runaway,1,0,1,0,1,0,0,1074
V0,searound,35,normal,0,0,2,1,0.526,1,17.2,1076
V0,searound,36,normal,0,0,1,0,1,0,0,1149
V0,searound,37,normal,0,0,1,0,1,0.3162,5.632,1167
V0,searound,38,normal,0,0,1,0,1,0.4429,7.872,1113
V0,searound,39,normal,0,1,4,3,0.4449,1,18.576,1162
V0,searound,40,runaway,1,0,1,0,1,0,0,1081
V0,searound,41,normal,0,0,2,1,0.5113,1,18.384,1150
V0,searound,42,normal,0,0,2,2,0.6762,1,19.504,1220
V0,searound,43,normal,0,1,4,4,0.4255,0.818,14.656,1121
V0,searound,44,normal,0,0,2,1,0.7352,0.7587,9.536,1152
V0,searound,45,normal,0,0,2,1,0.5563,1,17.04,1066
V0,searound,46,normal,0,0,2,1,0.553,0,0,1150
V0,searound,47,runaway,1,0,1,0,1,0,0,1066
V0,searound,48,normal,0,0,1,0,1,0.6405,11.872,1160
V0,searound,49,normal,0,0,2,2,0.8865,1,17.888,1119
V0,searound,50,normal,0,0,2,1,0.8941,1,18.576,1162
V0,searound,51,normal,0,0,2,1,0.8097,1,17.392,1088
V0,searound,52,runaway,1,0,2,1,0.8065,0.3622,6.272,1085
V0,searound,53,runaway,1,0,1,0,1,0,0,1106
V0,searound,54,normal,0,0,1,0,1,0,0,1056
V0,searound,55,runaway,1,0,1,0,1,0.0184,0.304,1088
V0,searound,56,normal,0,0,2,1,0.5604,0,0,1085
V0,searound,57,runaway,1,0,1,0,1,0,0,1151
V0,searound,58,normal,0,0,2,2,0.7951,1,18.416,1152
V0,searound,59,normal,0,0,3,2,0.873,0.3793,6.72,1110
V0,searound,60,normal,0,0,2,1,0.9944,0.3675,6.288,1072
V0,searound,61,normal,0,0,2,1,0.5766,0,0,1077
V0,searound,62,normal,0,0,3,2,0.6794,0.929,16.72,1126
V0,searound,63,runaway,1,0,1,0,1,0,0,1058
V0,searound,64,normal,0,0,2,2,0.6786,0.2881,5.248,1142
V0,searound,65,normal,0,0,3,2,0.5764,1,18.416,1152
V0,searound,66,normal,0,0,1,0,1,0,0,1087
V0,searound,67,normal,0,0,2,1,0.628,0.2274,3.936,1086
V0,searound,68,runaway,1,0,1,0,1,0,0,1106
V0,searound,69,normal,0,1,4,3,0.2687,1,18.976,1187
V0,searound,70,runaway,1,0,1,0,1,0,0,1134
V0,searound,71,normal,0,0,2,2,0.5954,0.7447,14.032,1179
V0,searound,72,normal,0,0,1,0,1,0,0,1225
