variant,track,type,n,runaway,runawayRate,parade,paradeRate,b1,b2,holmUnfair,top5Action,leashFrames
V0,luger-hill,open,50,9,0.18,0,0,0.736,0.716,true,32.7,
V0,mountainstreet,open,50,10,0.2,1,0.02,0.736,0.746,false,37.5,
V0,searound,closed,50,14,0.28,1,0.02,0.708,0.716,true,30.4,
V0,dirt-oval,closed,50,12,0.24,2,0.04,0.772,0.754,false,39.56,
V-2.5-m,luger-hill,open,50,9,0.18,0,0,0.74,0.72,true,32.86,
V-2.5-m,mountainstreet,open,50,18,0.36,2,0.04,0.732,0.742,false,36.5,
V-2.5-m,searound,closed,50,18,0.36,0,0,0.704,0.708,true,30.16,
V-2.5-m,dirt-oval,closed,50,16,0.32,2,0.04,0.772,0.75,false,39.48,
V-2.0-m,luger-hill,open,50,11,0.22,0,0,0.744,0.726,true,33.1,
V-2.0-m,mountainstreet,open,50,19,0.38,1,0.02,0.728,0.738,false,36.42,
V-2.0-m,searound,closed,50,21,0.42,0,0,0.7,0.706,true,30.58,
V-2.0-m,dirt-oval,closed,50,18,0.36,4,0.08,0.74,0.732,false,39.74,
V-3.0-m,luger-hill,open,50,9,0.18,0,0,0.74,0.72,true,32.58,
V-3.0-m,mountainstreet,open,50,16,0.32,1,0.02,0.728,0.742,false,37.08,
V-3.0-m,searound,closed,50,17,0.34,0,0,0.7,0.704,true,30.6,
V-3.0-m,dirt-oval,closed,50,16,0.32,2,0.04,0.764,0.748,false,39.02,
V-2.5-lo,luger-hill,open,50,9,0.18,0,0,0.74,0.72,true,32.74,
V-2.5-lo,mountainstreet,open,50,18,0.36,2,0.04,0.728,0.74,false,36.52,
V-2.5-lo,searound,closed,50,19,0.38,0,0,0.704,0.708,true,30.34,
V-2.5-lo,dirt-oval,closed,50,16,0.32,2,0.04,0.764,0.742,false,39.14,
V-2.5-hi,luger-hill,open,50,9,0.18,0,0,0.74,0.72,true,32.74,
V-2.5-hi,mountainstreet,open,50,17,0.34,2,0.04,0.732,0.742,false,36.68,
V-2.5-hi,searound,closed,50,18,0.36,0,0,0.708,0.708,true,30.5,
V-2.5-hi,dirt-oval,closed,50,15,0.3,2,0.04,0.764,0.746,false,39.6,
