arm,track,type,n,runaway,parade,within3RunMed,within3AllMed,b1,b2,holmUnfair,top5Action,gapBiasedRolls,gapLeaderDutyCycle
V0,luger-hill,open,50,9,0,0,2,0.736,0.716,true,32.7,0,0
V0,mountainstreet,open,50,10,1,0,2,0.736,0.746,false,37.5,0,0
V0,searound,closed,50,14,1,0,1,0.708,0.716,true,30.4,0,0
V0,dirt-oval,closed,50,12,2,0,1,0.772,0.754,false,39.56,0,0
SYM-1.5,luger-hill,open,50,7,0,0,2,0.736,0.714,true,33.08,5.34,0.61
SYM-1.5,mountainstreet,open,50,5,0,0,2,0.724,0.72,false,37.46,10.46,0.7967
SYM-1.5,searound,closed,50,15,0,0,1,0.724,0.71,true,30.2,1.46,0.72
SYM-1.5,dirt-oval,closed,50,12,2,0,1,0.772,0.754,false,39.56,0,0
SYM-2.0,luger-hill,open,50,7,1,0,2,0.74,0.724,true,33.04,2.82,0.4567
SYM-2.0,mountainstreet,open,50,6,0,0,2,0.728,0.73,false,37.98,5.82,0.6333
SYM-2.0,searound,closed,50,15,1,0,1,0.708,0.718,true,30.48,0.52,0.36
SYM-2.0,dirt-oval,closed,50,12,2,0,1,0.772,0.754,false,39.56,0,0
DOWN-1.5,luger-hill,open,50,7,0,0,2,0.724,0.718,true,32.82,3.02,0.5333
DOWN-1.5,mountainstreet,open,50,5,0,0,2,0.728,0.736,false,37.6,5.86,0.6033
DOWN-1.5,searound,closed,50,15,0,0,1,0.716,0.722,true,30.28,0.7,0.42
DOWN-1.5,dirt-oval,closed,50,12,2,0,1,0.772,0.754,false,39.56,0,0
DOWN-2.0,luger-hill,open,50,7,1,0,2,0.732,0.72,true,33.22,1.36,0.3633
DOWN-2.0,mountainstreet,open,50,7,0,0,2,0.732,0.738,false,37.74,3.2,0.53
DOWN-2.0,searound,closed,50,15,1,0,1,0.712,0.712,true,30.62,0.28,0.22
DOWN-2.0,dirt-oval,closed,50,12,2,0,1,0.772,0.754,false,39.56,0,0
