arm,track,type,n,runaway,parade,within3RunMed,within3AllMed,b1,b2,holmUnfair,top5Action,gapWindowRolls,gapBiasedRolls,gapLeaderDutyCycle
V0,luger-hill,open,50,9,0,0,2,0.736,0.716,true,32.7,0,0,0
V0,mountainstreet,open,50,10,1,0,2,0.736,0.746,false,37.5,0,0,0
V0,searound,closed,50,14,1,0,1,0.708,0.716,true,30.4,0,0,0
V0,dirt-oval,closed,50,12,2,0,1,0.772,0.754,false,39.56,0,0,0
SYM-1.5-s05,luger-hill,open,50,7,0,0,2,0.736,0.714,true,33.08,95.5,5.34,0.61
SYM-1.5-s05,mountainstreet,open,50,5,0,0,2,0.724,0.72,false,37.46,88.76,10.46,0.7967
SYM-1.5-s05,searound,closed,50,11,1,0,1,0.684,0.69,true,30.2,110.46,15.18,0.7767
SYM-1.5-s05,dirt-oval,closed,50,1,1,0,2,0.736,0.738,false,39.2,157.6,17.68,0.6477
DOWN-1.5-s05,luger-hill,open,50,7,0,0,2,0.724,0.718,true,32.82,95.5,3.02,0.5333
DOWN-1.5-s05,mountainstreet,open,50,5,0,0,2,0.728,0.736,false,37.6,88.82,5.86,0.6033
DOWN-1.5-s05,searound,closed,50,10,0,0,2,0.7,0.68,true,30.96,110.46,8.4,0.6367
DOWN-1.5-s05,dirt-oval,closed,50,2,1,0,2,0.752,0.74,false,39.72,157.6,9.6,0.5597
SYM-2.0-s05,luger-hill,open,50,7,1,0,2,0.74,0.724,true,33.04,95.52,2.82,0.4567
SYM-2.0-s05,mountainstreet,open,50,6,0,0,2,0.728,0.73,false,37.98,88.8,5.82,0.6333
SYM-2.0-s05,searound,closed,50,9,0,0,2,0.708,0.716,true,29.98,110.46,8.34,0.67
SYM-2.0-s05,dirt-oval,closed,50,3,1,0,2,0.744,0.736,false,40.4,157.6,10.02,0.5397
DOWN-2.0-s05,luger-hill,open,50,7,1,0,2,0.732,0.72,true,33.22,95.52,1.36,0.3633
DOWN-2.0-s05,mountainstreet,open,50,7,0,0,2,0.732,0.738,false,37.74,88.84,3.2,0.53
DOWN-2.0-s05,searound,closed,50,9,1,0,2,0.704,0.704,true,31.2,110.46,4.82,0.5533
DOWN-2.0-s05,dirt-oval,closed,50,2,2,0,2,0.744,0.744,false,40.6,157.6,5.22,0.485
SYM-1.5-s075,luger-hill,open,50,7,0,0,2,0.736,0.716,true,33.2,95.54,5.16,0.5833
SYM-1.5-s075,mountainstreet,open,50,3,0,0,2,0.72,0.73,false,37.84,88.76,10.68,0.79
SYM-1.5-s075,searound,closed,50,8,0,0,1,0.676,0.68,true,32.86,110.46,14.56,0.76
SYM-1.5-s075,dirt-oval,closed,50,0,0,0,2,0.736,0.74,false,41.48,157.6,17.58,0.642
SYM-1.5-s10,luger-hill,open,50,6,0,0,2,0.744,0.72,true,32.14,95.54,5.18,0.5867
SYM-1.5-s10,mountainstreet,open,50,3,1,0,2,0.736,0.742,false,36.92,88.74,10.68,0.7533
SYM-1.5-s10,searound,closed,50,8,1,0,1,0.712,0.7,true,31.18,110.46,14.18,0.7467
SYM-1.5-s10,dirt-oval,closed,50,0,1,0,3,0.752,0.744,false,38.84,157.6,17.5,0.623
DOWN-1.5-s075,luger-hill,open,50,7,0,0,2,0.736,0.716,true,33.06,95.52,3,0.5267
DOWN-1.5-s075,mountainstreet,open,50,4,0,0,2,0.712,0.734,false,37.74,88.84,5.92,0.61
DOWN-1.5-s075,searound,closed,50,10,0,0,2,0.7,0.676,true,33.16,110.46,8.06,0.6133
DOWN-1.5-s075,dirt-oval,closed,50,1,1,0,2,0.76,0.742,false,41.06,157.6,10.4,0.589
DOWN-1.5-s10,luger-hill,open,50,6,0,0,2,0.74,0.722,false,32.48,95.52,2.8,0.5067
DOWN-1.5-s10,mountainstreet,open,50,4,0,0,2,0.72,0.744,false,38.38,88.84,5.8,0.5933
DOWN-1.5-s10,searound,closed,50,11,0,0,1,0.708,0.69,true,32.68,110.46,8.06,0.6
DOWN-1.5-s10,dirt-oval,closed,50,1,0,0,2,0.76,0.748,false,40.58,157.6,9.96,0.566
