track,racer,type,raceIdx,seed,runawayWinner,paradeFinish,leaderGapAt090Len,minLeadFrom090Len,winnerIdx,winnerIsLeaderAt090,paradeGroupSize,paradeNextGapLen,paradeSpeedSpread
luger-hill,luge,open,0,1,0,0,0.7074,0.7004,39,1,0,0.7466,
luger-hill,luge,open,1,2,0,0,2.3349,2.2098,32,1,0,2.2098,
luger-hill,luge,open,2,3,1,0,4.4141,1.0489,11,1,0,1.0489,
luger-hill,luge,open,3,4,0,0,0.2735,0.2735,34,1,0,2.6348,
luger-hill,luge,open,4,5,0,0,1.8258,1.8258,10,1,0,1.8908,
luger-hill,luge,open,5,6,0,0,1.1971,1.1971,11,1,0,1.5629,
luger-hill,luge,open,6,7,0,0,0.1619,0,11,0,2,1.5337,
luger-hill,luge,open,7,8,1,0,4.5608,3.36,32,1,0,3.36,
luger-hill,luge,open,8,9,0,0,0.6631,0.6631,10,1,0,1.6415,
luger-hill,luge,open,9,10,1,0,4.9212,4.9212,10,1,0,5.5955,
luger-hill,luge,open,10,11,0,0,1.1998,1.1985,33,1,0,1.4239,
luger-hill,luge,open,11,12,0,0,2.6988,2.6988,11,1,0,3.9053,
luger-hill,luge,open,12,13,0,0,1.207,0.9245,29,1,0,0.9245,
luger-hill,luge,open,13,14,0,0,0.0321,0,3,0,0,0.7779,
luger-hill,luge,open,14,15,0,0,1.1386,0,23,1,2,0.512,
luger-hill,luge,open,15,16,1,0,3.7773,3.3903,29,1,0,3.3903,
luger-hill,luge,open,16,17,0,0,2.1386,0,7,0,2,2.2532,
luger-hill,luge,open,17,18,0,0,2.1611,2.1611,38,1,0,3.0502,
luger-hill,luge,open,18,19,0,0,1.6823,1.6608,30,1,0,2.5501,
luger-hill,luge,open,19,20,0,0,0.9206,0.4547,36,1,3,0.7013,
luger-hill,luge,open,20,21,0,0,1.6455,1.6455,32,1,0,1.7529,
luger-hill,luge,open,21,22,0,0,0.6328,0,4,0,12,0.7113,
luger-hill,luge,open,22,23,0,0,0.5227,0.5227,39,1,0,2.1816,
luger-hill,luge,open,23,24,1,0,4.9629,3.6422,12,1,0,3.6422,
luger-hill,luge,open,24,25,1,0,3.1534,3.1534,7,1,0,4.4462,
luger-hill,luge,open,25,26,1,0,5.1275,5.1275,7,1,0,5.3267,
luger-hill,luge,open,26,27,0,0,0.1985,0.1985,2,1,0,1.4793,
luger-hill,luge,open,27,28,0,0,0.5177,0,5,0,0,0.8234,
luger-hill,luge,open,28,29,0,0,0.2689,0.2689,37,1,0,0.8653,
luger-hill,luge,open,29,30,0,0,1.1944,1.1487,19,1,0,1.1487,
luger-hill,luge,open,30,31,0,0,1.2258,1.2258,12,1,0,1.8786,
luger-hill,luge,open,31,32,0,0,0.2911,0,22,1,7,0.9974,
luger-hill,luge,open,32,33,1,0,4.7775,4.7775,12,1,0,6.6951,
luger-hill,luge,open,33,34,0,0,0.5745,0.0934,16,1,2,0.6414,
luger-hill,luge,open,34,35,0,0,0.5821,0,17,0,0,0.7361,
luger-hill,luge,open,35,36,0,0,1.2242,0.7106,23,1,0,0.7363,
luger-hill,luge,open,36,37,0,0,2.3679,2.3679,31,1,0,4.2977,
luger-hill,luge,open,37,38,0,0,1.1979,1.197,38,1,0,1.3514,
luger-hill,luge,open,38,39,0,0,1.6658,0.8848,12,1,0,0.8848,
luger-hill,luge,open,39,40,0,0,1.7697,1.7697,25,1,0,2.5668,
luger-hill,luge,open,40,41,0,0,0.0571,0,6,1,3,0.6773,
luger-hill,luge,open,41,42,0,0,2.4956,2.4956,18,1,0,2.9974,
luger-hill,luge,open,42,43,0,0,1.8473,1.7679,22,1,0,1.786,
luger-hill,luge,open,43,44,0,0,1.3373,1.0098,37,1,0,1.0098,
luger-hill,luge,open,44,45,1,0,3.2894,2.8972,8,1,0,2.9549,
luger-hill,luge,open,45,46,0,0,0.9854,0.6392,8,1,0,0.6392,
luger-hill,luge,open,46,47,0,0,0.166,0,0,0,0,1.4554,
luger-hill,luge,open,47,48,0,0,1.7331,1.1477,6,1,0,1.1694,
luger-hill,luge,open,48,49,0,0,1.6837,1.6837,0,1,0,1.7538,
luger-hill,luge,open,49,50,0,0,0.4482,0,4,0,0,1.0816,
luger-hill,luge,open,50,51,0,0,1.0395,1.0395,11,1,0,1.2,
luger-hill,luge,open,51,52,0,0,0.4121,0,11,0,0,0.5576,
luger-hill,luge,open,52,53,0,0,1.0722,0,35,0,0,0.9571,
luger-hill,luge,open,53,54,1,0,4.8671,4.8671,24,1,0,7.09,
luger-hill,luge,open,54,55,0,0,0.5005,0,34,0,0,1.2001,
luger-hill,luge,open,55,56,0,0,0.8387,0,30,0,0,2.6821,
luger-hill,luge,open,56,57,0,0,1.2683,0,14,0,3,0.906,
luger-hill,luge,open,57,58,0,0,0.2189,0,9,0,0,1.2022,
luger-hill,luge,open,58,59,0,0,0.0296,0,31,0,10,0.6593,
luger-hill,luge,open,59,60,0,0,0.0966,0,9,0,15,0.5363,
luger-hill,luge,open,60,61,0,0,2.1635,1.7505,20,1,0,1.7505,
luger-hill,luge,open,61,62,0,0,0.5192,0.5192,23,1,0,4.0071,
luger-hill,luge,open,62,63,0,0,0.4107,0.4107,12,1,0,1.3835,
luger-hill,luge,open,63,64,0,0,2.3342,0,15,0,2,0.945,
luger-hill,luge,open,64,65,0,0,2.3533,2.3533,17,1,0,3.4141,
luger-hill,luge,open,65,66,0,0,2.1499,1.3523,22,1,0,1.3523,
luger-hill,luge,open,66,67,0,0,1.4101,1.1556,34,1,0,1.1556,
luger-hill,luge,open,67,68,0,0,0.8654,0,5,0,0,0.7525,
luger-hill,luge,open,68,69,1,0,3.8897,3.3598,18,1,0,3.4344,
luger-hill,luge,open,69,70,0,0,0.0544,0,22,0,35,0.9133,
luger-hill,luge,open,70,71,0,0,0.6382,0.6382,7,1,0,0.9859,
luger-hill,luge,open,71,72,0,0,1.4867,0.6825,12,1,0,0.683,
luger-hill,luge,open,72,73,0,0,0.2446,0.2446,29,1,0,0.8538,
luger-hill,luge,open,73,74,0,0,1.1279,0,3,0,0,0.7381,
luger-hill,luge,open,74,75,1,0,5.9952,5.9952,12,1,0,6.4321,
luger-hill,luge,open,75,76,0,0,1.1981,1.0235,35,1,0,1.0235,
luger-hill,luge,open,76,77,0,0,0.9285,0.9285,20,1,0,1.4849,
luger-hill,luge,open,77,78,0,0,1.6263,1.6263,17,1,0,1.7784,
luger-hill,luge,open,78,79,0,0,0.3711,0.1408,17,1,2,1.4587,
luger-hill,luge,open,79,80,0,0,1.968,0.5819,0,1,0,0.5819,
luger-hill,luge,open,80,81,0,0,1.0509,0.9223,15,1,0,0.9698,
luger-hill,luge,open,81,82,0,1,1.1941,0.4035,35,1,2,5.2458,0.0255
luger-hill,luge,open,82,83,0,0,1.385,1.385,33,1,0,1.8928,
