track,racer,type,raceIdx,seed,runawayWinner,paradeFinish,leaderGapAt090Len,minLeadFrom090Len,winnerIdx,winnerIsLeaderAt090,paradeGroupSize,paradeNextGapLen,paradeSpeedSpread
searound,manta,closed,0,1,1,0,7.3055,7.3055,11,1,0,9.2781,
searound,manta,closed,1,2,0,0,0.7204,0.7204,19,1,0,2.2533,
searound,manta,closed,2,3,0,0,0.9551,0.9551,35,1,0,1.7345,
searound,manta,closed,3,4,1,0,4.5829,1.1936,20,1,0,1.1975,
searound,manta,closed,4,5,0,0,0.2687,0,16,0,0,1.3809,
searound,manta,closed,5,6,1,0,10.0541,10.0541,11,1,0,13.1104,
searound,manta,closed,6,7,0,0,0.7691,0,38,0,0,1.2366,
searound,manta,closed,7,8,1,0,4.4105,2.4424,13,1,0,2.4424,
searound,manta,closed,8,9,0,0,0.9043,0,29,0,0,0.9716,
searound,manta,closed,9,10,0,0,1.1955,0,25,0,0,1.7157,
searound,manta,closed,10,11,0,0,1.0108,0.9297,27,1,0,1.9041,
searound,manta,closed,11,12,1,0,6.0926,6.0926,11,1,0,10.3172,
searound,manta,closed,12,13,0,0,0.4135,0.4135,12,1,0,1.762,
searound,manta,closed,13,14,0,0,0.102,0,30,0,0,1.0643,
searound,manta,closed,14,15,1,0,8.4407,8.4407,33,1,0,11.7651,
searound,manta,closed,15,16,0,0,1.0027,1.0027,36,1,0,1.7044,
searound,manta,closed,16,17,1,0,8.3521,8.3521,32,1,0,12.0738,
searound,manta,closed,17,18,1,0,4.6747,4.6747,1,1,0,8.689,
searound,manta,closed,18,19,0,0,1.616,1.616,23,1,0,2.2346,
searound,manta,closed,19,20,1,0,5.5495,5.5495,33,1,0,6.27,
searound,manta,closed,20,21,0,0,2.3979,2.0034,15,1,0,3.725,
searound,manta,closed,21,22,0,0,1.197,0,18,0,0,0.8439,
searound,manta,closed,22,23,0,0,3.0328,0.3849,18,1,2,2.8088,
searound,manta,closed,23,24,0,0,0.7169,0.2582,2,1,2,0.5913,
searound,manta,closed,24,25,0,0,2.1085,1.1879,13,1,0,1.2005,
searound,manta,closed,25,26,0,0,2.1598,0,36,0,0,1.3251,
searound,manta,closed,26,27,0,0,0.8764,0.8764,4,1,0,2.399,
searound,manta,closed,27,28,0,0,0.9636,0.8912,5,1,0,0.971,
searound,manta,closed,28,29,0,0,0.3151,0.3151,37,1,0,0.5079,
searound,manta,closed,29,30,1,0,4.2412,3.3334,8,1,0,4.1653,
searound,manta,closed,30,31,1,0,9.2766,9.2766,14,1,0,12.1739,
searound,manta,closed,31,32,0,0,1.2299,0,14,0,0,0.5678,
searound,manta,closed,32,33,0,0,1.0333,1.0333,36,1,0,1.5321,
searound,manta,closed,33,34,1,0,3.4664,3.2057,19,1,0,3.7386,
searound,manta,closed,34,35,0,0,0.1275,0.1275,23,1,0,0.9139,
searound,manta,closed,35,36,0,1,2.8191,0.3226,22,1,2,6.4545,0.0405
searound,manta,closed,36,37,0,0,1.8197,1.8197,28,1,0,2.1075,
searound,manta,closed,37,38,0,0,1.9136,1.9136,13,1,0,2.7922,
searound,manta,closed,38,39,0,0,0.5296,0,14,0,0,0.5294,
searound,manta,closed,39,40,1,0,3.2758,3.2688,22,1,0,5.883,
searound,manta,closed,40,41,0,0,0.2337,0.2337,22,1,0,1.1373,
searound,manta,closed,41,42,0,0,0.1332,0,28,1,18,0.8868,
searound,manta,closed,42,43,0,0,0.259,0,14,0,0,1.5025,
searound,manta,closed,43,44,0,0,2.2605,0,17,0,0,0.5545,
searound,manta,closed,44,45,0,0,0.1218,0,9,0,2,1.4523,
searound,manta,closed,45,46,0,0,0.2279,0,7,0,0,3.5085,
searound,manta,closed,46,47,1,0,9.4864,9.4864,3,1,0,10.871,
searound,manta,closed,47,48,0,0,1.4227,0.6228,38,1,0,0.6263,
searound,manta,closed,48,49,0,0,0.4148,0,33,1,2,0.7656,
searound,manta,closed,49,50,0,0,0.9891,0,33,0,0,0.5789,
searound,manta,closed,50,51,0,0,1.3117,0,21,0,2,1.1765,
searound,manta,closed,51,52,1,0,3.5814,3.5814,11,1,0,6.2916,
searound,manta,closed,52,53,1,0,3.2976,3.2976,26,1,0,4.9639,
searound,manta,closed,53,54,0,0,1.201,1.1978,29,1,0,1.1985,
searound,manta,closed,54,55,1,0,5.0793,5.0793,20,1,0,7.9206,
searound,manta,closed,55,56,0,0,0.6952,0.6952,30,1,0,1.1999,
searound,manta,closed,56,57,1,0,5.9975,4.4912,35,1,0,4.4912,
searound,manta,closed,57,58,0,0,1.1992,0,17,0,3,0.9194,
searound,manta,closed,58,59,0,0,2.1964,2.1964,33,1,0,4.5449,
searound,manta,closed,59,60,0,0,2.5355,2.5355,21,1,0,6.5915,
searound,manta,closed,60,61,0,0,1.4325,1.4325,23,1,0,5.6179,
searound,manta,closed,61,62,0,0,0.8555,0,32,0,0,2.6754,
searound,manta,closed,62,63,1,0,3.5942,3.5942,13,1,0,6.8496,
searound,manta,closed,63,64,0,0,0.2761,0,2,0,0,1.5627,
searound,manta,closed,64,65,0,0,0.1261,0,34,0,0,1.0627,
searound,manta,closed,65,66,0,0,1.0392,0.3101,11,1,0,0.7964,
searound,manta,closed,66,67,0,0,0.5385,0,31,0,0,1.632,
searound,manta,closed,67,68,1,0,6.319,6.319,8,1,0,8.7682,
searound,manta,closed,68,69,0,0,0.0387,0,29,0,0,1.3731,
searound,manta,closed,69,70,1,0,8.6596,6.8014,9,1,0,7.2769,
searound,manta,closed,70,71,0,0,0.3588,0,29,1,8,0.7583,
searound,manta,closed,71,72,0,0,2.6446,0.9149,16,1,0,0.9175,
searound,manta,closed,72,73,0,0,0.7909,0,26,0,0,1.4429,
searound,manta,closed,73,74,0,0,2.2735,1.8295,19,1,0,1.8295,
searound,manta,closed,74,75,1,0,10.5846,10.5846,18,1,0,12.9876,
searound,manta,closed,75,76,0,0,2.2193,2.191,35,1,0,4.9536,
searound,manta,closed,76,77,1,0,5.0462,4.9542,16,1,0,5.343,
searound,manta,closed,77,78,0,0,1.1307,0,6,0,7,0.9958,
searound,manta,closed,78,79,0,0,1.3467,0,34,0,2,0.694,
searound,manta,closed,79,80,0,0,2.182,2.182,1,1,0,4.8,
searound,manta,closed,80,81,1,0,5.1151,1.1933,38,1,0,1.1947,
searound,manta,closed,81,82,0,0,1.5528,1.003,15,1,0,1.003,
searound,manta,closed,82,83,0,0,1.216,0.9198,30,1,0,0.9253,
searound,manta,closed,83,84,0,0,1.1985,1.198,12,1,0,1.7361,
searound,manta,closed,84,85,1,0,7.1366,5.3905,1,1,0,5.3905,
searound,manta,closed,85,86,0,0,0.5565,0,10,0,0,1.9738,
searound,manta,closed,86,87,0,0,2.5603,2.5603,10,1,0,4.3431,
searound,manta,closed,87,88,1,0,5.7423,5.6922,24,1,0,6.2448,
searound,manta,closed,88,89,1,0,5.4955,5.4955,24,1,0,8.6243,
searound,manta,closed,89,90,0,0,1.1203,1.0971,4,1,0,2.2574,
searound,manta,closed,90,91,0,0,0.391,0,26,0,0,1.8028,
searound,manta,closed,91,92,0,0,0.5836,0.5836,32,1,0,2.2397,
searound,manta,closed,92,93,0,0,1.3133,1.3133,0,1,0,2.9704,
searound,manta,closed,93,94,1,0,6.9279,6.9279,15,1,0,10.2076,
searound,manta,closed,94,95,1,0,3.9713,3.8486,8,1,0,5.0029,
searound,manta,closed,95,96,0,0,0.7384,0,11,0,0,1.0692,
searound,manta,closed,96,97,0,0,1.102,0.9312,9,1,0,0.9335,
searound,manta,closed,97,98,0,0,0.8262,0.8262,11,1,0,3.1973,
searound,manta,closed,98,99,0,0,1.2856,1.2856,32,1,0,1.4998,
searound,manta,closed,99,100,1,0,8.214,8.0484,26,1,0,8.2131,
