arm,track,n,runaway,runawayRate,parade,paradeRate,p1Swap,swaps,swapDenom,leadChangeMean,b1Exit,b1ExitN,b2Exit,b2ExitN,b1,b2,holmUnfair,top5Action,biased,duty
V0,luger-hill,100,18,0.18,1,0.01,0.24,24,100,1.36,0.0355,366,0.1263,673,0.746,0.718,true,32.22,0,0
V0,mountainstreet,100,18,0.18,3,0.03,0.28,28,100,1.74,0.0431,371,0.1077,715,0.75,0.747,false,38.41,0,0
V0,searound,100,30,0.3,1,0.01,0.27,27,100,1.58,0.0413,339,0.096,667,0.706,0.699,true,29.24,0,0
V0,dirt-oval,100,28,0.28,3,0.03,0.23,23,100,1.3,0.0371,377,0.107,738,0.78,0.761,false,39.45,0,0
R97-ON,luger-hill,100,10,0.1,1,0.01,0.27,27,100,1.51,0.0272,368,0.1064,677,0.762,0.726,true,32.37,5.23,0.5867
R97-ON,mountainstreet,100,6,0.06,2,0.02,0.43,43,100,1.54,0.0514,370,0.0994,714,0.752,0.743,false,38.54,10.83,0.7717
R97-ON,searound,100,14,0.14,1,0.01,0.28,28,100,1.43,0.0411,341,0.1053,665,0.702,0.695,true,31.35,13.78,0.7233
R97-ON,dirt-oval,100,3,0.03,2,0.02,0.39,39,100,1.57,0.0428,374,0.0946,740,0.754,0.751,false,38.34,16.76,0.6123
R95-ON,luger-hill,100,9,0.09,1,0.01,0.27,27,100,1.46,0.0224,357,0.1165,661,0.758,0.724,true,32.02,5.36,0.6117
R95-ON,mountainstreet,100,7,0.07,1,0.01,0.39,39,100,1.69,0.0775,374,0.1152,712,0.748,0.742,false,37.88,10.9,0.7833
R95-ON,searound,100,13,0.13,1,0.01,0.27,27,100,1.18,0.0576,330,0.1259,659,0.688,0.692,true,31.02,13.96,0.7275
R95-ON,dirt-oval,100,5,0.05,2,0.02,0.35,35,100,1.7,0.0622,370,0.1119,724,0.746,0.747,false,38.67,16.77,0.614
R94-ON,luger-hill,100,9,0.09,2,0.02,0.25,25,100,1.39,0.0397,353,0.1275,651,0.748,0.718,true,32.18,5.35,0.6117
R94-ON,mountainstreet,100,7,0.07,1,0.01,0.37,37,100,1.45,0.0965,373,0.1288,699,0.742,0.74,false,37.76,10.92,0.7833
R94-ON,searound,100,13,0.13,0,0,0.26,26,100,1.26,0.0554,325,0.1275,643,0.692,0.699,true,30.81,13.96,0.7275
R94-ON,dirt-oval,100,5,0.05,2,0.02,0.34,34,100,1.73,0.0628,366,0.1262,713,0.744,0.748,false,39.21,16.77,0.614
R93-ON,luger-hill,100,9,0.09,0,0,0.22,22,100,1.46,0.04,350,0.1304,644,0.748,0.718,true,32,5.28,0.5967
R93-ON,mountainstreet,100,7,0.07,1,0.01,0.4,40,100,1.41,0.1054,370,0.1361,698,0.736,0.739,false,37.52,10.84,0.7967
R93-ON,searound,100,17,0.17,1,0.01,0.25,25,100,1.42,0.0508,315,0.1358,626,0.69,0.697,true,30.65,14.02,0.7275
R93-ON,dirt-oval,100,5,0.05,2,0.02,0.35,35,100,1.49,0.0575,365,0.1257,716,0.738,0.743,false,38.83,16.8,0.6215
R94-OFF,luger-hill,100,18,0.18,1,0.01,0.23,23,100,1.44,0.051,353,0.1464,649,0.732,0.712,true,32.41,0,0
R94-OFF,mountainstreet,100,17,0.17,3,0.03,0.27,27,100,1.64,0.0724,373,0.1309,703,0.748,0.747,false,37.57,0,0
R94-OFF,searound,100,30,0.3,3,0.03,0.21,21,100,1.58,0.0494,324,0.1111,639,0.706,0.708,true,29.56,0,0
R94-OFF,dirt-oval,100,28,0.28,1,0.01,0.21,21,100,1.49,0.0685,365,0.1261,698,0.756,0.75,false,39.54,0,0
