arm,track,seed,runaway,parade,swap,leadChanges,gap090
R93-ON,dirt-oval,1,0,0,0,1,0.2109
R93-ON,dirt-oval,2,0,0,1,1,3.1393
R93-ON,dirt-oval,3,0,1,0,1,2.8347
R93-ON,dirt-oval,4,0,0,0,0,3.4829
R93-ON,dirt-oval,5,0,0,1,2,1.9478
R93-ON,dirt-oval,6,0,0,0,2,0.6536
R93-ON,dirt-oval,7,0,0,1,1,1.1974
R93-ON,dirt-oval,8,0,0,0,2,1.1957
R93-ON,dirt-oval,9,0,0,0,2,0.6922
R93-ON,dirt-oval,10,0,0,0,1,1.7261
R93-ON,dirt-oval,11,0,0,0,2,1.478
R93-ON,dirt-oval,12,0,0,0,1,1.1987
R93-ON,dirt-oval,13,0,0,0,1,0.2458
R93-ON,dirt-oval,14,0,1,0,1,2.3374
R93-ON,dirt-oval,15,0,0,0,0,1.0982
R93-ON,dirt-oval,16,0,0,0,3,1.112
R93-ON,dirt-oval,17,0,0,0,0,1.9279
R93-ON,dirt-oval,18,0,0,1,1,0.7748
R93-ON,dirt-oval,19,0,0,0,0,0.8398
R93-ON,dirt-oval,20,0,0,1,2,2.9741
R93-ON,dirt-oval,21,0,0,0,1,1.3091
R93-ON,dirt-oval,22,0,0,0,0,0.656
R93-ON,dirt-oval,23,0,0,0,1,0.8448
R93-ON,dirt-oval,24,0,0,0,0,1.0451
R93-ON,dirt-oval,25,0,0,0,0,3.7923
R93-ON,dirt-oval,26,0,0,1,1,2.2057
R93-ON,dirt-oval,27,0,0,0,1,1.5005
R93-ON,dirt-oval,28,0,0,1,3,0.3435
R93-ON,dirt-oval,29,0,0,0,1,1.6935
R93-ON,dirt-oval,30,0,0,0,0,1.5716
R93-ON,dirt-oval,31,0,0,0,2,0.0957
R93-ON,dirt-oval,32,0,0,1,2,0.8607
R93-ON,dirt-oval,33,0,0,1,1,0.3328
R93-ON,dirt-oval,34,0,0,0,0,1.0112
R93-ON,dirt-oval,35,0,0,0,0,2.2825
R93-ON,dirt-oval,36,1,0,0,2,3.2001
R93-ON,dirt-oval,37,0,0,0,3,1.3685
R93-ON,dirt-oval,38,0,0,0,3,1.404
R93-ON,dirt-oval,39,0,0,0,0,1.511
R93-ON,dirt-oval,40,0,0,1,1,1.503
R93-ON,dirt-oval,41,0,0,0,4,1.5043
R93-ON,dirt-oval,42,0,0,0,0,1.3677
R93-ON,dirt-oval,43,0,0,0,2,1.2016
R93-ON,dirt-oval,44,0,0,1,1,1.4163
R93-ON,dirt-oval,45,0,0,0,0,0.0922
R93-ON,dirt-oval,46,0,0,0,1,0.0799
R93-ON,dirt-oval,47,0,0,0,2,1.1045
R93-ON,dirt-oval,48,0,0,1,3,0.8096
R93-ON,dirt-oval,49,0,0,1,2,0.5126
R93-ON,dirt-oval,50,1,0,0,1,3.7995
R93-ON,dirt-oval,51,0,0,0,1,0.7207
R93-ON,dirt-oval,52,0,0,1,2,0.359
R93-ON,dirt-oval,53,0,0,1,4,1.199
R93-ON,dirt-oval,54,0,0,0,2,0.8125
R93-ON,dirt-oval,55,0,0,0,0,1.454
R93-ON,dirt-oval,56,0,0,1,3,1.4318
R93-ON,dirt-oval,57,0,0,1,4,1.2188
R93-ON,dirt-oval,58,0,0,0,0,0.4222
R93-ON,dirt-oval,59,0,0,0,1,1.4853
R93-ON,dirt-oval,60,0,0,1,3,0.4648
R93-ON,dirt-oval,61,0,0,0,0,1.1995
R93-ON,dirt-oval,62,0,0,1,4,1.9542
R93-ON,dirt-oval,63,0,0,0,4,0.434
R93-ON,dirt-oval,64,0,0,0,3,0.5891
R93-ON,dirt-oval,65,0,0,0,3,1.2518
R93-ON,dirt-oval,66,0,0,1,2,0.7373
R93-ON,dirt-oval,67,0,0,0,1,3.6829
R93-ON,dirt-oval,68,0,0,1,3,1.5538
R93-ON,dirt-oval,69,0,0,0,2,1.3466
R93-ON,dirt-oval,70,0,0,1,3,0.0792
R93-ON,dirt-oval,71,0,0,0,2,1.2925
R93-ON,dirt-oval,72,0,0,1,1,0.013
R93-ON,dirt-oval,73,0,0,0,0,1.499
R93-ON,dirt-oval,74,0,0,0,2,0.9884
R93-ON,dirt-oval,75,0,0,0,1,1.1977
R93-ON,dirt-oval,76,0,0,1,1,0.987
R93-ON,dirt-oval,77,0,0,1,2,0.6889
R93-ON,dirt-oval,78,0,0,1,1,0.1198
R93-ON,dirt-oval,79,0,0,0,1,1.663
R93-ON,dirt-oval,80,0,0,1,2,2.5187
R93-ON,dirt-oval,81,0,0,0,1,2.7131
R93-ON,dirt-oval,82,0,0,0,0,2.5466
R93-ON,dirt-oval,83,0,0,1,2,3.5456
R93-ON,dirt-oval,84,0,0,0,1,1.1993
R93-ON,dirt-oval,85,0,0,0,1,1.8045
R93-ON,dirt-oval,86,1,0,0,1,3.1726
R93-ON,dirt-oval,87,0,0,1,2,0.0527
R93-ON,dirt-oval,88,0,0,1,4,1.201
R93-ON,dirt-oval,89,0,0,1,1,0.2512
R93-ON,dirt-oval,90,0,0,1,2,1.1418
R93-ON,dirt-oval,91,0,0,0,2,1.3767
R93-ON,dirt-oval,92,1,0,0,1,4.9522
R93-ON,dirt-oval,93,1,0,0,1,3.7501
R93-ON,dirt-oval,94,0,0,1,3,0.4854
R93-ON,dirt-oval,95,0,0,1,1,1.3633
R93-ON,dirt-oval,96,0,0,0,1,1.5012
R93-ON,dirt-oval,97,0,0,1,3,0.879
R93-ON,dirt-oval,98,0,0,0,1,2.095
R93-ON,dirt-oval,99,0,0,0,0,0.1737
R93-ON,dirt-oval,100,0,0,0,1,0.3501
