arm,track,seed,runaway,parade,swap,leadChanges,gap090
R94-OFF,dirt-oval,1,1,0,0,1,7.6255
R94-OFF,dirt-oval,2,0,0,1,4,1.2936
R94-OFF,dirt-oval,3,0,0,0,1,1.8997
R94-OFF,dirt-oval,4,0,0,0,1,0.0641
R94-OFF,dirt-oval,5,0,0,0,0,1.529
R94-OFF,dirt-oval,6,0,0,1,3,1.2005
R94-OFF,dirt-oval,7,1,0,0,3,6.68
R94-OFF,dirt-oval,8,0,0,1,3,1.1981
R94-OFF,dirt-oval,9,0,0,0,0,0.8738
R94-OFF,dirt-oval,10,0,0,1,1,1.1935
R94-OFF,dirt-oval,11,0,0,0,3,1.47
R94-OFF,dirt-oval,12,0,0,0,0,1.1311
R94-OFF,dirt-oval,13,1,0,0,2,9.4713
R94-OFF,dirt-oval,14,0,0,0,0,2.7053
R94-OFF,dirt-oval,15,0,0,1,3,1.2019
R94-OFF,dirt-oval,16,0,0,0,0,1.0741
R94-OFF,dirt-oval,17,1,0,0,3,6.2047
R94-OFF,dirt-oval,18,0,0,0,1,4.4885
R94-OFF,dirt-oval,19,0,0,1,3,0.2302
R94-OFF,dirt-oval,20,0,0,0,0,2.7105
R94-OFF,dirt-oval,21,0,0,0,2,1.2051
R94-OFF,dirt-oval,22,0,0,0,0,0.0935
R94-OFF,dirt-oval,23,0,0,0,1,0.8516
R94-OFF,dirt-oval,24,0,0,1,1,0.8161
R94-OFF,dirt-oval,25,1,0,0,3,3.8236
R94-OFF,dirt-oval,26,1,0,0,0,4.5791
R94-OFF,dirt-oval,27,0,0,0,0,1.4978
R94-OFF,dirt-oval,28,0,0,1,1,0.9818
R94-OFF,dirt-oval,29,0,0,0,1,4.6432
R94-OFF,dirt-oval,30,1,0,0,2,7.2128
R94-OFF,dirt-oval,31,1,0,0,1,6.2603
R94-OFF,dirt-oval,32,0,0,0,1,0.568
R94-OFF,dirt-oval,33,1,0,0,0,6.5906
R94-OFF,dirt-oval,34,0,0,0,3,0.6433
R94-OFF,dirt-oval,35,1,0,0,1,3.0285
R94-OFF,dirt-oval,36,0,0,0,1,1.6433
R94-OFF,dirt-oval,37,0,0,0,0,2.3149
R94-OFF,dirt-oval,38,0,0,1,3,0.7948
R94-OFF,dirt-oval,39,0,0,0,2,1.511
R94-OFF,dirt-oval,40,0,0,1,2,0.9526
R94-OFF,dirt-oval,41,1,0,0,1,3.5254
R94-OFF,dirt-oval,42,0,0,1,3,0.7998
R94-OFF,dirt-oval,43,0,0,0,0,1.2016
R94-OFF,dirt-oval,44,0,0,0,0,1.4994
R94-OFF,dirt-oval,45,0,0,0,2,2.5328
R94-OFF,dirt-oval,46,0,0,0,2,1.1959
R94-OFF,dirt-oval,47,0,0,0,1,1.2011
R94-OFF,dirt-oval,48,0,1,0,0,1.1977
R94-OFF,dirt-oval,49,0,0,0,2,0.5126
R94-OFF,dirt-oval,50,1,0,0,0,14.3109
R94-OFF,dirt-oval,51,0,0,1,2,1.2378
R94-OFF,dirt-oval,52,0,0,0,3,1.6244
R94-OFF,dirt-oval,53,0,0,1,2,0.8254
R94-OFF,dirt-oval,54,0,0,0,0,1.5545
R94-OFF,dirt-oval,55,0,0,0,0,1.4683
R94-OFF,dirt-oval,56,0,0,1,2,1.4318
R94-OFF,dirt-oval,57,0,0,0,1,1.982
R94-OFF,dirt-oval,58,0,0,0,0,1.4995
R94-OFF,dirt-oval,59,0,0,0,0,1.2002
R94-OFF,dirt-oval,60,1,0,0,2,10.6914
R94-OFF,dirt-oval,61,1,0,0,0,7.6783
R94-OFF,dirt-oval,62,1,0,0,1,3.8346
R94-OFF,dirt-oval,63,1,0,0,0,8.3576
R94-OFF,dirt-oval,64,0,0,0,2,0.002
R94-OFF,dirt-oval,65,0,0,0,1,1.1801
R94-OFF,dirt-oval,66,0,0,0,1,0.6801
R94-OFF,dirt-oval,67,1,0,0,1,4.4766
R94-OFF,dirt-oval,68,1,0,0,2,3.1317
R94-OFF,dirt-oval,69,0,0,0,1,0.2221
R94-OFF,dirt-oval,70,0,0,1,3,1.1134
R94-OFF,dirt-oval,71,1,0,0,3,4.6951
R94-OFF,dirt-oval,72,1,0,0,2,6.1797
R94-OFF,dirt-oval,73,0,0,0,1,1.4997
R94-OFF,dirt-oval,74,0,0,0,0,1.1776
R94-OFF,dirt-oval,75,0,0,1,2,0.6593
R94-OFF,dirt-oval,76,0,0,1,1,0.9416
R94-OFF,dirt-oval,77,1,0,0,5,4.2702
R94-OFF,dirt-oval,78,0,0,1,3,0.008
R94-OFF,dirt-oval,79,1,0,0,1,5.5566
R94-OFF,dirt-oval,80,1,0,0,0,3.6645
R94-OFF,dirt-oval,81,0,0,0,0,1.4801
R94-OFF,dirt-oval,82,0,0,0,1,2.6594
R94-OFF,dirt-oval,83,0,0,1,3,0.9119
R94-OFF,dirt-oval,84,0,0,0,1,1.1996
R94-OFF,dirt-oval,85,1,0,0,0,3.8281
R94-OFF,dirt-oval,86,1,0,0,2,4.5874
R94-OFF,dirt-oval,87,1,0,0,1,9.4163
R94-OFF,dirt-oval,88,1,0,0,0,7.647
R94-OFF,dirt-oval,89,0,0,0,3,0.1378
R94-OFF,dirt-oval,90,0,0,1,3,1.1418
R94-OFF,dirt-oval,91,0,0,0,2,0.0832
R94-OFF,dirt-oval,92,0,0,0,1,0.9759
R94-OFF,dirt-oval,93,1,0,0,1,4.0069
R94-OFF,dirt-oval,94,0,0,1,5,0.4854
R94-OFF,dirt-oval,95,0,0,0,3,2.7721
R94-OFF,dirt-oval,96,0,0,0,0,1.1052
R94-OFF,dirt-oval,97,0,0,0,7,0.1132
R94-OFF,dirt-oval,98,0,0,0,2,2.095
R94-OFF,dirt-oval,99,0,0,0,3,1.7114
R94-OFF,dirt-oval,100,0,0,0,1,0.4299
