arm,track,seed,runaway,parade,swap,leadChanges,gap090
R94-OFF,mountainstreet,1,1,0,0,3,6.6043
R94-OFF,mountainstreet,2,0,0,0,0,2.031
R94-OFF,mountainstreet,3,0,1,0,2,0.0861
R94-OFF,mountainstreet,4,0,0,1,2,0.496
R94-OFF,mountainstreet,5,0,0,0,0,0.2282
R94-OFF,mountainstreet,6,1,0,0,2,3.5175
R94-OFF,mountainstreet,7,1,0,0,2,3.2367
R94-OFF,mountainstreet,8,0,0,0,1,1.4794
R94-OFF,mountainstreet,9,0,0,0,0,1.5149
R94-OFF,mountainstreet,10,0,0,0,1,1.8291
R94-OFF,mountainstreet,11,1,0,0,3,5.1211
R94-OFF,mountainstreet,12,0,0,0,1,1.1019
R94-OFF,mountainstreet,13,0,0,1,1,1.2895
R94-OFF,mountainstreet,14,1,0,0,1,9.5795
R94-OFF,mountainstreet,15,0,0,1,1,0.8482
R94-OFF,mountainstreet,16,0,0,0,1,1.616
R94-OFF,mountainstreet,17,0,0,0,3,0.3111
R94-OFF,mountainstreet,18,0,0,0,0,1.8579
R94-OFF,mountainstreet,19,0,0,1,5,0.1487
R94-OFF,mountainstreet,20,0,0,0,0,1.1983
R94-OFF,mountainstreet,21,0,0,0,1,2.0787
R94-OFF,mountainstreet,22,0,0,0,0,1.3361
R94-OFF,mountainstreet,23,0,0,0,1,2.8594
R94-OFF,mountainstreet,24,0,0,0,0,1.5001
R94-OFF,mountainstreet,25,0,0,0,3,0.9409
R94-OFF,mountainstreet,26,0,0,0,0,0.042
R94-OFF,mountainstreet,27,0,0,0,0,1.2024
R94-OFF,mountainstreet,28,0,0,0,2,1.0527
R94-OFF,mountainstreet,29,0,0,0,3,1.6565
R94-OFF,mountainstreet,30,0,0,1,3,0.1735
R94-OFF,mountainstreet,31,0,0,1,4,2.7608
R94-OFF,mountainstreet,32,1,0,0,0,5.403
R94-OFF,mountainstreet,33,1,0,0,0,4.0963
R94-OFF,mountainstreet,34,0,0,0,1,1.4979
R94-OFF,mountainstreet,35,0,0,1,3,0.3177
R94-OFF,mountainstreet,36,0,0,1,4,1.2796
R94-OFF,mountainstreet,37,0,0,0,1,1.3557
R94-OFF,mountainstreet,38,1,0,0,1,9.8387
R94-OFF,mountainstreet,39,0,0,1,3,0.8057
R94-OFF,mountainstreet,40,1,0,0,1,6.7754
R94-OFF,mountainstreet,41,0,0,1,2,0.4427
R94-OFF,mountainstreet,42,0,0,1,3,0.6182
