arm,track,seed,runaway,parade,swap,leadChanges,gap090
R94-OFF,searound,1,1,0,0,0,7.3055
R94-OFF,searound,2,0,0,0,1,0.7204
R94-OFF,searound,3,0,0,0,1,0.9551
R94-OFF,searound,4,1,0,0,0,4.5829
R94-OFF,searound,5,0,0,0,0,0.2687
R94-OFF,searound,6,1,0,0,3,10.0541
R94-OFF,searound,7,0,0,1,1,0.7691
R94-OFF,searound,8,1,0,0,1,4.4105
R94-OFF,searound,9,0,0,1,2,0.9043
R94-OFF,searound,10,0,0,0,1,1.1955
R94-OFF,searound,11,0,0,0,1,1.0108
R94-OFF,searound,12,1,0,0,0,6.0926
R94-OFF,searound,13,0,0,0,0,0.4135
R94-OFF,searound,14,0,0,1,4,0.102
R94-OFF,searound,15,1,0,0,3,8.4407
R94-OFF,searound,16,0,0,0,0,1.0027
R94-OFF,searound,17,1,0,0,2,8.3521
R94-OFF,searound,18,1,0,0,2,4.6747
R94-OFF,searound,19,0,0,0,2,1.616
R94-OFF,searound,20,1,0,0,0,5.5495
R94-OFF,searound,21,0,0,0,1,2.3979
R94-OFF,searound,22,0,0,0,2,1.197
R94-OFF,searound,23,0,1,0,4,3.0328
R94-OFF,searound,24,0,0,0,1,0.7169
R94-OFF,searound,25,0,0,0,1,2.1085
R94-OFF,searound,26,0,0,1,2,2.1598
R94-OFF,searound,27,0,0,0,2,0.8764
R94-OFF,searound,28,0,0,0,1,0.9636
R94-OFF,searound,29,0,0,0,1,0.3151
R94-OFF,searound,30,1,0,0,1,4.2412
R94-OFF,searound,31,1,0,0,0,8.5769
R94-OFF,searound,32,0,0,0,3,1.2299
R94-OFF,searound,33,0,0,0,0,1.0333
R94-OFF,searound,34,1,0,0,0,3.4664
R94-OFF,searound,35,0,0,0,0,0.1275
R94-OFF,searound,36,0,1,0,1,2.8191
R94-OFF,searound,37,0,0,0,1,1.8197
R94-OFF,searound,38,0,0,0,1,1.9136
R94-OFF,searound,39,0,0,1,3,0.5296
R94-OFF,searound,40,1,0,0,0,3.2758
R94-OFF,searound,41,0,0,0,2,0.2337
R94-OFF,searound,42,0,0,0,2,0.1332
R94-OFF,searound,43,0,0,1,3,0.259
R94-OFF,searound,44,0,0,1,1,2.2605
R94-OFF,searound,45,0,0,0,1,0.6368
R94-OFF,searound,46,0,0,1,4,0.2279
R94-OFF,searound,47,1,0,0,0,9.4864
R94-OFF,searound,48,0,0,0,1,1.4227
R94-OFF,searound,49,0,0,0,3,0.4148
R94-OFF,searound,50,0,0,1,1,0.9891
R94-OFF,searound,51,0,0,1,2,1.3117
R94-OFF,searound,52,1,0,0,1,3.0798
R94-OFF,searound,53,1,0,0,0,3.2976
R94-OFF,searound,54,0,0,0,3,1.201
R94-OFF,searound,55,1,0,0,0,5.0793
R94-OFF,searound,56,0,0,0,1,0.6952
R94-OFF,searound,57,1,0,0,1,5.9975
R94-OFF,searound,58,0,0,0,3,1.1992
R94-OFF,searound,59,0,0,0,0,2.1964
R94-OFF,searound,60,0,0,0,1,2.5355
R94-OFF,searound,61,0,0,0,4,1.4325
R94-OFF,searound,62,0,0,1,1,0.8555
R94-OFF,searound,63,1,0,0,4,3.5942
R94-OFF,searound,64,0,0,1,3,0.2761
R94-OFF,searound,65,0,0,1,2,0.1261
R94-OFF,searound,66,0,1,0,1,1.0392
R94-OFF,searound,67,0,0,1,4,0.5385
R94-OFF,searound,68,1,0,0,3,8.7608
R94-OFF,searound,69,0,0,1,3,0.0387
R94-OFF,searound,70,1,0,0,1,8.6596
R94-OFF,searound,71,0,0,1,1,0.3588
R94-OFF,searound,72,0,0,0,2,2.6446
R94-OFF,searound,73,0,0,1,2,0.7909
R94-OFF,searound,74,0,0,0,2,2.2735
R94-OFF,searound,75,1,0,0,2,10.5846
R94-OFF,searound,76,0,0,0,1,2.2193
R94-OFF,searound,77,1,0,0,0,5.0462
R94-OFF,searound,78,0,0,0,1,1.1307
R94-OFF,searound,79,0,0,1,3,1.3467
R94-OFF,searound,80,0,0,0,2,2.182
R94-OFF,searound,81,1,0,0,1,5.1151
R94-OFF,searound,82,0,0,0,2,1.5528
R94-OFF,searound,83,0,0,0,0,1.1145
R94-OFF,searound,84,0,0,0,2,1.1985
R94-OFF,searound,85,1,0,0,3,7.1366
R94-OFF,searound,86,0,0,1,2,0.5565
R94-OFF,searound,87,0,0,0,2,2.5603
R94-OFF,searound,88,1,0,0,1,5.7423
R94-OFF,searound,89,1,0,0,4,5.4955
R94-OFF,searound,90,0,0,0,3,1.1203
R94-OFF,searound,91,0,0,1,3,0.391
R94-OFF,searound,92,0,0,0,2,0.5836
R94-OFF,searound,93,0,0,0,0,1.3133
R94-OFF,searound,94,1,0,0,1,6.9279
R94-OFF,searound,95,1,0,0,2,3.9713
R94-OFF,searound,96,0,0,1,1,0.7384
R94-OFF,searound,97,0,0,0,1,1.102
R94-OFF,searound,98,0,0,0,3,0.8262
R94-OFF,searound,99,0,0,0,3,1.2856
R94-OFF,searound,100,1,0,0,1,8.258
