arm,track,seed,runaway,parade,swap,leadChanges,gap090
R94-ON,mountainstreet,1,1,0,0,1,7.3231
R94-ON,mountainstreet,2,0,0,0,1,2.031
R94-ON,mountainstreet,3,0,0,0,0,0.0861
R94-ON,mountainstreet,4,0,0,1,1,0.496
R94-ON,mountainstreet,5,0,0,0,1,0.2282
R94-ON,mountainstreet,6,0,0,0,1,1.6928
R94-ON,mountainstreet,7,0,0,1,1,3.2336
R94-ON,mountainstreet,8,0,0,0,2,1.4792
R94-ON,mountainstreet,9,0,0,0,0,1.5149
R94-ON,mountainstreet,10,0,0,1,2,0.8578
R94-ON,mountainstreet,11,1,0,0,0,4.8481
R94-ON,mountainstreet,12,0,0,0,2,1.1019
R94-ON,mountainstreet,13,0,0,0,2,1.7107
R94-ON,mountainstreet,14,1,0,0,2,9.1614
R94-ON,mountainstreet,15,0,0,1,2,0.5493
R94-ON,mountainstreet,16,0,0,0,1,1.616
R94-ON,mountainstreet,17,0,0,1,1,0.1882
R94-ON,mountainstreet,18,0,0,0,1,1.8278
R94-ON,mountainstreet,19,0,0,0,1,0.322
R94-ON,mountainstreet,20,0,0,0,3,1.1172
R94-ON,mountainstreet,21,0,0,0,0,1.9032
R94-ON,mountainstreet,22,0,0,0,2,1.3361
R94-ON,mountainstreet,23,0,0,1,5,0.1093
R94-ON,mountainstreet,24,0,0,0,1,1.5001
R94-ON,mountainstreet,25,0,0,0,2,0.2617
R94-ON,mountainstreet,26,0,0,0,0,0.6334
R94-ON,mountainstreet,27,0,0,0,0,1.1995
R94-ON,mountainstreet,28,0,0,0,2,1.0527
R94-ON,mountainstreet,29,0,0,0,1,1.6261
R94-ON,mountainstreet,30,0,0,1,1,0.1735
R94-ON,mountainstreet,31,0,0,1,3,1.7762
R94-ON,mountainstreet,32,0,0,0,1,2.3469
R94-ON,mountainstreet,33,1,0,0,1,4.0963
R94-ON,mountainstreet,34,0,0,1,3,2.2146
R94-ON,mountainstreet,35,0,0,0,1,0.0469
R94-ON,mountainstreet,36,0,0,1,4,1.2777
R94-ON,mountainstreet,37,0,0,0,1,1.2168
R94-ON,mountainstreet,38,0,0,1,1,2.0906
R94-ON,mountainstreet,39,0,0,1,4,1.3237
R94-ON,mountainstreet,40,0,0,0,3,4.1957
R94-ON,mountainstreet,41,0,0,1,2,0.4427
R94-ON,mountainstreet,42,0,0,1,2,0.3548
R94-ON,mountainstreet,43,0,0,1,1,1.1655
