arm,track,seed,runaway,parade,swap,leadChanges,gap090
R95-ON,searound,1,1,0,0,0,4.4821
R95-ON,searound,2,0,0,0,2,1.617
R95-ON,searound,3,0,0,0,1,1.7296
R95-ON,searound,4,0,0,1,1,1.3346
R95-ON,searound,5,0,0,0,1,1.0109
R95-ON,searound,6,1,0,0,1,5.9339
R95-ON,searound,7,0,0,0,0,0.1217
R95-ON,searound,8,0,0,1,2,1.3041
R95-ON,searound,9,0,0,1,1,0.7028
R95-ON,searound,10,0,0,0,1,0.5726
R95-ON,searound,11,0,0,0,1,1.5005
R95-ON,searound,12,1,0,0,2,3.5091
R95-ON,searound,13,0,0,1,2,0.4176
R95-ON,searound,14,0,0,1,1,0.9214
R95-ON,searound,15,1,0,0,0,4.1782
R95-ON,searound,16,0,0,1,3,1.5642
R95-ON,searound,17,0,0,1,1,3.995
R95-ON,searound,18,1,0,0,2,3.7066
R95-ON,searound,19,0,0,0,2,1.1335
R95-ON,searound,20,1,0,0,0,4.4303
R95-ON,searound,21,0,0,0,1,1.2016
R95-ON,searound,22,0,0,0,2,1.641
R95-ON,searound,23,0,0,1,2,2.0852
R95-ON,searound,24,0,0,1,1,0.4108
R95-ON,searound,25,0,0,0,2,2.1085
R95-ON,searound,26,0,0,0,2,0.5583
R95-ON,searound,27,0,0,0,0,0.9686
R95-ON,searound,28,0,0,0,0,1.2005
R95-ON,searound,29,0,0,0,1,1.4998
R95-ON,searound,30,1,0,0,3,3.649
R95-ON,searound,31,0,0,0,0,1.6339
R95-ON,searound,32,0,0,0,1,0.8375
R95-ON,searound,33,0,0,0,1,1.0333
R95-ON,searound,34,0,0,1,1,0.6328
R95-ON,searound,35,0,0,0,2,1.1996
R95-ON,searound,36,0,0,0,0,3.4709
R95-ON,searound,37,0,0,0,0,5.2033
R95-ON,searound,38,0,0,0,1,1.9136
R95-ON,searound,39,0,0,0,2,0.8597
R95-ON,searound,40,0,0,0,0,1.1981
R95-ON,searound,41,0,0,1,2,0.4048
R95-ON,searound,42,0,0,0,2,0.1332
R95-ON,searound,43,0,0,1,2,0.2832
R95-ON,searound,44,0,0,1,1,2.3182
R95-ON,searound,45,0,0,0,0,0.6413
R95-ON,searound,46,0,0,0,0,1.4762
R95-ON,searound,47,0,0,0,3,2.648
R95-ON,searound,48,0,0,0,0,1.2568
R95-ON,searound,49,0,0,0,3,0.4148
R95-ON,searound,50,0,1,0,0,1.6658
R95-ON,searound,51,0,0,1,1,0.2656
R95-ON,searound,52,0,0,0,0,1.5561
R95-ON,searound,53,0,0,0,0,0.9722
R95-ON,searound,54,0,0,0,1,2.2065
R95-ON,searound,55,1,0,0,0,3.4852
R95-ON,searound,56,0,0,1,1,1.1791
R95-ON,searound,57,1,0,0,0,5.7049
R95-ON,searound,58,0,0,1,1,0.9824
R95-ON,searound,59,0,0,0,3,2.0494
R95-ON,searound,60,0,0,0,0,1.1838
R95-ON,searound,61,0,0,0,0,2.1558
R95-ON,searound,62,0,0,1,1,0.0856
R95-ON,searound,63,0,0,0,1,1.6697
R95-ON,searound,64,0,0,0,3,4.1417
R95-ON,searound,65,0,0,0,2,0.0065
R95-ON,searound,66,1,0,0,1,3.9794
R95-ON,searound,67,0,0,0,0,0.9956
R95-ON,searound,68,0,0,0,1,1.1995
R95-ON,searound,69,0,0,1,2,1.1992
R95-ON,searound,70,0,0,0,0,1.779
R95-ON,searound,71,0,0,1,2,1.2141
R95-ON,searound,72,0,0,1,1,1.9338
R95-ON,searound,73,0,0,0,1,1.153
R95-ON,searound,74,0,0,0,2,2.9385
R95-ON,searound,75,1,0,0,0,11.7488
R95-ON,searound,76,0,0,0,1,1.2409
R95-ON,searound,77,1,0,0,1,4.0048
R95-ON,searound,78,0,0,0,0,1.2
R95-ON,searound,79,0,0,1,2,1.5002
R95-ON,searound,80,0,0,0,3,1.2606
R95-ON,searound,81,0,0,1,2,0.2966
R95-ON,searound,82,0,0,0,3,1.5558
R95-ON,searound,83,0,0,0,0,1.1996
R95-ON,searound,84,0,0,0,1,1.1996
R95-ON,searound,85,0,0,1,2,1.2478
R95-ON,searound,86,0,0,1,2,0.3273
R95-ON,searound,87,0,0,0,2,2.2236
R95-ON,searound,88,0,0,0,0,0.8241
R95-ON,searound,89,0,0,0,1,1.5346
R95-ON,searound,90,0,0,0,1,1.4422
R95-ON,searound,91,0,0,1,2,0.3281
R95-ON,searound,92,0,0,0,2,0.6391
R95-ON,searound,93,0,0,0,3,0.9894
R95-ON,searound,94,0,0,1,2,2.153
R95-ON,searound,95,1,0,0,0,6.7867
R95-ON,searound,96,0,0,0,1,1.9868
R95-ON,searound,97,0,0,0,2,1.0708
R95-ON,searound,98,0,0,0,0,2.2071
R95-ON,searound,99,0,0,0,1,1.9248
R95-ON,searound,100,0,0,1,1,3.0742
