arm,track,seed,runaway,parade,swap,leadChanges,gap090
V0,luger-hill,1,0,0,0,3,0.7074
V0,luger-hill,2,0,0,0,1,2.3349
V0,luger-hill,3,1,0,0,1,4.4141
V0,luger-hill,4,0,0,0,1,0.2735
V0,luger-hill,5,0,0,0,1,1.8258
V0,luger-hill,6,0,0,0,1,1.1971
V0,luger-hill,7,0,0,1,1,0.1619
V0,luger-hill,8,1,0,0,2,4.5608
V0,luger-hill,9,0,0,0,0,0.6631
V0,luger-hill,10,1,0,0,1,4.9212
V0,luger-hill,11,0,0,0,2,1.1998
V0,luger-hill,12,0,0,0,3,2.6988
V0,luger-hill,13,0,0,0,0,1.207
V0,luger-hill,14,0,0,1,1,0.0321
V0,luger-hill,15,0,0,0,2,1.1386
V0,luger-hill,16,1,0,0,1,3.7773
V0,luger-hill,17,0,0,1,2,2.1386
V0,luger-hill,18,0,0,0,0,2.1611
V0,luger-hill,19,0,0,0,1,1.6823
V0,luger-hill,20,0,0,0,1,0.9206
V0,luger-hill,21,0,0,0,4,1.6455
V0,luger-hill,22,0,0,1,2,0.6328
V0,luger-hill,23,0,0,0,0,0.5227
V0,luger-hill,24,1,0,0,1,4.9629
V0,luger-hill,25,1,0,0,1,3.1534
V0,luger-hill,26,1,0,0,0,5.1275
V0,luger-hill,27,0,0,0,0,0.1985
V0,luger-hill,28,0,0,1,1,0.5177
V0,luger-hill,29,0,0,0,0,0.2689
V0,luger-hill,30,0,0,0,3,1.1944
V0,luger-hill,31,0,0,0,1,1.2258
V0,luger-hill,32,0,0,0,3,0.2911
V0,luger-hill,33,1,0,0,1,4.7775
V0,luger-hill,34,0,0,0,0,0.5745
V0,luger-hill,35,0,0,1,1,0.5821
V0,luger-hill,36,0,0,0,1,1.2242
V0,luger-hill,37,0,0,0,2,2.3679
V0,luger-hill,38,0,0,0,0,1.1979
V0,luger-hill,39,0,0,0,1,1.6658
V0,luger-hill,40,0,0,0,1,1.7697
V0,luger-hill,41,0,0,0,3,0.0571
V0,luger-hill,42,0,0,0,1,2.4956
V0,luger-hill,43,0,0,0,3,1.8473
V0,luger-hill,44,0,0,0,1,1.3373
V0,luger-hill,45,1,0,0,2,3.2894
V0,luger-hill,46,0,0,0,1,0.9854
V0,luger-hill,47,0,0,1,2,0.166
V0,luger-hill,48,0,0,0,1,1.7331
V0,luger-hill,49,0,0,0,1,1.6837
V0,luger-hill,50,0,0,1,3,0.4482
V0,luger-hill,51,0,0,0,0,1.0395
V0,luger-hill,52,0,0,1,2,0.4121
V0,luger-hill,53,0,0,1,2,1.0722
V0,luger-hill,54,1,0,0,1,4.8671
V0,luger-hill,55,0,0,1,3,0.5005
V0,luger-hill,56,0,0,1,2,0.8387
V0,luger-hill,57,0,0,1,1,1.2683
V0,luger-hill,58,0,0,1,3,0.2189
V0,luger-hill,59,0,0,1,5,0.0296
V0,luger-hill,60,0,0,1,4,0.0966
V0,luger-hill,61,0,0,0,1,2.1635
V0,luger-hill,62,0,0,0,1,0.5192
V0,luger-hill,63,0,0,0,0,0.4107
V0,luger-hill,64,0,0,1,1,2.3342
V0,luger-hill,65,0,0,0,1,2.3533
V0,luger-hill,66,0,0,0,1,2.1499
V0,luger-hill,67,0,0,0,1,1.4101
V0,luger-hill,68,0,0,1,1,0.8654
V0,luger-hill,69,1,0,0,0,3.8897
V0,luger-hill,70,0,0,1,5,0.0544
V0,luger-hill,71,0,0,0,0,0.6382
V0,luger-hill,72,0,0,0,2,1.4867
V0,luger-hill,73,0,0,0,1,0.2446
V0,luger-hill,74,0,0,1,3,1.1279
V0,luger-hill,75,1,0,0,0,5.9952
V0,luger-hill,76,0,0,0,2,1.1981
V0,luger-hill,77,0,0,0,0,0.9285
V0,luger-hill,78,0,0,0,1,1.6263
V0,luger-hill,79,0,0,0,1,0.3711
V0,luger-hill,80,0,0,0,3,1.968
V0,luger-hill,81,0,0,0,0,1.0509
V0,luger-hill,82,0,1,0,1,1.1941
V0,luger-hill,83,0,0,0,2,1.385
V0,luger-hill,84,0,0,1,2,0.62
V0,luger-hill,85,0,0,1,2,0.5149
V0,luger-hill,86,1,0,0,0,3.7057
V0,luger-hill,87,0,0,0,2,0.4616
V0,luger-hill,88,0,0,1,3,0.0679
V0,luger-hill,89,1,0,0,1,3.9112
V0,luger-hill,90,0,0,0,0,1.553
V0,luger-hill,91,1,0,0,2,4.8498
V0,luger-hill,92,0,0,0,0,1.9098
V0,luger-hill,93,1,0,0,1,3.4236
V0,luger-hill,94,0,0,0,1,1.6057
V0,luger-hill,95,0,0,0,1,1.3881
V0,luger-hill,96,0,0,1,1,0.3704
V0,luger-hill,97,1,0,0,1,3.936
V0,luger-hill,98,0,0,0,0,0.5496
V0,luger-hill,99,1,0,0,2,3.8252
V0,luger-hill,100,0,0,0,0,0.6321
