arm,track,seed,runaway,parade,gap090,within3
G075,mountainstreet,1,1,0,7.3153,0
G075,mountainstreet,2,0,0,2.6592,3
G075,mountainstreet,3,0,0,0.2423,1
G075,mountainstreet,4,0,0,0.7615,2
G075,mountainstreet,5,0,0,1.0164,2
G075,mountainstreet,6,0,0,4.3298,0
G075,mountainstreet,7,0,0,3.2336,0
G075,mountainstreet,8,0,0,1.6348,1
G075,mountainstreet,9,0,0,1.504,2
G075,mountainstreet,10,0,0,1.199,3
G075,mountainstreet,11,1,0,5.0722,0
G075,mountainstreet,12,0,0,1.0436,1
G075,mountainstreet,13,0,0,0.0987,4
G075,mountainstreet,14,0,0,0.6637,1
G075,mountainstreet,15,0,0,0.1229,4
G075,mountainstreet,16,0,0,1.616,2
G075,mountainstreet,17,0,0,0.5058,2
G075,mountainstreet,18,0,0,1.3136,11
G075,mountainstreet,19,0,0,1.8193,1
G075,mountainstreet,20,0,0,1.1171,1
G075,mountainstreet,21,0,0,1.1076,3
G075,mountainstreet,22,0,0,1.5441,2
G075,mountainstreet,23,0,0,1.6775,2
G075,mountainstreet,24,0,0,0.3069,7
G075,mountainstreet,25,0,0,0.7897,3
G075,mountainstreet,26,0,0,2.5001,2
G075,mountainstreet,27,0,0,0.295,12
G075,mountainstreet,28,0,0,0.9999,1
G075,mountainstreet,29,0,0,0.7247,4
G075,mountainstreet,30,0,0,0.3085,12
G075,mountainstreet,31,0,0,2.7938,1
G075,mountainstreet,32,0,0,1.4539,2
G075,mountainstreet,33,0,0,2.9588,1
G075,mountainstreet,34,0,0,2.5221,1
G075,mountainstreet,35,0,0,0.8668,1
G075,mountainstreet,36,0,0,0.8816,2
G075,mountainstreet,37,0,0,0.2368,3
G075,mountainstreet,38,0,0,1.7367,1
G075,mountainstreet,39,0,0,0.7372,5
G075,mountainstreet,40,0,0,0.5591,2
G075,mountainstreet,41,0,0,0.0506,6
G075,mountainstreet,42,1,0,3.9684,0
G075,mountainstreet,43,0,0,1.0876,2
G075,mountainstreet,44,1,0,4.1882,0
G075,mountainstreet,45,0,0,2.4494,2
G075,mountainstreet,46,0,0,1.4951,3
G075,mountainstreet,47,0,0,1.375,3
G075,mountainstreet,48,0,0,0.9628,7
G075,mountainstreet,49,0,0,0.6663,4
G075,mountainstreet,50,0,0,0.6799,2
