arm,track,seed,runaway,parade,gap090,within3
G15,searound,1,1,0,4.4821,0
G15,searound,2,0,0,1.617,1
G15,searound,3,0,0,1.7296,2
G15,searound,4,0,0,1.3346,1
G15,searound,5,0,0,1.0109,1
G15,searound,6,1,0,5.9339,0
G15,searound,7,0,0,0.1217,7
G15,searound,8,0,0,1.3041,1
G15,searound,9,0,0,0.7028,6
G15,searound,10,0,0,0.5726,3
G15,searound,11,0,0,1.5005,1
G15,searound,12,1,0,3.5091,0
G15,searound,13,0,1,0.4176,5
G15,searound,14,0,0,0.9214,6
G15,searound,15,1,0,4.1782,0
G15,searound,16,0,0,1.5642,2
G15,searound,17,0,0,3.995,0
G15,searound,18,1,0,3.7066,0
G15,searound,19,0,0,1.1335,1
G15,searound,20,1,0,4.4303,0
G15,searound,21,0,0,1.2016,2
G15,searound,22,0,0,1.641,1
G15,searound,23,0,0,2.0852,1
G15,searound,24,0,0,0.4108,11
G15,searound,25,0,0,2.1085,1
G15,searound,26,0,0,0.5583,3
G15,searound,27,0,0,0.9686,1
G15,searound,28,0,0,1.2005,1
G15,searound,29,0,0,1.4998,1
G15,searound,30,1,0,3.649,0
G15,searound,31,1,0,3.187,0
G15,searound,32,0,0,0.8375,8
G15,searound,33,0,0,1.0333,2
G15,searound,34,0,0,0.6328,2
G15,searound,35,0,0,1.1996,2
G15,searound,36,0,0,3.4709,0
G15,searound,37,0,0,5.2033,0
G15,searound,38,0,0,1.9136,1
G15,searound,39,0,0,0.8597,9
G15,searound,40,0,0,1.1981,2
G15,searound,41,0,0,0.4048,9
G15,searound,42,0,0,0.1332,6
G15,searound,43,0,0,0.2832,8
G15,searound,44,0,0,2.3182,2
G15,searound,45,0,0,0.299,4
G15,searound,46,0,0,1.4762,1
G15,searound,47,0,0,2.648,1
G15,searound,48,0,0,1.2568,3
G15,searound,49,0,0,0.4148,7
G15,searound,50,0,0,1.6658,4
