arm,track,seed,runaway,parade,gap090,within3
OFF,mountainstreet,1,1,0,6.6043,0
OFF,mountainstreet,2,0,0,2.031,6
OFF,mountainstreet,3,0,1,0.0861,1
OFF,mountainstreet,4,0,0,0.496,2
OFF,mountainstreet,5,0,0,0.2282,2
OFF,mountainstreet,6,1,0,3.5175,0
OFF,mountainstreet,7,1,0,3.2367,0
OFF,mountainstreet,8,0,0,1.4794,2
OFF,mountainstreet,9,0,0,1.5149,1
OFF,mountainstreet,10,0,0,1.8291,3
OFF,mountainstreet,11,1,0,5.1211,0
OFF,mountainstreet,12,0,0,1.1019,1
OFF,mountainstreet,13,0,0,0.0987,4
OFF,mountainstreet,14,1,0,9.5795,0
OFF,mountainstreet,15,0,0,0.8482,4
OFF,mountainstreet,16,0,0,1.616,2
OFF,mountainstreet,17,0,0,0.3111,5
OFF,mountainstreet,18,0,0,1.8579,4
OFF,mountainstreet,19,0,0,0.1487,17
OFF,mountainstreet,20,0,0,1.1983,2
OFF,mountainstreet,21,0,0,2.0787,1
OFF,mountainstreet,22,0,0,1.3361,2
OFF,mountainstreet,23,0,0,2.8594,1
OFF,mountainstreet,24,0,0,1.5001,2
OFF,mountainstreet,25,0,0,0.9409,3
OFF,mountainstreet,26,0,0,0.042,3
OFF,mountainstreet,27,1,0,4.8863,0
OFF,mountainstreet,28,0,0,1.0527,1
OFF,mountainstreet,29,0,0,1.6565,2
OFF,mountainstreet,30,0,0,0.1735,11
OFF,mountainstreet,31,0,0,2.7608,1
OFF,mountainstreet,32,1,0,5.403,0
OFF,mountainstreet,33,0,0,2.8915,1
OFF,mountainstreet,34,0,0,1.4979,2
OFF,mountainstreet,35,0,0,0.3177,1
OFF,mountainstreet,36,0,0,1.2796,3
OFF,mountainstreet,37,0,0,1.0302,2
OFF,mountainstreet,38,1,0,9.8387,0
OFF,mountainstreet,39,0,0,0.8057,7
OFF,mountainstreet,40,1,0,6.7754,0
OFF,mountainstreet,41,0,0,0.4427,6
OFF,mountainstreet,42,0,0,0.6182,1
OFF,mountainstreet,43,0,0,1.3937,2
OFF,mountainstreet,44,0,0,2.9764,1
OFF,mountainstreet,45,1,0,5.1823,0
OFF,mountainstreet,46,0,0,2.726,1
OFF,mountainstreet,47,0,0,1.2624,3
OFF,mountainstreet,48,0,0,1.1955,5
OFF,mountainstreet,49,0,0,0.1942,4
OFF,mountainstreet,50,0,0,1.199,1
