arm,track,seed,runaway,parade,gap090,within3
OFF,searound,1,1,0,7.3055,0
OFF,searound,2,0,0,0.7204,4
OFF,searound,3,0,0,0.9551,1
OFF,searound,4,1,0,4.5829,0
OFF,searound,5,0,0,0.2687,1
OFF,searound,6,1,0,10.0541,0
OFF,searound,7,0,0,0.7691,2
OFF,searound,8,1,0,4.4105,0
OFF,searound,9,0,0,0.9043,6
OFF,searound,10,0,0,1.1955,2
OFF,searound,11,0,0,1.0108,1
OFF,searound,12,1,0,6.0926,0
OFF,searound,13,0,0,0.4135,3
OFF,searound,14,0,0,0.102,11
OFF,searound,15,1,0,8.4407,0
OFF,searound,16,0,0,1.0027,1
OFF,searound,17,1,0,8.3521,0
OFF,searound,18,1,0,4.6747,0
OFF,searound,19,0,0,1.616,1
OFF,searound,20,1,0,5.5495,0
OFF,searound,21,0,0,2.3979,1
OFF,searound,22,0,0,1.197,3
OFF,searound,23,0,0,3.0328,0
OFF,searound,24,0,0,0.7169,9
OFF,searound,25,0,0,2.1085,2
OFF,searound,26,0,0,2.1598,1
OFF,searound,27,0,0,0.8764,1
OFF,searound,28,0,0,0.9636,4
OFF,searound,29,0,0,0.3151,2
OFF,searound,30,1,0,4.2412,0
OFF,searound,31,1,0,9.2766,0
OFF,searound,32,0,0,1.2299,8
OFF,searound,33,0,0,1.0333,2
OFF,searound,34,1,0,3.4664,0
OFF,searound,35,0,0,0.1275,2
OFF,searound,36,0,1,2.8191,1
OFF,searound,37,0,0,1.8197,1
OFF,searound,38,0,0,1.9136,1
OFF,searound,39,0,0,0.5296,10
OFF,searound,40,1,0,3.2758,0
OFF,searound,41,0,0,0.2337,9
OFF,searound,42,0,0,0.1332,6
OFF,searound,43,0,0,0.259,6
OFF,searound,44,0,0,2.2605,2
OFF,searound,45,0,0,0.1218,5
OFF,searound,46,0,0,0.2279,1
OFF,searound,47,1,0,9.4864,0
OFF,searound,48,0,0,1.4227,3
OFF,searound,49,0,0,0.4148,7
OFF,searound,50,0,0,0.9891,2
