track,type,raceIdx,runaway,sample,rank,index,effSpeed,product,baseSpeed,spreadFactor,speedBonusMult,boost,brake,rowEnvMult,trajectoryMult,areaBonusMult,governorMult,servoSaturated,servoHeadroom,bandHeadroom,finishClamp,gapAhead
dirt-oval,closed,0,1,0.7,1,10,0.000290484,0.000290484,0.00030815,1.08134,1.007755,1,1,1,0.942672,1,1,0,0.157328,0,0,0
dirt-oval,closed,0,1,0.7,2,37,0.000262814,0.000262814,0.000309193,1.080841,1.011633,1,1,1,0.85,1,1,0,0.25,0.000499,0,3.3001
dirt-oval,closed,0,1,0.7,3,8,0.00028956,0.00028956,0.000265612,0.932067,1.007755,1,1,1,1.090163,1,1,0,0.009837,0.149272,0,1.0147
dirt-oval,closed,0,1,0.7,4,35,0.00026092,0.00026092,0.000306964,1.08134,1.003878,1,1,1,0.85,1,1,0,0.25,0,0,0.1782
dirt-oval,closed,0,1,0.7,5,34,0.000256835,0.000256835,0.000288409,1.008187,1.011633,1.04,1,1,0.856271,1,1,0,0.243729,0.073152,0,0.3784
dirt-oval,closed,0,1,0.7,6,32,0.000256432,0.000256432,0.000306964,1.08134,1.003878,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.0143
dirt-oval,closed,0,1,0.7,7,7,0.000259206,0.000259206,0.000306964,1.08134,1.003878,1,0.945,1,0.893562,1,1,0,0.206438,0,0,0.0233
dirt-oval,closed,0,1,0.7,8,3,0.000283112,0.000283112,0.000282985,0.993032,1.007755,1,1,1,1.000448,1,1,0,0.099552,0.088308,0,2.4875
dirt-oval,closed,0,1,0.7,9,33,0.000255377,0.000255377,0.000300444,1.058371,1.003878,1,1,1,0.85,1,1,0,0.25,0.022969,0,0.2671
dirt-oval,closed,0,1,0.7,10,27,0.000254903,0.000254903,0.000288352,1.011867,1.007755,1.04,1,1,0.85,1,1,0,0.25,0.069473,0,1.5342
dirt-oval,closed,0,1,0.7,11,5,0.00022898,0.00022898,0.000269388,0.948969,1.003878,1,1,1,0.85,1,1,0,0.25,0.132371,0,0.3672
dirt-oval,closed,0,1,0.7,12,16,0.000245824,0.000245824,0.000289051,1.01432,1.007755,1,1,1,0.850451,1,1,0,0.249549,0.06702,0,0.1339
dirt-oval,closed,0,1,0.7,13,19,0.00022875,0.00022875,0.000305779,1.08134,1,1,0.783143,1,0.95524,1,1,0,0.14476,0,0,0.096
dirt-oval,closed,0,1,0.7,14,6,0.000261927,0.000261927,0.00030815,1.08134,1.007755,1,1,1,0.85,1,1,0,0.25,0,0,0.4727
dirt-oval,closed,0,1,0.7,15,23,0.000300596,0.000300596,0.000262798,0.91866,1.011633,1.04,1,1,1.099834,1,1,0,0.000166,0.162679,0,0.6694
dirt-oval,closed,0,1,0.75,1,10,0.0002854,0.0002854,0.00030815,1.08134,1.007755,1,1,1,0.926174,1,1,0,0.173826,0,0,0
dirt-oval,closed,0,1,0.75,2,37,0.000262679,0.000262679,0.000309034,1.080284,1.011633,1,1,1,0.85,1,1,0,0.25,0.001056,0,4.7819
dirt-oval,closed,0,1,0.75,3,8,0.000272688,0.000272688,0.000267884,0.940041,1.007755,1,1,1,1.017932,1,1,0,0.082068,0.141299,0,0.1919
dirt-oval,closed,0,1,0.75,4,35,0.00026092,0.00026092,0.000306964,1.08134,1.003878,1,1,1,0.85,1,1,0,0.25,0,0,1.1057
dirt-oval,closed,0,1,0.75,5,34,0.000273138,0.000273138,0.000302711,1.058183,1.011633,1.04,0.913305,1,0.949957,1,1,0,0.150043,0.023156,0,0.1028
dirt-oval,closed,0,1,0.75,6,3,0.00030787,0.00030787,0.00030815,1.08134,1.007755,1,1,1,0.999093,1,1,0,0.100907,0,0,0.0782
dirt-oval,closed,0,1,0.75,7,7,0.000260797,0.000260797,0.0003024,1.06526,1.003878,1,0.898223,1,0.960147,1,1,0,0.139853,0.016079,0,0.13
dirt-oval,closed,0,1,0.75,8,32,0.000256313,0.000256313,0.000289947,1.021394,1.003878,1.04,1,1,0.85,1,1,0,0.25,0.059945,0,0.4637
dirt-oval,closed,0,1,0.75,9,33,0.000260405,0.000260405,0.000306358,1.079205,1.003878,1,1,1,0.85,1,1,0,0.25,0.002134,0,2.805
dirt-oval,closed,0,1,0.75,10,19,0.000266562,0.000266562,0.000304038,1.075185,1,1,1,1,0.876738,1,1,0,0.223262,0.006154,0,1.0798
dirt-oval,closed,0,1,0.75,11,27,0.000255307,0.000255307,0.000288808,1.013467,1.007755,1.04,1,1,0.85,1,1,0,0.25,0.067872,0,0.477
dirt-oval,closed,0,1,0.75,12,16,0.000262066,0.000262066,0.00030815,1.08134,1.007755,1,1,1,0.850451,1,1,0,0.249549,0,0,0.6594
