track,type,raceIdx,runaway,sample,rank,index,effSpeed,product,baseSpeed,spreadFactor,speedBonusMult,boost,brake,rowEnvMult,trajectoryMult,areaBonusMult,governorMult,servoSaturated,servoHeadroom,bandHeadroom,finishClamp,gapAhead
luger-hill,open,0,0,0.7,1,11,0.000216486,0.000216486,0.00025469,1.035078,1.021786,1,1,1,0.85,1,1,0,0.25,0.046261,0,0
luger-hill,open,0,0,0.7,2,32,0.000214612,0.000214612,0.000252484,1.037173,1.010893,1,1,1,0.85,1,1,0,0.25,0.044167,0,0.2906
luger-hill,open,0,0,0.7,3,5,0.000213723,0.000213723,0.000266072,1.08134,1.021786,1,0.945,1,0.85,1,1,0,0.25,0,0,0.1125
luger-hill,open,0,0,0.7,4,2,0.000204386,0.000204386,0.00023971,0.9847,1.010893,1,1,1,0.852636,1,1,0,0.247364,0.09664,0,0.7045
luger-hill,open,0,0,0.7,5,21,0.000230919,0.000230919,0.000244409,1.014939,1,1,0.945,1,0.999792,1,1,0,0.100208,0.066401,0,0.047
luger-hill,open,0,0,0.7,6,23,0.000211753,0.000211753,0.000248887,0.99038,1.043573,1,1,1,0.850801,1,1,0,0.249199,0.09096,0,0.0891
luger-hill,open,0,0,0.7,7,9,0.000249582,0.000249582,0.000230864,0.91866,1.043573,1.04,0.945,1,1.1,1,1,1,0,0.162679,0,0.2691
luger-hill,open,0,0,0.7,8,15,0.000250185,0.000250185,0.000245197,1.018211,1,1,1,1,1.020341,1,1,0,0.079659,0.063129,0,0.1075
luger-hill,open,0,0,0.7,9,4,0.000259176,0.000259176,0.000251352,1.032523,1.010893,1,0.945,1,1.09114,1,1,0,0.00886,0.048817,0,0.1317
luger-hill,open,0,0,0.7,10,37,0.000213796,0.000213796,0.000266085,1.058814,1.043573,1,0.945,1,0.850251,1,1,0,0.249749,0.022526,0,0.2532
luger-hill,open,0,0,0.7,11,35,0.000230745,0.000230745,0.00024418,1.00306,1.010893,1,0.945,1,0.99998,1,1,0,0.10002,0.07828,0,0.1154
luger-hill,open,0,0,0.7,12,10,0.000224641,0.000224641,0.000268909,1.08134,1.03268,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.0439
luger-hill,open,0,0,0.7,13,17,0.000192286,0.000192286,0.000239385,0.994077,1,1,0.945,1,0.85,1,1,0,0.25,0.087263,0,0.5868
luger-hill,open,0,0,0.7,14,27,0.000216001,0.000216001,0.000268909,1.08134,1.03268,1,0.945,1,0.85,1,1,0,0.25,0,0,0.5705
luger-hill,open,0,0,0.7,15,25,0.000227259,0.000227259,0.000271697,1.081147,1.043573,1.04,0.945,1,0.851079,1,1,0,0.248921,0.000193,0,0.0789
luger-hill,open,0,0,0.75,1,11,0.000217534,0.000217534,0.000255566,1.038643,1.021786,1,1,1,0.851185,1,1,0,0.248815,0.042697,0,0
luger-hill,open,0,0,0.75,2,4,0.000216666,0.000216666,0.000251352,1.032523,1.010893,1,1,1,0.862003,1,1,0,0.237997,0.048817,0,0.2664
luger-hill,open,0,0,0.75,3,9,0.000250559,0.000250559,0.000230864,0.91866,1.043573,1,1,1,1.085312,1,1,0,0.014688,0.162679,0,0.1011
luger-hill,open,0,0,0.75,4,32,0.000202964,0.000202964,0.000252679,1.037971,1.010893,1,0.945,1,0.85,1,1,0,0.25,0.043368,0,0.032
luger-hill,open,0,0,0.75,5,5,0.000209004,0.000209004,0.000260198,1.057465,1.021786,1,0.945,1,0.85,1,1,0,0.25,0.023875,0,0.1601
luger-hill,open,0,0,0.75,6,23,0.000253089,0.000253089,0.000230864,0.91866,1.043573,1,1,1,1.096271,1,1,0,0.003729,0.162679,0,0.1447
luger-hill,open,0,0,0.75,7,15,0.000233484,0.000233484,0.000245197,1.018211,1,1,0.945,1,1.00765,1,1,0,0.09235,0.063129,0,0.1017
luger-hill,open,0,0,0.75,8,21,0.000230768,0.000230768,0.00024442,1.014982,1,1,0.945,1,0.999098,1,1,0,0.100902,0.066358,0,0.3501
luger-hill,open,0,0,0.75,9,39,0.000263193,0.000263193,0.000253192,1.040079,1.010893,1,0.945,1,1.1,1,1,1,0,0.04126,0,0.1126
luger-hill,open,0,0,0.75,10,35,0.00022681,0.00022681,0.000230787,0.948045,1.010893,1.04,0.945,1,0.999965,1,1,0,0.100035,0.133295,0,0.232
luger-hill,open,0,0,0.75,11,2,0.0001992,0.0001992,0.00023412,0.961735,1.010893,1,0.945,1,0.900367,1,1,0,0.199633,0.119605,0,0.2155
luger-hill,open,0,0,0.75,12,37,0.000229241,0.000229241,0.000266083,1.058808,1.043573,1.04,0.945,1,0.876618,1,1,0,0.223382,0.022532,0,0.2571
luger-hill,open,0,0,0.75,13,10,0.000216001,0.000216001,0.000268909,1.08134,1.03268,1,0.945,1,0.85,1,1,0,0.25,0,0,0.1624
luger-hill,open,0,0,0.75,14,0,0.000279144,0.000279144,0.000269891,1.073959,1.043573,1,0.945,1,1.094483,1,1,0,0.005517,0.007381,0,0.7194
luger-hill,open,0,0,0.75,15,27,0.000228573,0.000228573,0.000268909,1.08134,1.03268,1,1,1,0.85,1,1,0,0.25,0,0,0.2263
luger-hill,open,0,0,0.8,1,39,0.000274882,0.000274882,0.000253192,1.040079,1.010893,1,1,1,1.085668,1,1,0,0.014332,0.04126,0,0
luger-hill,open,0,0,0.8,2,11,0.000228947,0.000228947,0.000255566,1.038643,1.021786,1,1,1,0.895841,1,1,0,0.204159,0.042697,0,0.3974
luger-hill,open,0,0,0.8,3,9,0.000229344,0.000229344,0.000230864,0.91866,1.043573,1,1,1,0.993416,1,1,0,0.106584,0.162679,0,0.1148
luger-hill,open,0,0,0.8,4,15,0.000246993,0.000246993,0.000260331,1.081056,1,1,0.945,1,1.003986,1,1,0,0.096014,0.000284,0,0.029
luger-hill,open,0,0,0.8,5,23,0.000187179,0.000187179,0.000230864,0.91866,1.043573,1,0.945,1,0.857966,1,1,0,0.242034,0.162679,0,0.0499
luger-hill,open,0,0,0.8,6,4,0.000235331,0.000235331,0.000255438,1.049307,1.010893,1,0.945,1,0.974904,1,1,0,0.125096,0.032032,0,0.3166
luger-hill,open,0,0,0.8,7,0,0.000273487,0.000273487,0.000271746,1.08134,1.043573,1,1,1,1.006408,1,1,0,0.093592,0,0,0.1556
luger-hill,open,0,0,0.8,8,21,0.000230922,0.000230922,0.00024442,1.014982,1,1,0.945,1,0.999764,1,1,0,0.100236,0.066358,0,0.1441
luger-hill,open,0,0,0.8,9,32,0.000211444,0.000211444,0.000263236,1.08134,1.010893,1,0.945,1,0.85,1,1,0,0.25,0,0,0.0154
luger-hill,open,0,0,0.8,10,2,0.000240162,0.000240162,0.000231066,0.94919,1.010893,1.04,0.945,1,1.057554,1,1,0,0.042446,0.13215,0,0.2931
luger-hill,open,0,0,0.8,11,35,0.000226823,0.000226823,0.000230787,0.948045,1.010893,1.04,0.945,1,1.000025,1,1,0,0.099975,0.133295,0,0.1897
luger-hill,open,0,0,0.8,12,5,0.000192889,0.000192889,0.000240135,0.975928,1.021786,1,0.945,1,0.85,1,1,0,0.25,0.105412,0,0.1908
luger-hill,open,0,0,0.8,13,37,0.000221482,0.000221482,0.000265643,1.057054,1.043573,1,0.945,1,0.882287,1,1,0,0.217713,0.024286,0,0.3455
luger-hill,open,0,0,0.8,14,10,0.000224641,0.000224641,0.000268909,1.08134,1.03268,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.2845
luger-hill,open,0,0,0.8,15,27,0.000224641,0.000224641,0.000268909,1.08134,1.03268,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.6788
luger-hill,open,0,0,0.85,1,39,0.00022798,0.00022798,0.000253353,1.040743,1.010893,1,1,1,0.899851,1,1,0,0.200149,0.040597,0,0
luger-hill,open,0,0,0.85,2,11,0.00024238,0.00024238,0.000255566,1.038643,1.021786,1,1,1,0.948404,1,1,0,0.151596,0.042697,0,1.0528
luger-hill,open,0,0,0.85,3,4,0.000250011,0.000250011,0.000258987,1.063888,1.010893,1,1,1,0.96534,1,1,0,0.13466,0.017452,0,0.3653
luger-hill,open,0,0,0.85,4,9,0.000226109,0.000226109,0.000230864,0.91866,1.043573,1.04,0.945,1,0.996546,1,1,0,0.103454,0.162679,0,0.0275
luger-hill,open,0,0,0.85,5,23,0.00025163,0.00025163,0.000230864,0.91866,1.043573,1,1,1,1.089952,1,1,0,0.010048,0.162679,0,0.0363
luger-hill,open,0,0,0.85,6,15,0.000221867,0.000221867,0.000260399,1.08134,1,1,1,1,0.852024,1,1,0,0.247976,0,0,0.1873
luger-hill,open,0,0,0.85,7,21,0.000231518,0.000231518,0.00024505,1.017602,1,1,0.945,1,0.999763,1,1,0,0.100237,0.063738,0,0.34
luger-hill,open,0,0,0.85,8,0,0.00021828,0.00021828,0.000271746,1.08134,1.043573,1,0.945,1,0.85,1,1,0,0.25,0,0,0.0024
luger-hill,open,0,0,0.85,9,2,0.000238238,0.000238238,0.000231066,0.94919,1.010893,1.04,0.945,1,1.049084,1,1,0,0.050916,0.13215,0,0.0693
luger-hill,open,0,0,0.85,10,32,0.000211444,0.000211444,0.000263236,1.08134,1.010893,1,0.945,1,0.85,1,1,0,0.25,0,0,0.4448
luger-hill,open,0,0,0.85,11,35,0.000226873,0.000226873,0.000230787,0.948045,1.010893,1.04,0.945,1,1.000243,1,1,0,0.099757,0.133295,0,0.1287
luger-hill,open,0,0,0.85,12,37,0.000235705,0.000235705,0.000265643,1.057054,1.043573,1,1,1,0.887303,1,1,0,0.212697,0.024286,0,0.5357
luger-hill,open,0,0,0.85,13,13,0.000263753,0.000263753,0.000243972,0.981062,1.03268,1.04,0.945,1,1.1,1,1,1,0,0.100278,0,0.0965
luger-hill,open,0,0,0.85,14,1,0.000234955,0.000234955,0.000266072,1.08134,1.021786,1.04,0.945,1,0.898505,1,1,0,0.201495,0,0,0.1032
luger-hill,open,0,0,0.85,15,10,0.000216001,0.000216001,0.000268909,1.08134,1.03268,1,0.945,1,0.85,1,1,0,0.25,0,0,0.0049
luger-hill,open,0,0,0.9,1,39,0.000231297,0.000231297,0.000257055,1.055948,1.010893,1,1,1,0.899796,1,1,0,0.200204,0.025392,0,0
luger-hill,open,0,0,0.9,2,11,0.000231463,0.000231463,0.000244988,0.995651,1.021786,1,0.945,1,0.999779,1,1,0,0.100221,0.085688,0,0.7074
luger-hill,open,0,0,0.9,3,23,0.000245179,0.000245179,0.000230864,0.91866,1.043573,1,1,1,1.062009,1,1,0,0.037991,0.162679,0,0.1424
luger-hill,open,0,0,0.9,4,4,0.000226616,0.000226616,0.000258987,1.063888,1.010893,1,1,1,0.875007,1,1,0,0.224993,0.017452,0,0.6011
luger-hill,open,0,0,0.9,5,9,0.000223619,0.000223619,0.000230864,0.91866,1.043573,1,0.945,1,1.024995,1,1,0,0.075005,0.162679,0,0.0629
luger-hill,open,0,0,0.9,6,21,0.000231603,0.000231603,0.000245097,1.017797,1,1,0.945,1,0.999938,1,1,0,0.100062,0.063543,0,0.2602
luger-hill,open,0,0,0.9,7,2,0.000235799,0.000235799,0.000231054,0.949139,1.010893,1.04,0.945,1,1.0384,1,1,0,0.0616,0.132201,0,0.2769
luger-hill,open,0,0,0.9,8,15,0.00021643,0.00021643,0.000260399,1.08134,1,1,0.945,1,0.879522,1,1,0,0.220478,0,0,0.046
luger-hill,open,0,0,0.9,9,13,0.000253837,0.000253837,0.0002442,0.981978,1.03268,1,0.945,1,1.099962,1,1,0,0.000038,0.099361,0,0.1892
luger-hill,open,0,0,0.9,10,0,0.000219164,0.000219164,0.00027103,1.078492,1.043573,1,0.945,1,0.855696,1,1,0,0.244304,0.002848,0,0.0656
luger-hill,open,0,0,0.9,11,24,0.000260241,0.000260241,0.000241559,0.981717,1.021786,1,1,1,1.077339,1,1,0,0.022661,0.099623,0,0.4204
luger-hill,open,0,0,0.9,12,35,0.000219865,0.000219865,0.000223683,0.918863,1.010893,1.04,0.945,1,1.000133,1,1,0,0.099867,0.162476,0,0.1187
luger-hill,open,0,0,0.9,13,37,0.00022745,0.00022745,0.000266525,1.060566,1.043573,1,0.945,1,0.90306,1,1,0,0.19694,0.020773,0,0.0866
luger-hill,open,0,0,0.9,14,32,0.000224178,0.000224178,0.000263236,1.08134,1.010893,1.04,0.945,1,0.866527,1,1,0,0.233473,0,0,0.076
luger-hill,open,0,0,0.9,15,1,0.000235242,0.000235242,0.000266072,1.08134,1.021786,1.04,1,1,0.850122,1,1,0,0.249878,0,0,0.5027
luger-hill,open,0,0,0.95,1,39,0.000231297,0.000231297,0.000257055,1.055948,1.010893,1,1,1,0.899796,1,1,0,0.200204,0.025392,0,0
luger-hill,open,0,0,0.95,2,11,0.000231428,0.000231428,0.000244924,0.995391,1.021786,1,0.945,1,0.999893,1,1,0,0.100107,0.085949,0,0.7032
luger-hill,open,0,0,0.95,3,23,0.000219373,0.000219373,0.000230864,0.91866,1.043573,1,1,1,0.950227,1,1,0,0.149773,0.162679,0,0.3324
luger-hill,open,0,0,0.95,4,13,0.000251187,0.000251187,0.0002458,0.988414,1.03268,1,1,1,1.021914,1,1,0,0.078086,0.092925,0,0.3491
luger-hill,open,0,0,0.95,5,4,0.000222726,0.000222726,0.000258987,1.063888,1.010893,1,0.945,1,0.91004,1,1,0,0.18996,0.017452,0,0.2407
luger-hill,open,0,0,0.95,6,21,0.000230453,0.000230453,0.000245097,1.017797,1,1.04,1,1,0.904086,1,1,0,0.195914,0.063543,0,0.0041
luger-hill,open,0,0,0.95,7,9,0.000239979,0.000239979,0.000230864,0.91866,1.043573,1,0.945,1,1.099981,1,1,0,0.000019,0.162679,0,0.0711
luger-hill,open,0,0,0.95,8,24,0.000240347,0.000240347,0.000241559,0.981717,1.021786,1,0.945,1,1.05289,1,1,0,0.04711,0.099623,0,0.168
luger-hill,open,0,0,0.95,9,2,0.000233655,0.000233655,0.000223634,0.91866,1.010893,1.04,1,1,1.004627,1,1,0,0.095373,0.162679,0,0.3341
luger-hill,open,0,0,0.95,10,15,0.000230947,0.000230947,0.000260384,1.081276,1,1,0.945,1,0.938571,1,1,0,0.161429,0.000064,0,0.115
luger-hill,open,0,0,0.95,11,0,0.000237287,0.000237287,0.000261082,1.038906,1.043573,1.04,0.945,1,0.924767,1,1,0,0.175233,0.042433,0,0.25
luger-hill,open,0,0,0.95,12,37,0.000246426,0.000246426,0.000271746,1.08134,1.043573,1.04,0.945,1,0.922695,1,1,0,0.177305,0,0,0.2256
luger-hill,open,0,0,0.95,13,35,0.000232583,0.000232583,0.000223634,0.91866,1.010893,1.04,1,1,1.000014,1,1,0,0.099986,0.162679,0,0.3361
