track,type,raceIdx,runaway,sample,rank,index,effSpeed,product,baseSpeed,spreadFactor,speedBonusMult,boost,brake,rowEnvMult,trajectoryMult,areaBonusMult,governorMult,servoSaturated,servoHeadroom,bandHeadroom,finishClamp,gapAhead
mountainstreet,open,0,1,0.7,1,7,0.000122245,0.000122245,0.000143818,0.994557,1,1,1,1,0.85,1,1,0,0.25,0.086782,0,0
mountainstreet,open,0,1,0.7,2,19,0.000141973,0.000141973,0.000137269,0.94927,1,1,1,1,1.034265,1,1,0,0.065735,0.132069,0,0.0652
mountainstreet,open,0,1,0.7,3,34,0.000130392,0.000130392,0.000153403,1.055021,1.005515,1,1,1,0.85,1,1,0,0.25,0.026319,0,0.1245
mountainstreet,open,0,1,0.7,4,30,0.000146859,0.000146859,0.000145291,0.999236,1.005515,1,1,1,1.01079,1,1,0,0.08921,0.082104,0,0.008
mountainstreet,open,0,1,0.7,5,4,0.00014549,0.00014549,0.000149308,1.032523,1,1,1,1,0.974427,1,1,0,0.125573,0.048817,0,0.4959
mountainstreet,open,0,1,0.7,6,25,0.000130275,0.000130275,0.000154619,1.06339,1.005515,1,0.945,1,0.891589,1,1,0,0.208411,0.017949,0,0.0113
mountainstreet,open,0,1,0.7,7,27,0.000126294,0.000126294,0.000157229,1.08134,1.005515,1,0.945,1,0.85,1,1,0,0.25,0,0,0.3095
mountainstreet,open,0,1,0.7,8,0,0.000130882,0.000130882,0.000148888,1.023972,1.005515,1,0.945,1,0.930229,1,1,0,0.169771,0.057368,0,0.066
mountainstreet,open,0,1,0.7,9,38,0.000165331,0.000165331,0.000152931,1.057578,1,1.04,0.945,1,1.1,1,1,1,0,0.023762,0,0.2173
mountainstreet,open,0,1,0.7,10,6,0.000140933,0.000140933,0.000140943,0.96933,1.005515,1,1,1,0.999931,1,1,0,0.100069,0.112009,0,0.3107
mountainstreet,open,0,1,0.7,11,5,0.000138228,0.000138228,0.000156367,1.08134,1,1.04,1,1,0.85,1,1,0,0.25,0,0,0.018
mountainstreet,open,0,1,0.7,12,10,0.000131346,0.000131346,0.000157229,1.08134,1.005515,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.6422
mountainstreet,open,0,1,0.7,13,32,0.000125291,0.000125291,0.00014998,1.037173,1,1.04,0.945,1,0.85,1,1,0,0.25,0.044167,0,0.0988
mountainstreet,open,0,1,0.7,14,37,0.00012861,0.00012861,0.000153954,1.058814,1.005515,1.04,0.945,1,0.85,1,1,0,0.25,0.022526,0,0.0951
mountainstreet,open,0,1,0.7,15,26,0.000153068,0.000153068,0.000151683,1.048945,1,1,0.945,1,1.067865,1,1,0,0.032135,0.032395,0,0.0196
mountainstreet,open,0,1,0.75,1,38,0.000170454,0.000170454,0.000155697,1.076705,1,1,1,1,1.094779,1,1,0,0.005221,0.004635,0,0
mountainstreet,open,0,1,0.75,2,30,0.000135978,0.000135978,0.000134864,0.927523,1.005515,1,1,1,1.008258,1,1,0,0.091742,0.153817,0,1.3486
mountainstreet,open,0,1,0.75,3,4,0.000132047,0.000132047,0.000149308,1.032523,1,1.04,1,1,0.850382,1,1,0,0.249618,0.048817,0,1.3482
mountainstreet,open,0,1,0.75,4,25,0.000128857,0.000128857,0.000151555,1.042312,1.005515,1,1,1,0.850236,1,1,0,0.249764,0.039027,0,0.0175
mountainstreet,open,0,1,0.75,5,0,0.000139205,0.000139205,0.000157229,1.08134,1.005515,1.04,0.945,1,0.900859,1,1,0,0.199141,0,0,0.0636
mountainstreet,open,0,1,0.75,6,19,0.000137258,0.000137258,0.000132866,0.91882,1,1,1,1,1.033053,1,1,0,0.066947,0.162519,0,0.008
mountainstreet,open,0,1,0.75,7,34,0.000125368,0.000125368,0.000150074,1.032126,1.005515,1.04,0.945,1,0.85,1,1,0,0.25,0.049214,0,0.1227
mountainstreet,open,0,1,0.75,8,6,0.000140726,0.000140726,0.000140736,0.967907,1.005515,1,1,1,0.999931,1,1,0,0.100069,0.113433,0,0.1253
mountainstreet,open,0,1,0.75,9,7,0.000145142,0.000145142,0.000142826,0.987701,1,1,0.945,1,1.075355,1,1,0,0.024645,0.093639,0,0.0584
mountainstreet,open,0,1,0.75,10,26,0.000126242,0.000126242,0.000146031,1.009861,1,1,0.945,1,0.914803,1,1,0,0.185197,0.071479,0,0.2843
mountainstreet,open,0,1,0.75,11,27,0.000126294,0.000126294,0.000157229,1.08134,1.005515,1,0.945,1,0.85,1,1,0,0.25,0,0,0.2801
mountainstreet,open,0,1,0.75,12,5,0.00011477,0.00011477,0.000142882,0.988089,1,1,0.945,1,0.85,1,1,0,0.25,0.093251,0,0.7011
mountainstreet,open,0,1,0.75,13,9,0.000131294,0.000131294,0.000133575,0.91866,1.005515,1.04,0.945,1,1.000124,1,1,0,0.099876,0.162679,0,0.021
mountainstreet,open,0,1,0.75,14,10,0.000131346,0.000131346,0.000157229,1.08134,1.005515,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.0772
mountainstreet,open,0,1,0.75,15,37,0.000128553,0.000128553,0.000153886,1.058345,1.005515,1.04,0.945,1,0.85,1,1,0,0.25,0.022995,0,0.1169
mountainstreet,open,0,1,0.8,1,38,0.000158917,0.000158917,0.000156367,1.08134,1,1,1,1,1.016307,1,1,0,0.083693,0,0,0
mountainstreet,open,0,1,0.8,2,30,0.000134808,0.000134808,0.00013483,0.927289,1.005515,1,1,1,0.999837,1,1,0,0.100163,0.154051,0,3.6795
mountainstreet,open,0,1,0.8,3,7,0.000145063,0.000145063,0.000132843,0.91866,1,1,1,1,1.091993,1,1,0,0.008007,0.162679,0,0.7815
mountainstreet,open,0,1,0.8,4,19,0.000137124,0.000137124,0.000132843,0.91866,1,1,1,1,1.032225,1,1,0,0.067775,0.162679,0,0.5991
mountainstreet,open,0,1,0.8,5,24,0.000132796,0.000132796,0.000150221,1.038839,1,1.04,1,1,0.85,1,1,0,0.25,0.042501,0,0.1283
mountainstreet,open,0,1,0.8,6,6,0.000133266,0.000133266,0.0001372,0.943586,1.005515,1,1,1,0.971332,1,1,0,0.128668,0.137754,0,0.1616
mountainstreet,open,0,1,0.8,7,0,0.000126451,0.000126451,0.000157229,1.08134,1.005515,1,0.945,1,0.85105,1,1,0,0.24895,0,0,0.0997
mountainstreet,open,0,1,0.8,8,4,0.000131834,0.000131834,0.000153292,1.060077,1,1.04,0.945,1,0.875066,1,1,0,0.224934,0.021263,0,0.2686
mountainstreet,open,0,1,0.8,9,25,0.000132444,0.000132444,0.000151555,1.042312,1.005515,1,1,1,0.873904,1,1,0,0.226096,0.039027,0,0.17
mountainstreet,open,0,1,0.8,10,34,0.000120484,0.000120484,0.000149996,1.031591,1.005515,1,0.945,1,0.85,1,1,0,0.25,0.049749,0,0.5192
mountainstreet,open,0,1,0.8,11,27,0.000131346,0.000131346,0.000157229,1.08134,1.005515,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.2912
mountainstreet,open,0,1,0.8,12,26,0.000129539,0.000129539,0.000146031,1.009861,1,1,1,1,0.887066,1,1,0,0.212934,0.071479,0,0.0963
mountainstreet,open,0,1,0.8,13,10,0.000138991,0.000138991,0.000157229,1.08134,1.005515,1.04,1,1,0.85,1,1,0,0.25,0,0,0.052
mountainstreet,open,0,1,0.8,14,9,0.000131294,0.000131294,0.000133575,0.91866,1.005515,1.04,0.945,1,1.000124,1,1,0,0.099876,0.162679,0,0.3325
mountainstreet,open,0,1,0.8,15,11,0.00012873,0.00012873,0.000151021,1.038643,1.005515,1,0.945,1,0.902009,1,1,0,0.197991,0.042697,0,0.1114
mountainstreet,open,0,1,0.85,1,38,0.00015768,0.00015768,0.000156367,1.08134,1,1,1,1,1.008396,1,1,0,0.091604,0,0,0
mountainstreet,open,0,1,0.85,2,30,0.000134808,0.000134808,0.00013483,0.927289,1.005515,1,1,1,0.999837,1,1,0,0.100163,0.154051,0,5.944
mountainstreet,open,0,1,0.85,3,7,0.00012675,0.00012675,0.000132843,0.91866,1,1,1,1,0.954137,1,1,0,0.145863,0.162679,0,1.113
mountainstreet,open,0,1,0.85,4,19,0.000137415,0.000137415,0.000132843,0.91866,1,1,1,1,1.034417,1,1,0,0.065583,0.162679,0,0.036
mountainstreet,open,0,1,0.85,5,25,0.000143125,0.000143125,0.000151555,1.042312,1.005515,1,1,1,0.944375,1,1,0,0.155625,0.039027,0,0.5312
mountainstreet,open,0,1,0.85,6,6,0.000134737,0.000134737,0.0001372,0.943586,1.005515,1,1,1,0.982053,1,1,0,0.117947,0.137754,0,0.0716
mountainstreet,open,0,1,0.85,7,4,0.00014195,0.00014195,0.000153843,1.063888,1,1.04,0.945,1,0.93884,1,1,0,0.16116,0.017452,0,0.012
mountainstreet,open,0,1,0.85,8,1,0.00016344,0.00016344,0.000157229,1.08134,1.005515,1,0.945,1,1.1,1,1,1,0,0,0,0.0559
mountainstreet,open,0,1,0.85,9,0,0.000136911,0.000136911,0.000157229,1.08134,1.005515,1,0.945,1,0.921453,1,1,0,0.178547,0,0,0.1482
mountainstreet,open,0,1,0.85,10,24,0.000116492,0.000116492,0.000145022,1.002884,1,1,0.945,1,0.850026,1,1,0,0.249974,0.078456,0,0.0622
mountainstreet,open,0,1,0.85,11,39,0.00016298,0.00016298,0.000150858,1.043243,1,1.04,0.945,1,1.099258,1,1,0,0.000742,0.038097,0,0.8783
mountainstreet,open,0,1,0.85,12,26,0.000136962,0.000136962,0.000144921,1.002183,1,1,1,1,0.945082,1,1,0,0.154918,0.079156,0,0.158
mountainstreet,open,0,1,0.85,13,10,0.000133645,0.000133645,0.000157229,1.08134,1.005515,1,1,1,0.85,1,1,0,0.25,0,0,0.2229
mountainstreet,open,0,1,0.85,14,27,0.000138991,0.000138991,0.000157229,1.08134,1.005515,1.04,1,1,0.85,1,1,0,0.25,0,0,0.0581
mountainstreet,open,0,1,0.85,15,9,0.000131294,0.000131294,0.000133575,0.91866,1.005515,1.04,0.945,1,1.000124,1,1,0,0.099876,0.162679,0,0.0906
mountainstreet,open,0,1,0.9,1,38,0.000153932,0.000153932,0.000156367,1.08134,1,1,1,1,0.984427,1,1,0,0.115573,0,0,0
mountainstreet,open,0,1,0.9,2,1,0.00016543,0.00016543,0.000157229,1.08134,1.005515,1,1,1,1.052159,1,1,0,0.047841,0,0,6.6043
mountainstreet,open,0,1,0.9,3,30,0.000139874,0.000139874,0.000134723,0.926552,1.005515,1,1,1,1.038233,1,1,0,0.061767,0.154787,0,1.2619
mountainstreet,open,0,1,0.9,4,19,0.000159665,0.000159665,0.000147883,1.02267,1,1.04,0.945,1,1.098568,1,1,0,0.001432,0.058669,0,0.8703
mountainstreet,open,0,1,0.9,5,39,0.000155906,0.000155906,0.000152695,1.055948,1,1,1,1,1.021028,1,1,0,0.078972,0.025392,0,0.2003
mountainstreet,open,0,1,0.9,6,4,0.000139991,0.000139991,0.000153843,1.063888,1,1.04,0.945,1,0.925883,1,1,0,0.174117,0.017452,0,0.0455
mountainstreet,open,0,1,0.9,7,25,0.000130938,0.000130938,0.000140076,0.963367,1.005515,1,1,1,0.934769,1,1,0,0.165231,0.117973,0,0.3641
mountainstreet,open,0,1,0.9,8,7,0.000138087,0.000138087,0.000132843,0.91866,1,1,0.945,1,1.099972,1,1,0,0.000028,0.162679,0,0.133
mountainstreet,open,0,1,0.9,9,6,0.000135387,0.000135387,0.0001372,0.943586,1.005515,1,1,1,0.986785,1,1,0,0.113215,0.137754,0,0.1382
mountainstreet,open,0,1,0.9,10,0,0.000134068,0.000134068,0.000156606,1.077056,1.005515,1,0.945,1,0.905904,1,1,0,0.194096,0.004284,0,0.2806
mountainstreet,open,0,1,0.9,11,13,0.00014038,0.00014038,0.000142835,0.982345,1.005515,1.04,0.945,1,1.000009,1,1,0,0.099991,0.098995,0,0.3806
mountainstreet,open,0,1,0.9,12,16,0.000138578,0.000138578,0.000157229,1.08134,1.005515,1,1,1,0.881377,1,1,0,0.218623,0,0,0.7748
mountainstreet,open,0,1,0.9,13,24,0.000131186,0.000131186,0.000145008,1.002786,1,1.04,1,1,0.869885,1,1,0,0.230115,0.078554,0,0.1418
mountainstreet,open,0,1,0.9,14,21,0.000125123,0.000125123,0.000147178,1.017797,1,1,1,1,0.850148,1,1,0,0.249852,0.063543,0,0.0175
mountainstreet,open,0,1,0.9,15,9,0.000139673,0.000139673,0.000133575,0.91866,1.005515,1.04,0.945,1,1.063949,1,1,0,0.036051,0.162679,0,0.0286
mountainstreet,open,0,1,0.95,1,38,0.000143918,0.000143918,0.000146836,1.015432,1,1,1,1,0.980123,1,1,0,0.119877,0.065908,0,0
mountainstreet,open,0,1,0.95,2,1,0.000160035,0.000160035,0.000157229,1.08134,1.005515,1,1,1,1.017846,1,1,0,0.082154,0,0,5.2259
mountainstreet,open,0,1,0.95,3,19,0.000163047,0.000163047,0.000149844,1.036234,1,1.04,1,1,1.046256,1,1,0,0.053744,0.045106,0,2.4172
mountainstreet,open,0,1,0.95,4,30,0.00013881,0.00013881,0.000133575,0.91866,1.005515,1,0.945,1,1.099672,1,1,0,0.000328,0.162679,0,1.1956
mountainstreet,open,0,1,0.95,5,4,0.000141378,0.000141378,0.000153843,1.063888,1,1.04,0.945,1,0.93506,1,1,0,0.16494,0.017452,0,1.0786
mountainstreet,open,0,1,0.95,6,39,0.000133944,0.000133944,0.000152695,1.055948,1,1,1,1,0.877201,1,1,0,0.222799,0.025392,0,0.2633
mountainstreet,open,0,1,0.95,7,7,0.000138087,0.000138087,0.000132843,0.91866,1,1,0.945,1,1.099972,1,1,0,0.000028,0.162679,0,0.4663
mountainstreet,open,0,1,0.95,8,6,0.000141548,0.000141548,0.000137161,0.943322,1.005515,1.04,1,1,0.992287,1,1,0,0.107713,0.138017,0,0.0191
mountainstreet,open,0,1,0.95,9,13,0.000140057,0.000140057,0.000143718,0.988414,1.005515,1.04,0.945,1,0.991583,1,1,0,0.108417,0.092925,0,0.3552
mountainstreet,open,0,1,0.95,10,25,0.000133384,0.000133384,0.000137294,0.944238,1.005515,1,1,1,0.971515,1,1,0,0.128485,0.137102,0,0.097
mountainstreet,open,0,1,0.95,11,0,0.000139225,0.000139225,0.000151059,1.038906,1.005515,1,0.945,1,0.9753,1,1,0,0.1247,0.042433,0,0.3135
mountainstreet,open,0,1,0.95,12,26,0.00014786,0.00014786,0.000136151,0.94154,1,1,1,1,1.086001,1,1,0,0.013999,0.1398,0,1.033
mountainstreet,open,0,1,0.95,13,16,0.000125996,0.000125996,0.000156857,1.078782,1.005515,1,0.945,1,0.85,1,1,0,0.25,0.002557,0,0.2927
mountainstreet,open,0,1,0.95,14,24,0.000135604,0.000135604,0.000145008,1.002786,1,1.04,1,1,0.899181,1,1,0,0.200819,0.078554,0,0.1498
mountainstreet,open,0,1,0.95,15,9,0.000131247,0.000131247,0.000133575,0.91866,1.005515,1.04,0.945,1,0.999762,1,1,0,0.100238,0.162679,0,0.1575
mountainstreet,open,1,0,0.7,1,7,0.000132912,0.000132912,0.000156367,1.08134,1,1,1,1,0.85,1,1,0,0.25,0,0,0
mountainstreet,open,1,0,0.7,2,34,0.000133645,0.000133645,0.000157229,1.08134,1.005515,1,1,1,0.85,1,1,0,0.25,0,0,2.1087
mountainstreet,open,1,0,0.7,3,36,0.000136434,0.000136434,0.000146157,1.010735,1,1.04,0.945,1,0.949814,1,1,0,0.150186,0.070605,0,0.0772
mountainstreet,open,1,0,0.7,4,8,0.000129188,0.000129188,0.000151986,1.045281,1.005515,1,1,1,0.85,1,1,0,0.25,0.036058,0,0.3926
mountainstreet,open,1,0,0.7,5,16,0.000140402,0.000140402,0.000141639,0.974117,1.005515,1,1,1,0.991263,1,1,0,0.108737,0.107222,0,0.2191
mountainstreet,open,1,0,0.7,6,2,0.000152382,0.000152382,0.000156367,1.08134,1,1.04,0.945,1,0.991571,1,1,0,0.108429,0,0,0.3124
mountainstreet,open,1,0,0.7,7,19,0.000137698,0.000137698,0.000145353,0.999659,1.005515,1,0.945,1,1.002475,1,1,0,0.097525,0.081681,0,0.0416
mountainstreet,open,1,0,0.7,8,30,0.000114283,0.000114283,0.000141771,0.975026,1.005515,1,0.945,1,0.853025,1,1,0,0.246975,0.106314,0,0.0114
mountainstreet,open,1,0,0.7,9,10,0.000134324,0.000134324,0.000157229,1.08134,1.005515,1,0.945,1,0.904042,1,1,0,0.195958,0,0,0.5045
mountainstreet,open,1,0,0.7,10,27,0.000149819,0.000149819,0.000144126,0.996685,1,1,0.945,1,1.1,1,1,1,0,0.084654,0,0.0187
mountainstreet,open,1,0,0.7,11,17,0.000123159,0.000123159,0.000147428,1.019525,1,1.04,0.945,1,0.85,1,1,0,0.25,0.061815,0,0.8063
mountainstreet,open,1,0,0.7,12,37,0.000138228,0.000138228,0.000156367,1.08134,1,1.04,1,1,0.85,1,1,0,0.25,0,0,0.106
mountainstreet,open,1,0,0.7,13,26,0.000138294,0.000138294,0.000132954,0.919428,1,1.04,1,1,1.00016,1,1,0,0.09984,0.161911,0,0.6961
mountainstreet,open,1,0,0.7,14,9,0.000169679,0.000169679,0.000149113,1.031173,1,1.04,1,1,1.094157,1,1,0,0.005843,0.050167,0,0.0685
mountainstreet,open,1,0,0.7,15,11,0.000131344,0.000131344,0.000157227,1.08132,1.005515,1.04,0.945,1,0.85,1,1,0,0.25,0.00002,0,0.608
mountainstreet,open,1,0,0.75,1,7,0.000132912,0.000132912,0.000156367,1.08134,1,1,1,1,0.85,1,1,0,0.25,0,0,0
mountainstreet,open,1,0,0.75,2,36,0.00013076,0.00013076,0.000146157,1.010735,1,1,0.945,1,0.94672,1,1,0,0.15328,0.070605,0,1.4923
mountainstreet,open,1,0,0.75,3,34,0.000138991,0.000138991,0.000157229,1.08134,1.005515,1.04,1,1,0.85,1,1,0,0.25,0,0,0.1385
mountainstreet,open,1,0,0.75,4,27,0.000146993,0.000146993,0.000142538,0.985709,1,1,0.945,1,1.091276,1,1,0,0.008724,0.095631,0,0.0917
mountainstreet,open,1,0,0.75,5,16,0.000135221,0.000135221,0.000141639,0.974117,1.005515,1,1,1,0.954687,1,1,0,0.145313,0.107222,0,0.798
mountainstreet,open,1,0,0.75,6,2,0.000130199,0.000130199,0.000155856,1.077804,1,1.04,0.945,1,0.85,1,1,0,0.25,0.003536,0,0.0045
mountainstreet,open,1,0,0.75,7,8,0.00013295,0.00013295,0.000152379,1.047979,1.005515,1,0.945,1,0.923278,1,1,0,0.176722,0.03336,0,0.178
mountainstreet,open,1,0,0.75,8,19,0.000134032,0.000134032,0.000145447,1.000306,1.005515,1,0.945,1,0.975153,1,1,0,0.124847,0.081033,0,0.0958
mountainstreet,open,1,0,0.75,9,29,0.000156355,0.000156355,0.000144628,0.994677,1.005515,1.04,0.945,1,1.1,1,1,1,0,0.086663,0,0.481
mountainstreet,open,1,0,0.75,10,10,0.000136117,0.000136117,0.000155699,1.070817,1.005515,1,0.945,1,0.925112,1,1,0,0.174888,0.010523,0,0.0089
mountainstreet,open,1,0,0.75,11,9,0.000138347,0.000138347,0.000156367,1.08134,1,1.04,1,1,0.850732,1,1,0,0.249268,0,0,1.0119
mountainstreet,open,1,0,0.75,12,30,0.000129183,0.000129183,0.000141771,0.975026,1.005515,1.04,1,1,0.87616,1,1,0,0.22384,0.106314,0,0.1011
mountainstreet,open,1,0,0.75,13,17,0.000130602,0.000130602,0.000156338,1.081139,1,1.04,0.945,1,0.85,1,1,0,0.25,0.000201,0,0.337
mountainstreet,open,1,0,0.75,14,26,0.000132887,0.000132887,0.000132843,0.91866,1,1,1,1,1.000334,1,1,0,0.099666,0.162679,0,0.0639
mountainstreet,open,1,0,0.75,15,37,0.000130626,0.000130626,0.000156367,1.08134,1,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.194
mountainstreet,open,1,0,0.8,1,7,0.000132912,0.000132912,0.000156367,1.08134,1,1,1,1,0.85,1,1,0,0.25,0,0,0
mountainstreet,open,1,0,0.8,2,27,0.000143185,0.000143185,0.000142538,0.985709,1,1,1,1,1.004534,1,1,0,0.095466,0.095631,0,0.1917
mountainstreet,open,1,0,0.8,3,29,0.000140075,0.000140075,0.000144628,0.994677,1.005515,1,0.945,1,1.024885,1,1,0,0.075115,0.086663,0,0.5619
mountainstreet,open,1,0,0.8,4,36,0.000136686,0.000136686,0.000146504,1.013134,1,1.04,0.945,1,0.949312,1,1,0,0.150688,0.068205,0,0.7195
mountainstreet,open,1,0,0.8,5,8,0.000145526,0.000145526,0.000153159,1.053345,1.005515,1,1,1,0.950164,1,1,0,0.149836,0.027995,0,0.0216
mountainstreet,open,1,0,0.8,6,34,0.000133645,0.000133645,0.000157229,1.08134,1.005515,1,1,1,0.85,1,1,0,0.25,0,0,0.0072
mountainstreet,open,1,0,0.8,7,16,0.00014691,0.00014691,0.000147323,1.013207,1.005515,1,1,1,0.997197,1,1,0,0.102803,0.068132,0,0.3424
mountainstreet,open,1,0,0.8,8,19,0.000140424,0.000140424,0.000152424,1.048288,1.005515,1,0.945,1,0.974895,1,1,0,0.125105,0.033051,0,0.1254
mountainstreet,open,1,0,0.8,9,10,0.000141351,0.000141351,0.000152485,1.048709,1.005515,1,1,1,0.926986,1,1,0,0.173014,0.03263,0,1.0717
mountainstreet,open,1,0,0.8,10,2,0.000141391,0.000141391,0.000139731,0.966297,1,1.04,1,1,0.972961,1,1,0,0.127039,0.115043,0,0.1966
mountainstreet,open,1,0,0.8,11,9,0.000138347,0.000138347,0.000156367,1.08134,1,1.04,1,1,0.850732,1,1,0,0.249268,0,0,0.5427
mountainstreet,open,1,0,0.8,12,30,0.000142933,0.000142933,0.000143973,0.99017,1.005515,1.04,1,1,0.954592,1,1,0,0.145408,0.09117,0,0.3632
mountainstreet,open,1,0,0.8,13,17,0.000125602,0.000125602,0.000156367,1.08134,1,1,0.945,1,0.85,1,1,0,0.25,0,0,0.3212
mountainstreet,open,1,0,0.8,14,26,0.000138188,0.000138188,0.000132843,0.91866,1,1.04,1,1,1.00023,1,1,0,0.09977,0.162679,0,0.1502
mountainstreet,open,1,0,0.8,15,31,0.000131861,0.000131861,0.000149132,1.02565,1.005515,1.04,1,1,0.850182,1,1,0,0.249818,0.05569,0,0.476
mountainstreet,open,1,0,0.85,1,27,0.000132488,0.000132488,0.000133744,0.924891,1,1,1,1,0.990607,1,1,0,0.109393,0.156449,0,0
mountainstreet,open,1,0,0.85,2,29,0.000155921,0.000155921,0.000153088,1.052856,1.005515,1,1,1,1.018506,1,1,0,0.081494,0.028483,0,0.1737
mountainstreet,open,1,0,0.85,3,7,0.000125602,0.000125602,0.000156367,1.08134,1,1,0.945,1,0.85,1,1,0,0.25,0,0,0.4694
mountainstreet,open,1,0,0.85,4,36,0.000143328,0.000143328,0.000147274,1.018457,1,1,1,1,0.97321,1,1,0,0.12679,0.062882,0,0.6328
mountainstreet,open,1,0,0.85,5,16,0.000135996,0.000135996,0.000151969,1.045162,1.005515,1,1,1,0.894891,1,1,0,0.205109,0.036178,0,0.2855
mountainstreet,open,1,0,0.85,6,19,0.000139522,0.000139522,0.000152424,1.048288,1.005515,1,0.945,1,0.968634,1,1,0,0.131366,0.033051,0,0.1202
mountainstreet,open,1,0,0.85,7,34,0.000138991,0.000138991,0.000157229,1.08134,1.005515,1.04,1,1,0.85,1,1,0,0.25,0,0,0.2828
mountainstreet,open,1,0,0.85,8,8,0.000128161,0.000128161,0.000153159,1.053345,1.005515,1,0.945,1,0.885485,1,1,0,0.214515,0.027995,0,0.3688
mountainstreet,open,1,0,0.85,9,30,0.000157649,0.000157649,0.00015191,1.044755,1.005515,1.04,1,1,0.997862,1,1,0,0.102138,0.036584,0,0.1578
mountainstreet,open,1,0,0.85,10,10,0.000134052,0.000134052,0.000152485,1.048709,1.005515,1,0.945,1,0.930284,1,1,0,0.169716,0.03263,0,0.2496
mountainstreet,open,1,0,0.85,11,2,0.000145012,0.000145012,0.000139731,0.966297,1,1.04,1,1,0.997877,1,1,0,0.102123,0.115043,0,0.4412
mountainstreet,open,1,0,0.85,12,9,0.000130738,0.000130738,0.000156367,1.08134,1,1.04,0.945,1,0.850732,1,1,0,0.249268,0,0,1.1956
mountainstreet,open,1,0,0.85,13,26,0.000138184,0.000138184,0.000132843,0.91866,1,1.04,1,1,1.000197,1,1,0,0.099803,0.162679,0,0.1808
mountainstreet,open,1,0,0.85,14,17,0.000142284,0.000142284,0.000156367,1.08134,1,1.04,1,1,0.874937,1,1,0,0.225063,0,0,0.0631
