track,type,raceIdx,runaway,sample,rank,index,effSpeed,product,baseSpeed,spreadFactor,speedBonusMult,boost,brake,rowEnvMult,trajectoryMult,areaBonusMult,governorMult,servoSaturated,servoHeadroom,bandHeadroom,finishClamp,gapAhead
searound,closed,0,1,0.7,1,11,0.000409506,0.000409506,0.000383309,1.047584,1.018134,1,1,1,1.068345,1,1,0,0.031655,0.033756,0,0
searound,closed,0,1,0.7,2,27,0.000325229,0.000325229,0.000382623,1.039537,1.024178,1,1,1,0.85,1,1,0,0.25,0.041803,0,1.7609
searound,closed,0,1,0.7,3,37,0.000338933,0.000338933,0.000398744,1.076981,1.030223,1,1,1,0.85,1,1,0,0.25,0.004358,0,0.7826
searound,closed,0,1,0.7,4,32,0.000328564,0.000328564,0.000393311,1.08134,1.012089,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.1547
searound,closed,0,1,0.7,5,29,0.000338653,0.000338653,0.000330149,0.91866,1,1,0.939626,1,1.091667,1,1,0,0.008333,0.162679,0,0.1033
searound,closed,0,1,0.7,6,22,0.000367645,0.000367645,0.000354071,0.979306,1.006045,1,0.945,1,1.09877,1,1,0,0.00123,0.102034,0,0.3888
searound,closed,0,1,0.7,7,26,0.00032226,0.00032226,0.000333726,0.928614,1,1,0.945,1,1.021845,1,1,0,0.078155,0.152726,0,0.2263
searound,closed,0,1,0.7,8,5,0.000381872,0.000381872,0.00038846,1.061662,1.018134,1.04,0.945,1,1.000245,1,1,0,0.099755,0.019677,0,0.1727
searound,closed,0,1,0.7,9,10,0.000332489,0.000332489,0.000398009,1.08134,1.024178,1.04,0.945,1,0.85,1,1,0,0.25,0,0,0.0775
searound,closed,0,1,0.7,10,33,0.000303115,0.000303115,0.00037736,1.043719,1.006045,1,0.945,1,0.85,1,1,0,0.25,0.03762,0,0.2847
searound,closed,0,1,0.7,11,3,0.000324419,0.000324419,0.00037116,1.008394,1.024178,1,0.945,1,0.924941,1,1,0,0.175059,0.072946,0,0.3545
searound,closed,0,1,0.7,12,35,0.000359864,0.000359864,0.000365554,1.005028,1.012089,1.04,0.945,1,1.001662,1,1,0,0.098338,0.076312,0,0.5354
