variant,track,racer,type,nRaces,b2n,peak,final,tWin,pack,b1Reach,b2Reach,holmUnfair,top5Mean,totalMean,attackerCast,attackerPeakReached,attackerFreed,releaseEvents,outOfBandFrac
V0-baseline,luger-hill,luge,open,50,0,5,10,0.4-0.7,false,0.756,0.726,,27.48,496.98,0,0,0,0,0.445501191733471
V0-baseline,mountainstreet,boarder,open,50,0,5,10,0.4-0.7,false,0.776,0.756,,33.42,557.1,0,0,0,0,0.4171003820346211
V0-baseline,searound,manta,closed,50,0,5,10,0.4-0.7,false,0.74,0.734,,27.18,706.86,0,0,0,0,0.43664874648181695
V0-baseline,dirt-oval,horse,closed,50,0,5,10,0.4-0.7,false,0.8,0.776,,28.72,720.36,0,0,0,0,0.3975565315778804
V-fr7,luger-hill,luge,open,50,3,5,7,0.4-0.7,false,0.728,0.728,,32.86,482.26,2.9,2.9,2.48,2.16,0.43879802681991376
V-fr7,mountainstreet,boarder,open,50,3,5,7,0.4-0.7,false,0.72,0.724,,38.5,538.3,2.96,2.96,2.86,4.06,0.41308473244425337
V-fr7,searound,manta,closed,50,3,5,7,0.4-0.7,false,0.712,0.704,,32.74,681.1,2.94,2.94,2.6,2.54,0.43273273161304115
V-fr7,dirt-oval,horse,closed,50,3,5,7,0.4-0.7,false,0.784,0.774,,38.56,693.5,2.94,2.94,2.78,4.34,0.3932435606165192
V-fr9,luger-hill,luge,open,50,3,5,9,0.4-0.7,false,0.748,0.738,,31.06,488.76,2.76,2.76,2.12,1.24,0.43842145957513423
V-fr9,mountainstreet,boarder,open,50,3,5,9,0.4-0.7,false,0.74,0.752,,37.12,548.98,2.9,2.9,2.7,3.54,0.41371676386731115
V-fr9,searound,manta,closed,50,3,5,9,0.4-0.7,false,0.732,0.724,,27.1,678.14,2.8,2.8,2.16,1.42,0.43057282677089426
V-fr9,dirt-oval,horse,closed,50,3,5,9,0.4-0.7,false,0.76,0.76,,36.08,712.84,2.78,2.78,2.46,2.36,0.3918217408224136
V-fr10,luger-hill,luge,open,50,3,5,10,0.4-0.7,false,0.748,0.716,,32.1,490.92,2.66,2.66,1.94,0.96,0.43401682820194987
V-fr10,mountainstreet,boarder,open,50,3,5,10,0.4-0.7,false,0.756,0.748,,34.26,544.3,2.84,2.84,2.6,2.58,0.4088031157000561
V-fr10,searound,manta,closed,50,3,5,10,0.4-0.7,false,0.74,0.718,,28.8,702.38,2.78,2.78,1.96,1.52,0.42840830540484254
V-fr10,dirt-oval,horse,closed,50,3,5,10,0.4-0.7,false,0.776,0.762,,34.96,719.7,2.76,2.76,2.36,2.06,0.3948704106407914
V-fr12,luger-hill,luge,open,50,3,5,12,0.4-0.7,false,0.76,0.742,,29.24,501.44,2.6,2.6,1.84,1.26,0.43147794425146313
V-fr12,mountainstreet,boarder,open,50,3,5,12,0.4-0.7,false,0.764,0.756,,35.84,564.52,2.8,2.8,2.3,1.6,0.40459432363853987
V-fr12,searound,manta,closed,50,3,5,12,0.4-0.7,false,0.732,0.72,,26.98,723.64,2.68,2.68,1.82,1.76,0.4226990151681085
V-fr12,dirt-oval,horse,closed,50,3,5,12,0.4-0.7,false,0.808,0.794,,34.68,733.02,2.68,2.68,2.16,1.78,0.38796429069136207
