variant,track,racer,type,nRaces,b2n,peak,final,tWin,pack,b1Reach,b2Reach,holmUnfair,top5Mean,totalMean,attackerCast,attackerPeakReached,attackerFreed,releaseEvents,outOfBandFrac
V0-baseline,luger-hill,luge,open,50,0,5,10,0.4-0.7,false,0.756,0.726,true,27.48,496.98,0,0,0,0,0.445501191733471
V0-baseline,mountainstreet,boarder,open,50,0,5,10,0.4-0.7,false,0.776,0.756,false,33.42,557.1,0,0,0,0,0.4171003820346211
V0-baseline,searound,manta,closed,50,0,5,10,0.4-0.7,false,0.74,0.734,true,27.18,706.86,0,0,0,0,0.43664874648181695
V0-baseline,dirt-oval,horse,closed,50,0,5,10,0.4-0.7,false,0.8,0.776,false,28.72,720.36,0,0,0,0,0.3975565315778804
V1-ct1,luger-hill,luge,open,50,1,5,10,0.4-0.7,false,0.764,0.726,true,27.36,493.78,0.98,0.98,0.84,0.44,0.44293473913363723
V1-ct1,mountainstreet,boarder,open,50,1,5,10,0.4-0.7,false,0.756,0.756,false,34.68,553.9,1,1,0.88,0.94,0.415412186999662
V1-ct1,searound,manta,closed,50,1,5,10,0.4-0.7,false,0.724,0.696,true,26.98,700.88,1,1,0.78,0.56,0.43344830085873043
V1-ct1,dirt-oval,horse,closed,50,1,5,10,0.4-0.7,false,0.8,0.778,false,30.42,726.6,1,1,0.9,0.58,0.3943621070747897
V2-ct2,luger-hill,luge,open,50,2,5,10,0.4-0.7,false,0.752,0.714,true,29.32,492.24,1.92,1.92,1.54,0.8,0.4390946434362679
V2-ct2,mountainstreet,boarder,open,50,2,5,10,0.4-0.7,false,0.756,0.754,false,33.46,535.68,1.94,1.94,1.84,1.48,0.40958699495532547
V2-ct2,searound,manta,closed,50,2,5,10,0.4-0.7,false,0.744,0.732,true,26.92,723.52,1.94,1.94,1.58,1.02,0.4303712901335017
V2-ct2,dirt-oval,horse,closed,50,2,5,10,0.4-0.7,false,0.792,0.756,false,34.12,723.44,1.94,1.94,1.6,1.18,0.3955550556776918
V3-dp1,luger-hill,luge,open,50,1,1,10,0.4-0.7,false,0.748,0.72,true,26.84,487.94,0.82,0.82,0.6,0.28,0.4446642499033451
V3-dp1,mountainstreet,boarder,open,50,1,1,10,0.4-0.7,false,0.736,0.736,false,29.88,533.66,0.92,0.9,0.62,0.36,0.41697550705893216
V3-dp1,searound,manta,closed,50,1,1,10,0.4-0.7,false,0.732,0.712,true,25.38,663.8,0.88,0.88,0.42,0.22,0.4374684370772596
V3-dp1,dirt-oval,horse,closed,50,1,1,10,0.4-0.7,false,0.784,0.768,false,30.28,699.82,0.9,0.9,0.56,0.18,0.39849596969785595
V4-dp2,luger-hill,luge,open,50,1,2,10,0.4-0.7,false,0.752,0.718,true,27.12,493.88,0.94,0.94,0.62,0.14,0.4437272560460461
V4-dp2,mountainstreet,boarder,open,50,1,2,10,0.4-0.7,false,0.764,0.75,false,32.5,538.9,0.98,0.98,0.72,0.46,0.418901217893186
V4-dp2,searound,manta,closed,50,1,2,10,0.4-0.7,false,0.712,0.7,true,26.28,696.32,0.98,0.98,0.5,0.26,0.43820493688845563
V4-dp2,dirt-oval,horse,closed,50,1,2,10,0.4-0.7,false,0.812,0.772,false,30.5,713.44,0.98,0.98,0.74,0.32,0.39878115769825917
V5-dp3,luger-hill,luge,open,50,1,3,10,0.4-0.7,false,0.776,0.73,true,27.68,496.96,0.98,0.98,0.74,0.38,0.444044721627603
V5-dp3,mountainstreet,boarder,open,50,1,3,10,0.4-0.7,false,0.756,0.754,false,33.54,545.72,1,1,0.78,0.52,0.41538615738269424
V5-dp3,searound,manta,closed,50,1,3,10,0.4-0.7,false,0.7,0.704,true,26.62,701.6,0.98,0.98,0.6,0.44,0.43589295912367787
V5-dp3,dirt-oval,horse,closed,50,1,3,10,0.4-0.7,false,0.8,0.764,false,31.16,719.7,1,1,0.82,0.44,0.39488186130436875
V6-dp5,luger-hill,luge,open,50,1,5,10,0.4-0.7,false,0.764,0.726,true,27.36,493.78,0.98,0.98,0.84,0.44,0.44293473913363723
V6-dp5,mountainstreet,boarder,open,50,1,5,10,0.4-0.7,false,0.756,0.756,false,34.68,553.9,1,1,0.88,0.94,0.415412186999662
V6-dp5,searound,manta,closed,50,1,5,10,0.4-0.7,false,0.724,0.696,true,26.98,700.88,1,1,0.78,0.56,0.43344830085873043
V6-dp5,dirt-oval,horse,closed,50,1,5,10,0.4-0.7,false,0.8,0.778,false,30.42,726.6,1,1,0.9,0.58,0.3943621070747897
V7-dp7,luger-hill,luge,open,50,1,7,10,0.4-0.7,false,0.764,0.732,true,27.16,495.32,0.98,0.98,0.94,0.78,0.4430473041821099
V7-dp7,mountainstreet,boarder,open,50,1,7,10,0.4-0.7,false,0.724,0.736,false,33.74,560.26,1,1,0.98,1.16,0.41316179827559973
V7-dp7,searound,manta,closed,50,1,7,10,0.4-0.7,false,0.72,0.726,true,25.56,701.74,1,1,0.92,0.78,0.43336850667961224
V7-dp7,dirt-oval,horse,closed,50,1,7,10,0.4-0.7,false,0.808,0.784,false,29.12,722.42,1,1,0.9,1.04,0.39720916277360785
V8-tm-early,luger-hill,luge,open,50,1,5,10,0.3-0.5,false,0.74,0.708,true,26.64,483.16,0.98,0.98,0.82,0.68,0.4416906364369332
V8-tm-early,mountainstreet,boarder,open,50,1,5,10,0.3-0.5,false,0.752,0.74,false,36.02,563.58,1,1,0.96,1.58,0.4141067557320057
V8-tm-early,searound,manta,closed,50,1,5,10,0.3-0.5,false,0.716,0.706,true,24.56,694.76,1,1,0.96,1.28,0.43534654178441556
V8-tm-early,dirt-oval,horse,closed,50,1,5,10,0.3-0.5,false,0.8,0.768,false,32.22,718.98,1,1,0.96,1.5,0.39403000422270773
V9-tm-mid,luger-hill,luge,open,50,1,5,10,0.4-0.7,false,0.764,0.726,true,27.36,493.78,0.98,0.98,0.84,0.44,0.44293473913363723
V9-tm-mid,mountainstreet,boarder,open,50,1,5,10,0.4-0.7,false,0.756,0.756,false,34.68,553.9,1,1,0.88,0.94,0.415412186999662
V9-tm-mid,searound,manta,closed,50,1,5,10,0.4-0.7,false,0.724,0.696,true,26.98,700.88,1,1,0.78,0.56,0.43344830085873043
V9-tm-mid,dirt-oval,horse,closed,50,1,5,10,0.4-0.7,false,0.8,0.778,false,30.42,726.6,1,1,0.9,0.58,0.3943621070747897
V10-tm-late,luger-hill,luge,open,50,1,5,10,0.6-0.85,false,0.752,0.73,true,28.46,495.76,0.98,0.98,0.76,0.34,0.44409152805131
V10-tm-late,mountainstreet,boarder,open,50,1,5,10,0.6-0.85,false,0.74,0.744,false,33.72,545.92,1,1,0.74,0.42,0.4164689173485445
V10-tm-late,searound,manta,closed,50,1,5,10,0.6-0.85,false,0.736,0.71,true,25.98,699.54,1,1,0.66,0.32,0.4366261827050625
V10-tm-late,dirt-oval,horse,closed,50,1,5,10,0.6-0.85,false,0.796,0.76,false,33.86,723.4,1,1,0.8,0.44,0.3975923775751309
V11-fr-top,luger-hill,luge,open,50,1,5,7,0.4-0.7,false,0.756,0.734,true,28.88,492.96,0.98,0.98,0.9,0.72,0.4444397931078461
V11-fr-top,mountainstreet,boarder,open,50,1,5,7,0.4-0.7,false,0.756,0.752,false,36.68,550.04,1,1,0.96,1.2,0.41594617424342517
V11-fr-top,searound,manta,closed,50,1,5,7,0.4-0.7,false,0.74,0.696,true,27.7,693.42,1,1,0.88,0.68,0.43821725464442074
V11-fr-top,dirt-oval,horse,closed,50,1,5,7,0.4-0.7,false,0.792,0.76,false,36.04,715.92,1,1,0.96,1.46,0.39975318310253694
V12-fr-mid,luger-hill,luge,open,50,1,5,10,0.4-0.7,false,0.764,0.726,true,27.36,493.78,0.98,0.98,0.84,0.44,0.44293473913363723
V12-fr-mid,mountainstreet,boarder,open,50,1,5,10,0.4-0.7,false,0.756,0.756,false,34.68,553.9,1,1,0.88,0.94,0.415412186999662
V12-fr-mid,searound,manta,closed,50,1,5,10,0.4-0.7,false,0.724,0.696,true,26.98,700.88,1,1,0.78,0.56,0.43344830085873043
V12-fr-mid,dirt-oval,horse,closed,50,1,5,10,0.4-0.7,false,0.8,0.778,false,30.42,726.6,1,1,0.9,0.58,0.3943621070747897
V13-fr-bot,luger-hill,luge,open,50,1,5,14,0.4-0.7,false,0.748,0.732,true,26.1,503.42,0.98,0.98,0.84,0.8,0.442552796254684
V13-fr-bot,mountainstreet,boarder,open,50,1,5,14,0.4-0.7,false,0.752,0.74,false,32.66,558.74,1,1,0.82,1.02,0.41275217184333834
V13-fr-bot,searound,manta,closed,50,1,5,14,0.4-0.7,false,0.74,0.716,true,24.76,724.04,0.98,0.98,0.7,0.76,0.43309199044037416
