variant,track,racer,type,nRaces,b2n,peak,final,tWin,pack,b1Reach,b2Reach,holmUnfair,top5Mean,totalMean,attackerCast,attackerPeakReached,attackerFreed,releaseEvents,outOfBandFrac
V0-baseline,luger-hill,luge,open,100,0,5,10,0.4-0.7,false,0.764,0.713,,27.19,495.88,0,0,0,0,0.44775654273153964
V0-baseline,mountainstreet,boarder,open,100,0,5,10,0.4-0.7,false,0.79,0.757,,33.02,560.52,0,0,0,0,0.4148324311408138
V0-baseline,searound,manta,closed,100,0,5,10,0.4-0.7,false,0.732,0.711,,26.74,700.07,0,0,0,0,0.43883000232090763
V0-baseline,dirt-oval,horse,closed,100,0,5,10,0.4-0.7,false,0.8,0.768,,30.14,715.4,0,0,0,0,0.39833129302393655
V11-conf,luger-hill,luge,open,100,1,5,7,0.4-0.7,false,0.762,0.72,,28.01,487.99,0.99,0.99,0.91,0.66,0.44396617764303403
V11-conf,mountainstreet,boarder,open,100,1,5,7,0.4-0.7,false,0.786,0.763,,35.13,551.86,1,1,0.96,1.13,0.41378489667429974
V11-conf,searound,manta,closed,100,1,5,7,0.4-0.7,false,0.744,0.706,,27.28,690.85,1,1,0.83,0.65,0.4365297697263604
V11-conf,dirt-oval,horse,closed,100,1,5,7,0.4-0.7,false,0.792,0.761,,35.33,713.23,1,1,0.96,1.35,0.39840107935420055
V11x2,luger-hill,luge,open,100,2,5,7,0.4-0.7,false,0.754,0.723,,30.1,487.46,1.99,1.99,1.78,1.46,0.4412512270333657
V11x2,mountainstreet,boarder,open,100,2,5,7,0.4-0.7,false,0.762,0.74,,34.28,549.06,1.99,1.99,1.94,2.51,0.4136908963546526
V11x2,searound,manta,closed,100,2,5,7,0.4-0.7,false,0.706,0.693,,28.85,683.98,1.99,1.99,1.75,1.46,0.43073388745093344
V11x2,dirt-oval,horse,closed,100,2,5,7,0.4-0.7,false,0.786,0.763,,35.85,699.13,1.99,1.99,1.84,2.51,0.3975087490995497
V11x3,luger-hill,luge,open,100,3,5,7,0.4-0.7,false,0.746,0.72,,32.51,481.93,2.92,2.92,2.57,2.36,0.43672960255177584
V11x3,mountainstreet,boarder,open,100,3,5,7,0.4-0.7,false,0.758,0.741,,38.04,543.65,2.96,2.96,2.84,4.08,0.40942715830895626
V11x3,searound,manta,closed,100,3,5,7,0.4-0.7,false,0.716,0.701,,32.42,663.31,2.94,2.94,2.54,2.37,0.42898808526596177
V11x3,dirt-oval,horse,closed,100,3,5,7,0.4-0.7,false,0.78,0.766,,38.96,684.29,2.94,2.94,2.77,4.4,0.39411067189395244
