variant,track,racer,type,nRaces,b1Reach,b1N,b2Reach,b2N,holmUnfair,holmMinP,top5Mean,top5Std,totalMean,totalStd,releaseEvents,reSteerEvents,releasedFrac,outOfBandFrac
V1-baseline,luger-hill,luge,open,100,0.764,500,0.713,1000,true,0.02,27.19,7.361783655192442,495.88,86.60945430931648,0,0,0,0.44775654273153964
V1-baseline,mountainstreet,boarder,open,100,0.79,500,0.757,1000,false,1,33.02,10.926734889871506,560.52,103.36035619290034,0,0,0,0.4148324311408138
V1-baseline,searound,manta,closed,100,0.732,500,0.711,1000,true,0.02,26.74,9.990520759725444,700.07,175.20996091558388,0,0,0,0.43883000232090763
V1-baseline,dirt-oval,horse,closed,100,0.8,500,0.768,1000,false,0.4,30.14,8.956708450241432,715.4,161.1400043753909,0,0,0,0.39833129302393655
V2-out1,luger-hill,luge,open,100,0.762,500,0.702,1000,true,0.02,27.28,8.156400473669049,474.47,77.44016328036045,76.34,73.65,0.5093523910120349,0.463717630694368
V2-out1,mountainstreet,boarder,open,100,0.79,500,0.766,1000,false,1,33.87,11.238152010275561,533.29,96.03926964076366,83.84,81.17,0.5418508849303119,0.43130279552726736
V2-out1,searound,manta,closed,100,0.75,500,0.727,1000,true,0.02,26.98,12.289422239873566,645.6,162.22991541187915,93.4,90.72,0.5290715747763358,0.448364556650661
V2-out1,dirt-oval,horse,closed,100,0.798,500,0.773,1000,true,0.04,30.42,9.618143629031895,693.13,165.26218257635045,111.14,108.39,0.5576701904194737,0.4137967449771949
V3-out2,luger-hill,luge,open,100,0.728,500,0.672,1000,true,0.02,31.15,9.721760450794202,470.18,77.93941962391773,57.11,54.42,0.5195345530108444,0.4818174794139636
V3-out2,mountainstreet,boarder,open,100,0.734,500,0.72,1000,false,0.96,38.42,11.157440784000821,526.42,87.54129530592053,63.48,60.81,0.5523050970913084,0.45054996299118355
V3-out2,searound,manta,closed,100,0.714,500,0.695,1000,true,0.02,28.3,9.25344598656428,636.9,168.9646726569214,64.77,62.09,0.5413265944111408,0.46407491307540827
V3-out2,dirt-oval,horse,closed,100,0.754,500,0.734,1000,true,0.04,36.22,11.997962790036944,670.08,136.65112106707682,73.99,71.24,0.5691236747132586,0.4325636844915405
V4-out3,luger-hill,luge,open,100,0.67,500,0.626,1000,true,0.02,30.17,9.386273020327144,457.45,75.48461278748648,47.85,45.16,0.5370359886386428,0.4947588530867806
V4-out3,mountainstreet,boarder,open,100,0.694,500,0.684,1000,false,1,39.42,12.392715357797657,512.1,90.79530758132758,52.85,50.17,0.5684740909910091,0.466942268744968
V4-out3,searound,manta,closed,100,0.676,500,0.645,1000,true,0.02,29.12,10.48932116897269,626.22,164.40142912696928,53.26,50.58,0.560130122434759,0.47693092645967805
V4-out3,dirt-oval,horse,closed,100,0.71,500,0.697,1000,true,0.02,36.87,15.887645285795898,659.94,141.9113978808075,57.32,54.56,0.5861447341533617,0.44887863650568993
