arm,track,type,n,finaleLeadMean,deadFinaleRate,duoEscapeRate,deadDuoFinaleRate,frontGroupAtLineMean,frontGroup1Rate,frontGroup2Rate,frontGroup3PlusRate,gapP1P2Med,gapP2P3Med,within3At090Mean,p1Contest62,distinctLeaders62Mean,runawayRate,paradeRate
A0-GR-G150,dirt-oval,closed,100,1.59,0.21,0.09,0.01,4.17,0.14,0.21,0.65,1.1438,0.8119,3.16,0.44,3.36,0.02,0.03
A0-GR-G150,luger-hill,open,100,1.5,0.26,0.03,0,4.51,0.12,0.2,0.68,1.1556,0.7843,3.78,0.33,3.29,0.1,0.01
A0-GR-G150,mountainstreet,open,100,1.54,0.2,0.06,0.01,3.9,0.11,0.27,0.62,1.1583,0.8012,3.2,0.44,3.81,0.05,0.03
A0-GR-G150,searound,closed,100,1.47,0.16,0.05,0.01,3.33,0.23,0.26,0.51,1.5,1.0606,2.56,0.28,2.94,0.13,0.01
A5-carousel,dirt-oval,closed,100,1.78,0.1,0.03,0.01,2.92,0.23,0.3,0.47,1.4995,1.1044,2.34,0.38,3.32,0.02,0.01
A5-carousel,luger-hill,open,100,1.38,0.25,0.03,0,2.91,0.16,0.28,0.56,1.381,0.9952,2.19,0.25,3.03,0.15,0
A5-carousel,mountainstreet,open,100,1.56,0.21,0.06,0.03,3.05,0.21,0.28,0.51,1.4189,1.0572,2.12,0.34,3.3,0.15,0.03
A5-carousel,searound,closed,100,1.65,0.16,0.03,0,3.11,0.2,0.34,0.46,1.6042,1.158,2.01,0.25,3.03,0.09,0.04
A8-G075,dirt-oval,closed,100,1.82,0.12,0.02,0,4.97,0.12,0.12,0.76,1.0895,0.5847,4.36,0.69,3.74,0,0.01
A8-G075,luger-hill,open,100,1.46,0.24,0.04,0.01,5,0.09,0.15,0.76,1.1868,0.6482,4.08,0.42,3.43,0.12,0
A8-G075,mountainstreet,open,100,1.67,0.17,0.06,0.02,4.59,0.09,0.22,0.69,1.0318,0.9696,3.28,0.6,3.91,0.05,0.01
A8-G075,searound,closed,100,1.66,0.1,0.02,0,4.1,0.13,0.25,0.62,1.2106,0.883,2.96,0.45,3.44,0.09,0.01
