arm,track,type,seed,finaleLeadChanges,deadFinale,gapP1P2,gapP2P3,duoEscape,deadDuoFinale,frontGroupAtLine,within3At090,leaderGapP2At090,leadChanges62,distinctLeaders62,p1Contest62,runaway,parade,winnerIsLeaderAt090
A8-G075,luger-hill,open,1,2,0,0.2401,1.3378,0,0,13,8,0.1959,4,4,0,0,0,1
A8-G075,luger-hill,open,2,0,1,1.4142,0.0989,0,0,3,2,2.3349,1,2,0,0,0,1
A8-G075,luger-hill,open,3,1,0,0.1965,0.8115,0,0,7,2,2.0085,1,2,0,0,0,0
A8-G075,luger-hill,open,4,0,1,1.6817,2.8993,0,0,2,1,1.2182,1,2,0,0,0,1
A8-G075,luger-hill,open,5,2,0,0.0131,1.933,1,0,4,2,2.3267,2,3,0,0,0,1
A8-G075,luger-hill,open,6,0,1,0.1984,0.7352,0,0,6,2,1.9391,1,2,0,0,0,1
A8-G075,luger-hill,open,7,0,1,0.5256,1.5464,0,0,6,6,0.7549,2,3,0,0,0,1
A8-G075,luger-hill,open,8,1,0,2.3624,0.0315,0,0,3,0,4.0216,2,3,0,1,0,1
A8-G075,luger-hill,open,9,1,0,1.4302,0.1883,0,0,4,4,0.2901,3,4,1,0,0,1
A8-G075,luger-hill,open,10,1,0,3.3436,3.5466,0,0,1,0,4.5307,1,2,0,1,0,1
A8-G075,luger-hill,open,11,3,0,0.8679,0.9773,0,0,3,2,1.4394,2,3,0,0,0,1
A8-G075,luger-hill,open,12,2,0,0.9642,0.7792,0,0,5,3,0.028,3,4,1,0,0,0
A8-G075,luger-hill,open,13,3,0,1.3373,0.8261,0,0,4,8,0.0276,3,4,1,0,0,0
A8-G075,luger-hill,open,14,2,0,1.4299,0.3537,0,0,7,11,0.0608,3,4,1,0,0,0
A8-G075,luger-hill,open,15,1,0,1.8013,0.3929,0,0,3,4,1.1286,2,3,0,0,0,0
A8-G075,luger-hill,open,16,2,0,1.4413,0.3182,0,0,4,4,0.0479,2,3,0,0,0,0
A8-G075,luger-hill,open,17,3,0,1.9081,0.0472,0,0,3,2,1.72,2,3,0,0,0,0
A8-G075,luger-hill,open,18,2,0,1.0966,0.6482,0,0,5,5,1.926,2,3,0,0,0,1
A8-G075,luger-hill,open,19,1,0,1.6191,0.3172,0,0,5,4,0.6467,6,6,0,0,0,1
A8-G075,luger-hill,open,20,3,0,1.1894,0.2183,0,0,7,5,0.3806,3,4,1,0,0,1
A8-G075,luger-hill,open,21,2,0,0.4361,1.9961,1,0,3,1,0.8378,1,2,0,0,0,0
A8-G075,luger-hill,open,22,1,0,0.1767,0.0605,0,0,17,12,0.6556,4,4,1,0,0,0
A8-G075,luger-hill,open,23,1,0,1.9974,0.4769,0,0,3,9,0.2092,4,5,1,0,0,1
A8-G075,luger-hill,open,24,1,0,1.8714,0.4465,0,0,5,1,2.6327,2,3,0,0,0,0
A8-G075,luger-hill,open,25,4,0,2.5736,2.8538,0,0,2,1,2.6657,2,3,0,0,0,1
A8-G075,luger-hill,open,26,4,0,4.7863,0.7672,0,0,1,0,5.1275,2,3,0,1,0,1
A8-G075,luger-hill,open,27,0,1,0.4442,0.2721,0,0,4,3,0.817,3,4,1,0,0,1
A8-G075,luger-hill,open,28,1,0,1.315,0.2668,0,0,5,9,0.0958,6,5,1,0,0,0
A8-G075,luger-hill,open,29,0,1,0.692,0.8653,0,0,3,2,0.2439,1,2,0,0,0,1
