arm,track,dur,seed,finaleLead,finaleDistinct,dead,frontGroupAtLine,gapP1P2,gapP2P3,runaway,parade,escapeDepthLen
CANDIDATE-G075-s050,luger-hill,60,1,1,2,0,3,2.033,0.771,0,0,1.301
CANDIDATE-G075-s050,luger-hill,60,2,1,2,0,5,1.887,0.528,0,0,2.162
CANDIDATE-G075-s050,luger-hill,60,3,3,4,0,7,0.605,0.297,0,0,1.276
CANDIDATE-G075-s050,luger-hill,60,4,4,5,0,1,3.092,0.812,0,0,3.391
CANDIDATE-G075-s050,luger-hill,60,5,4,5,0,3,1.648,0.14,0,0,1.549
CANDIDATE-G075-s050,luger-hill,60,6,1,2,0,4,1.231,1.283,0,0,1.614
CANDIDATE-G075-s050,luger-hill,60,7,0,1,1,1,3.78,1.879,0,0,1.522
CANDIDATE-G075-s050,luger-hill,60,8,2,3,0,2,2.284,1.441,0,0,2.991
CANDIDATE-G075-s050,luger-hill,60,9,1,2,0,1,4.683,1.528,0,0,4.68
CANDIDATE-G075-s050,luger-hill,60,10,6,7,0,2,1.92,2.697,0,0,2.047
CANDIDATE-G075-s050,luger-hill,60,11,1,2,0,8,0.044,0.731,0,0,1.979
CANDIDATE-G075-s050,luger-hill,60,12,7,8,0,12,0.988,0.013,0,0,1.87
CANDIDATE-G075-s050,luger-hill,60,13,2,2,0,10,0.28,0.117,0,0,2.06
CANDIDATE-G075-s050,luger-hill,60,14,1,2,0,3,0.92,0.281,0,0,1.788
CANDIDATE-G075-s050,luger-hill,60,15,1,2,0,2,1.833,1.659,0,0,1.536
CANDIDATE-G075-s050,luger-hill,60,16,1,2,0,11,1.355,0.409,0,0,3.456
CANDIDATE-G075-s050,luger-hill,60,17,2,3,0,12,0.175,0.235,0,0,1.195
CANDIDATE-G075-s050,luger-hill,60,18,4,5,0,2,1.492,1.532,0,0,1.307
CANDIDATE-G075-s050,luger-hill,60,19,3,4,0,2,2.2,1.446,0,0,2.052
CANDIDATE-G075-s050,luger-hill,60,20,2,3,0,6,0.412,1.935,0,0,1.921
CANDIDATE-G075-s050,luger-hill,60,21,2,3,0,1,3.041,1.757,0,0,3.351
CANDIDATE-G075-s050,luger-hill,60,22,0,1,1,2,1.942,4.404,1,0,4.057
CANDIDATE-G075-s050,luger-hill,60,23,2,3,0,5,0.746,0.518,0,0,0.894
CANDIDATE-G075-s050,luger-hill,60,24,3,4,0,9,0.131,0.891,0,0,1.686
CANDIDATE-G075-s050,luger-hill,60,25,2,3,0,1,3.163,1.318,0,0,1.059
CANDIDATE-G075-s050,luger-hill,60,26,3,4,0,4,0.63,1.397,0,0,2.885
CANDIDATE-G075-s050,luger-hill,60,27,3,4,0,2,0.744,2.982,0,0,2.225
CANDIDATE-G075-s050,luger-hill,60,28,2,3,0,2,2.613,1.386,0,0,2.43
CANDIDATE-G075-s050,luger-hill,60,29,0,1,1,8,1.491,0.475,0,0,1.078
CANDIDATE-G075-s050,luger-hill,60,30,1,2,0,2,1.587,1.48,0,0,2.654
CANDIDATE-G075-s050,luger-hill,60,31,0,1,1,6,1.5,0.653,0,0,1.398
CANDIDATE-G075-s050,luger-hill,60,32,3,4,0,5,1.618,0.291,0,0,1.645
CANDIDATE-G075-s050,luger-hill,60,33,5,6,0,4,0.609,1.499,0,0,1.612
CANDIDATE-G075-s050,luger-hill,60,34,3,4,0,3,1.184,0.526,0,0,2.636
CANDIDATE-G075-s050,luger-hill,60,35,2,3,0,3,1.243,0.222,0,0,2.546
CANDIDATE-G075-s050,luger-hill,60,36,2,3,0,2,2.616,1.982,1,0,0.942
CANDIDATE-G075-s050,luger-hill,60,37,2,3,0,2,1.738,1.474,0,0,1.307
CANDIDATE-G075-s050,luger-hill,60,38,4,5,0,2,2.704,1.141,0,0,0.861
CANDIDATE-G075-s050,luger-hill,60,39,4,5,0,3,1.061,0.641,0,0,1.55
CANDIDATE-G075-s050,luger-hill,60,40,0,1,1,7,0.471,0.253,0,0,3.04
CANDIDATE-G075-s050,luger-hill,60,41,4,5,0,3,0.486,1.398,0,0,1.83
CANDIDATE-G075-s050,luger-hill,60,42,2,3,0,3,0.837,0.856,0,0,2.4
CANDIDATE-G075-s050,luger-hill,60,43,2,3,0,3,1.399,0.485,0,0,1.462
CANDIDATE-G075-s050,luger-hill,60,44,1,2,0,2,1.424,2.079,0,0,2.549
CANDIDATE-G075-s050,luger-hill,60,45,1,2,0,2,1.822,1.188,0,0,1.966
CANDIDATE-G075-s050,luger-hill,60,46,0,1,1,13,0.612,0.241,0,0,2.219
CANDIDATE-G075-s050,luger-hill,60,47,2,3,0,2,0.967,2.26,0,0,2.227
CANDIDATE-G075-s050,luger-hill,60,48,3,4,0,3,0.811,0.134,0,0,2.112
CANDIDATE-G075-s050,luger-hill,60,49,2,3,0,8,1.178,0.075,1,0,1.019
CANDIDATE-G075-s050,luger-hill,60,50,2,3,0,6,0.923,0.242,0,0,1.453
CANDIDATE-G075-s050,luger-hill,60,51,4,5,0,2,1.779,1.276,1,0,4.654
CANDIDATE-G075-s050,luger-hill,60,52,2,3,0,1,3.615,1.681,0,0,1.072
CANDIDATE-G075-s050,luger-hill,60,53,1,2,0,3,2.465,0.468,0,0,1.452
CANDIDATE-G075-s050,luger-hill,60,54,1,2,0,3,0.7,0.282,0,0,1.981
CANDIDATE-G075-s050,luger-hill,60,55,3,4,0,9,0.298,0.362,0,0,1.241
CANDIDATE-G075-s050,luger-hill,60,56,2,3,0,4,1.498,0.415,0,0,2.593
CANDIDATE-G075-s050,luger-hill,60,57,4,5,0,2,1.611,5.423,0,0,1.57
CANDIDATE-G075-s050,luger-hill,60,58,1,2,0,2,1.748,1.341,0,0,1.568
CANDIDATE-G075-s050,luger-hill,60,59,2,3,0,6,0.811,1.57,0,0,0.798
CANDIDATE-G075-s050,luger-hill,60,60,5,6,0,3,2.899,0.073,1,0,3.404
CANDIDATE-G075-s050,luger-hill,60,61,1,2,0,5,1.109,0.098,0,0,1.532
CANDIDATE-G075-s050,luger-hill,60,62,1,2,0,1,3.752,1.013,0,0,2.692
CANDIDATE-G075-s050,luger-hill,60,63,1,2,0,3,0.377,1.057,0,0,1.95
CANDIDATE-G075-s050,luger-hill,60,64,1,2,0,7,0.475,0.362,0,0,2.571
CANDIDATE-G075-s050,luger-hill,60,65,3,4,0,5,0.309,0.681,0,0,1.505
CANDIDATE-G075-s050,luger-hill,60,66,3,4,0,3,1.924,0.669,1,0,3.633
CANDIDATE-G075-s050,luger-hill,60,67,1,2,0,3,1.105,0.744,0,0,1.908
CANDIDATE-G075-s050,luger-hill,60,68,1,2,0,2,1.486,1.627,0,0,1.479
CANDIDATE-G075-s050,luger-hill,60,69,0,1,1,2,0.64,2.548,0,0,1.833
