section,key,owner,shipped,status,verdict,note
"raceDynamicsConfig","areaBonusEarly","1","1","SHIPPED","",""
"raceDynamicsConfig","areaBonusPost","1","1","SHIPPED","",""
"raceDynamicsConfig","areaBonusPulk","0","0","SHIPPED","",""
"raceDynamicsConfig","b2AttackBandArrival","true","true","SHIPPED","",""
"raceDynamicsConfig","b2AttackFinalRank","10","7","DRIFT","NEAR-INERT (conditional on b2AttackBandArrival)","Where a B2 attack hero would be parked after its attack (10 vs shipped 7). The owner also runs b2AttackBandArrival=TRUE (the shipped default), and under band-arrival the attacker is RELEASED the moment it re-enters B2 regardless of this value — defaults.js:373-375 states it verbatim: ""Under band-arrival b2AttackFinalRank only shapes the fall slope (release triggers at B2 re-entry regardless)."" So it can bend the descent slope but cannot change where the hero ends up. Ranked last."
"raceDynamicsConfig","b2AttackHeroes","3","3","SHIPPED","",""
"raceDynamicsConfig","b2AttackPeakRank","5","5","SHIPPED","",""
"raceDynamicsConfig","b2AttackProgress","{""start"":0.4,""end"":0.7}","{""start"":0.4,""end"":0.7}","SHIPPED","",""
"raceDynamicsConfig","b2AttackResolveProgress","0.85","0.85","SHIPPED","",""
"raceDynamicsConfig","carouselAmplitudeRanks","2","2","SHIPPED","",""
"raceDynamicsConfig","carouselEnabled","false","false","SHIPPED","",""
"raceDynamicsConfig","carouselJitterPct","0.15","0.15","SHIPPED","",""
"raceDynamicsConfig","carouselMinParticipants","3","3","SHIPPED","",""
"raceDynamicsConfig","carouselRoleBiasStrength","0","0","SHIPPED","",""
"raceDynamicsConfig","choreoIntensity","0.6","0.6","SHIPPED","",""
"raceDynamicsConfig","choreoOutcomeStart","0.6","0.6","SHIPPED","",""
"raceDynamicsConfig","choreoPackBandStrictness","0.5","0.5","SHIPPED","",""
"raceDynamicsConfig","choreoReleaseProgress","0.97","0.97","SHIPPED","",""
"raceDynamicsConfig","choreoResolveB2","0.8","0.8","SHIPPED","",""
"raceDynamicsConfig","choreoResolveB3","0.7","0.7","SHIPPED","",""
"raceDynamicsConfig","choreoResolveB4","0.65","0.65","SHIPPED","",""
"raceDynamicsConfig","choreoResolveB5","0.6","0.6","SHIPPED","",""
"raceDynamicsConfig","choreoSuppressChaosBonusB1","false","false","SHIPPED","",""
"raceDynamicsConfig","contestWindowStart","0.8","0.8","SHIPPED","",""
"raceDynamicsConfig","enableRowEnvSmooth","true","true","SHIPPED","",""
"raceDynamicsConfig","gapRerollDevMarker","true","false","DRIFT","INERT (diagnostic only)","Only gates a visual dev marker when a gap-biased sample differs (RaceScreen index.jsx:1164) and a HUD line; it never feeds a speed term."
"raceDynamicsConfig","gapRerollEnabled","true","true","SHIPPED","",""
"raceDynamicsConfig","gapRerollMode","""symmetric""","""symmetric""","SHIPPED","",""
"raceDynamicsConfig","gapRerollStrength","1","1","SHIPPED","",""
"raceDynamicsConfig","gapRerollThresholdLengths","0.75","1.5","DRIFT","BEHAVIOUR-CHANGING","The G under test (0.75 vs shipped 1.5). Intended: tighter field. This is the setting the owner deliberately changed."
"raceDynamicsConfig","packReSteerThreshold","1","1","SHIPPED","",""
"raceDynamicsConfig","packReleaseEnabled","true","false","DRIFT","BEHAVIOUR-CHANGING","Turns the shelved pack-release ON. It relaxes pack band-strictness so the field is released from its band corridor; the measured failure mode was endgame leakage (92% of band leaks after progress 0.90) — i.e. exactly a stretched field in the finale."
"raceDynamicsConfig","phaseSplitBonusEnabled","true","true","SHIPPED","",""
"raceDynamicsConfig","pulkBiasGain","2","2","SHIPPED","",""
"raceDynamicsConfig","pulkBoostHeadroom","0.1","0.1","SHIPPED","",""
"raceDynamicsConfig","pulkCeilingCap","true","true","SHIPPED","",""
"raceDynamicsConfig","pulkChallengerBoost","0.06","0.06","SHIPPED","",""
"raceDynamicsConfig","pulkEnvelopeMaxEffect","0.12","0.12","SHIPPED","",""
"raceDynamicsConfig","pulkEnvelopeMaxStepPerFrame","0.01","0.01","SHIPPED","",""
"raceDynamicsConfig","pulkFrontPool","8","8","SHIPPED","",""
"raceDynamicsConfig","pulkLeadRotationAttackerSlots","2","2","SHIPPED","",""
"raceDynamicsConfig","pulkLeadRotationDeadlockTimeoutMs","12000","12000","SHIPPED","",""
"raceDynamicsConfig","pulkLeadRotationDropDepthLengths","8","8","SHIPPED","",""
"raceDynamicsConfig","pulkLeadRotationMinHoldMs","750","750","SHIPPED","",""
"raceDynamicsConfig","pulkLeadRotationOutsiderMaxReachLengths","15","15","SHIPPED","",""
"raceDynamicsConfig","pulkLeaderBrake","0.1","0.1","SHIPPED","",""
"raceDynamicsConfig","racePlanBonusFadeDuration","1500","1500","SHIPPED","",""
"raceDynamicsConfig","racePlanBonusStrengthMultiplier","2","2","SHIPPED","",""
"raceDynamicsConfig","racePlanBonusTransitionEnd","0.75","0.75","SHIPPED","",""
"raceDynamicsConfig","racePlanCorridorEnd","1","1","SHIPPED","",""
"raceDynamicsConfig","racePlanCorridorStart","0.55","0.55","SHIPPED","",""
"raceDynamicsConfig","racePlanMinDurationSec","30","30","SHIPPED","",""
"raceDynamicsConfig","racePlanPulkStart","0.25","0.25","SHIPPED","",""
"raceDynamicsConfig","reRollIntervalDivisor","10","10","SHIPPED","",""
"raceDynamicsConfig","reRollLastPositionPercent","95","95","SHIPPED","",""
"raceDynamicsConfig","reRollTransitionDuration","3","3","SHIPPED","",""
"raceDynamicsConfig","reRollVariationPercent","75","75","SHIPPED","",""
"raceDynamicsConfig","rowBonusEarly","1","1","SHIPPED","",""
"raceDynamicsConfig","rowBonusPost","1","1","SHIPPED","",""
"raceDynamicsConfig","rowBonusPulk","0","0","SHIPPED","",""
"raceDynamicsConfig","trajectoryTransitionDuration","1","1","SHIPPED","",""
"raceDynamicsConfig","universalBandArrival","false","false","SHIPPED","",""
"raceBehaviorConfig","avoidanceBufferPct","0.2","0.2","SHIPPED","",""
"raceBehaviorConfig","avoidanceDistance","0.18","0.18","SHIPPED","",""
"raceBehaviorConfig","avoidanceWarmupMs","3000","3000","SHIPPED","",""
"raceBehaviorConfig","brakeHoldEscapeCooldownFrames","60","60","SHIPPED","",""
"raceBehaviorConfig","brakeHoldEscapeReleaseDurationFrames","15","15","SHIPPED","",""
"raceBehaviorConfig","brakeHoldTimeoutFrames","90","90","SHIPPED","",""
"raceBehaviorConfig","brakeMatchActivationTMultiplier","0.5","0.5","SHIPPED","",""
"raceBehaviorConfig","brakeMatchActivationYThreshold","0.06","0.06","SHIPPED","",""
"raceBehaviorConfig","brakeReleaseDebounceFrames","3","3","SHIPPED","",""
"raceBehaviorConfig","comfortThreshold","0.7","0.7","SHIPPED","",""
"raceBehaviorConfig","draftingBoost","1.04","1.04","SHIPPED","",""
"raceBehaviorConfig","draftingConeAngle","30","30","SHIPPED","",""
"raceBehaviorConfig","draftingMaxDistance","80","80","SHIPPED","",""
"raceBehaviorConfig","enabled","true","true","SHIPPED","",""
"raceBehaviorConfig","hardSeparationEnabled","true","true","SHIPPED","",""
"raceBehaviorConfig","hardSeparationRelaxation","0.15","0.15","SHIPPED","",""
"raceBehaviorConfig","hardSeparationTolerancePct","0.1","0.1","SHIPPED","",""
"raceBehaviorConfig","laneTargetEaseMs","200","200","SHIPPED","",""
"raceBehaviorConfig","lateralDamping","0.16","0.16","SHIPPED","",""
"raceBehaviorConfig","lateralForce","0.0114","0.0114","SHIPPED","",""
"raceBehaviorConfig","lateralVelocityResetSoftness","0.5","0.5","SHIPPED","",""
"raceBehaviorConfig","lookBeforeBrakeEnabled","true","true","SHIPPED","",""
"raceBehaviorConfig","lookBeforeBrakeLagFrames","2","2","SHIPPED","",""
"raceBehaviorConfig","lookBeforeBrakeMinDifferential","0.005","0.005","SHIPPED","",""
"raceBehaviorConfig","lookBeforeBrakePassStrength","0.5","0.5","SHIPPED","",""
"raceBehaviorConfig","lookBeforeBrakeReengageTMultiplier","1.2","1.2","SHIPPED","",""
"raceBehaviorConfig","lookBeforeBrakeRequireSlowerLeader","true","true","SHIPPED","",""
"raceBehaviorConfig","maxLateral","0.95","0.95","SHIPPED","",""
"raceBehaviorConfig","maxLateralSpeedPerStep","0.028","0.028","SHIPPED","",""
"raceBehaviorConfig","runoutZone","0.05","0.05","SHIPPED","",""
"raceBehaviorConfig","softRepulsionStrength","0.1","0.1","SHIPPED","",""
