track,type,dur,band,g,v,dRaceLen,ratioP50,ratioP95,ratioMax,deliverPct,marginalPct,undeliverPct,verdict
luger-hill,open,30,full,0.2255,3.1637,94.9122,0.3505,0.9346,1.139,0.8985,0.0798,0.0217,DELIVERABLE
luger-hill,open,30,reduced,0.2255,3.1637,94.9122,0.6752,1.8004,2.1942,0.5883,0.0947,0.317,MARGINAL
luger-hill,open,60,full,0.3175,3.1297,187.7798,0.2494,0.6652,0.8107,0.9988,0.0012,0,DELIVERABLE
luger-hill,open,60,reduced,0.3175,3.1297,187.7798,0.4805,1.2814,1.5617,0.7382,0.11,0.1517,MARGINAL
luger-hill,open,120,full,0.3207,1.7868,214.4198,0.2207,0.5885,0.7172,1,0,0,DELIVERABLE
luger-hill,open,120,reduced,0.3207,1.7868,214.4198,0.4251,1.1336,1.3816,0.806,0.104,0.09,MARGINAL
luger-hill,open,300,full,0.258,0.7139,214.1659,0.1777,0.474,0.5777,1,0,0,DELIVERABLE
luger-hill,open,300,reduced,0.258,0.7139,214.1659,0.3424,0.9131,1.1128,0.91,0.0745,0.0155,DELIVERABLE
mountainstreet,open,30,full,0.2395,5.4019,162.056,0.2181,0.5815,0.7087,1,0,0,DELIVERABLE
mountainstreet,open,30,reduced,0.2395,5.4019,162.056,0.4201,1.1202,1.3653,0.806,0.104,0.09,MARGINAL
mountainstreet,open,60,full,0.4135,5.4075,324.4506,0.188,0.5014,0.611,1,0,0,DELIVERABLE
mountainstreet,open,60,reduced,0.4135,5.4075,324.4506,0.3622,0.9658,1.1771,0.8818,0.088,0.0302,DELIVERABLE
mountainstreet,open,120,full,0.6276,5.1587,619.0381,0.1496,0.3989,0.4861,1,0,0,DELIVERABLE
mountainstreet,open,120,reduced,0.6276,5.1587,619.0381,0.2882,0.7684,0.9365,0.9698,0.0302,0,DELIVERABLE
mountainstreet,open,300,full,0.4753,2.0637,619.1077,0.1133,0.302,0.3681,1,0,0,DELIVERABLE
mountainstreet,open,300,reduced,0.4753,2.0637,619.1077,0.2182,0.5819,0.7091,1,0,0,DELIVERABLE
searound,closed,30,full,0.3465,3.5562,106.6875,0.4791,1.2776,1.5571,0.7608,0.1045,0.1348,MARGINAL
searound,closed,30,reduced,0.3465,3.5562,106.6875,0.9229,2.4612,2.9996,0.4505,0.105,0.4445,MARGINAL
searound,closed,60,full,0.4864,3.5469,212.8126,0.3372,0.8991,1.0958,0.91,0.0745,0.0155,DELIVERABLE
searound,closed,60,reduced,0.4864,3.5469,212.8126,0.6495,1.7321,2.111,0.5883,0.1197,0.292,MARGINAL
searound,closed,120,full,0.6446,3.554,426.4755,0.223,0.5946,0.7247,1,0,0,DELIVERABLE
searound,closed,120,reduced,0.6446,3.554,426.4755,0.4296,1.1455,1.3961,0.806,0.0925,0.1015,MARGINAL
searound,closed,300,full,0.4925,1.4212,426.3598,0.1704,0.4544,0.5539,1,0,0,DELIVERABLE
searound,closed,300,reduced,0.4925,1.4212,426.3598,0.3283,0.8755,1.067,0.9255,0.0648,0.0097,DELIVERABLE
dirt-oval,closed,30,full,0.2654,2.9114,87.3432,0.4482,1.1953,1.4568,0.7835,0.0983,0.1182,MARGINAL
dirt-oval,closed,30,reduced,0.2654,2.9114,87.3432,0.8635,2.3026,2.8063,0.489,0.0665,0.4445,MARGINAL
dirt-oval,closed,60,full,0.4031,2.9304,175.8264,0.3383,0.902,1.0994,0.91,0.0745,0.0155,DELIVERABLE
dirt-oval,closed,60,reduced,0.4031,2.9304,175.8264,0.6516,1.7377,2.1178,0.5883,0.1197,0.292,MARGINAL
dirt-oval,closed,120,full,0.6177,2.9362,352.3454,0.2587,0.6897,0.8406,0.9955,0.0045,0,DELIVERABLE
dirt-oval,closed,120,reduced,0.6177,2.9362,352.3454,0.4983,1.3287,1.6194,0.7382,0.11,0.1517,MARGINAL
dirt-oval,closed,300,full,0.4453,1.1758,352.7287,0.1862,0.4966,0.6053,1,0,0,DELIVERABLE
dirt-oval,closed,300,reduced,0.4453,1.1758,352.7287,0.3588,0.9567,1.166,0.8818,0.088,0.0302,DELIVERABLE
