arm,track,type,n,finaleLeadMean,finaleDistinctMean,deadFinaleRate,duoEscapeRate,frontGroupAtLineMean,gapP1P2Med,gapP2P3Med,leaderToMedianMed,leaderToMedianP90,within3At090Mean,bandReach,runawayRate,paradeRate
OWNERCFG,city-circuit,closed,100,1.76,2.68,0.15,0.07,4.8,1.0367,0.6411,10.81,14.7571,3.32,0.7468,0.01,0.01
OWNERCFG,dirt-oval,closed,100,1.62,2.57,0.2,0.08,4.29,1.2647,0.8393,10.987,16.5206,3.4,0.7518,0.03,0.04
OWNERCFG,mountainstreet,open,100,1.98,2.94,0.17,0.07,3.89,1.3156,0.9399,11.4874,14.4756,2.64,0.6962,0.1,0.02
OWNERCFG,searound,closed,100,1.59,2.51,0.19,0.04,3.32,1.5144,0.9148,11.9549,15.9512,2.42,0.7295,0.19,0.05
OWNERCFG-NOPACK,city-circuit,closed,100,1.95,2.9,0.12,0.04,5.2,0.9902,0.5508,10.405,13.8228,3.91,0.7807,0.02,0.01
OWNERCFG-NOPACK,dirt-oval,closed,100,1.95,2.8,0.13,0.02,4.92,0.9992,0.6684,10.5992,14.7532,3.68,0.7788,0.02,0.01
OWNERCFG-NOPACK,mountainstreet,open,100,1.96,2.95,0.18,0.05,4.69,1.1496,0.8843,11.373,14.5971,3.31,0.7088,0.05,0.02
OWNERCFG-NOPACK,searound,closed,100,1.7,2.66,0.16,0.03,4.05,1.245,0.9517,10.8148,14.9477,2.91,0.7595,0.09,0
PROD-G075,city-circuit,closed,100,1.79,2.68,0.19,0.02,5.9,1.0317,0.7463,10.3736,14.6007,4.47,0.7648,0.03,0
PROD-G075,dirt-oval,closed,100,1.82,2.78,0.12,0.03,4.97,1.0895,0.5847,10.247,14.5391,4.36,0.7827,0,0.01
PROD-G075,mountainstreet,open,100,2.17,3.14,0.13,0.08,4.37,1.1469,0.9473,11.5168,14.4536,3.64,0.7075,0.07,0.02
PROD-G075,searound,closed,100,1.66,2.61,0.1,0.03,4.1,1.2106,0.883,11.4385,16.1496,2.96,0.745,0.09,0.01
PROD-G15,city-circuit,closed,100,1.85,2.77,0.16,0.02,4.68,1.1998,0.625,11.5658,15.7432,3.32,0.7687,0.05,0.02
PROD-G15,dirt-oval,closed,100,1.59,2.54,0.21,0.09,4.17,1.1438,0.8119,11.3144,17.1292,3.16,0.783,0.02,0.03
PROD-G15,mountainstreet,open,100,1.86,2.85,0.12,0.06,4.06,1.1997,0.9938,12.0969,14.2595,3.6,0.701,0.11,0.01
PROD-G15,searound,closed,100,1.47,2.45,0.16,0.03,3.33,1.5,1.0606,12.3632,16.827,2.56,0.7347,0.13,0.01
