arm,track,type,seed,finaleLeadChanges,finaleDistinctLeaders,deadFinale,gapP1P2,gapP2P3,leaderToMedianLen,frontGroupAtLine,duoEscape,within3At090,bandReach,runaway,parade
PROD-G075,city-circuit,closed,1,3,3,0,0.0109,0.4335,13.131,6,0,4,0.7648,0,0
PROD-G075,city-circuit,closed,2,0,1,1,1.2221,1.6166,11.18,3,0,2,0.7648,0,0
PROD-G075,city-circuit,closed,3,1,2,0,0.629,0.2423,10.9202,10,0,8,0.7648,0,0
PROD-G075,city-circuit,closed,4,2,3,0,2.193,0.5688,6.9507,5,0,7,0.7648,0,0
PROD-G075,city-circuit,closed,5,2,3,0,2.1645,1.4992,6.4721,2,0,1,0.7648,0,0
PROD-G075,city-circuit,closed,6,3,4,0,1.4041,0.0937,9.7446,4,0,5,0.7648,0,0
PROD-G075,city-circuit,closed,7,1,2,0,0.5976,1.1327,9.8663,4,0,1,0.7648,0,0
PROD-G075,city-circuit,closed,8,1,2,0,1.0317,0.1676,5.999,3,0,1,0.7648,0,0
PROD-G075,city-circuit,closed,9,0,1,1,1.1999,0.3019,18.5345,4,0,2,0.7648,0,0
PROD-G075,city-circuit,closed,10,3,4,0,0.5652,0.109,9.5762,10,0,8,0.7648,0,0
PROD-G075,city-circuit,closed,11,2,3,0,0.6972,0.8756,8.9093,6,0,6,0.7648,0,0
PROD-G075,city-circuit,closed,12,5,6,0,0.2145,0.7377,12.6666,6,0,5,0.7648,0,0
PROD-G075,city-circuit,closed,13,2,3,0,1.1983,2.1902,10.668,2,0,7,0.7648,0,0
PROD-G075,city-circuit,closed,14,0,1,1,3.1748,1.1114,18.4631,1,0,1,0.7648,0,0
PROD-G075,city-circuit,closed,15,4,5,0,0.4965,0.8007,13.4636,4,0,2,0.7648,0,0
PROD-G075,city-circuit,closed,16,1,2,0,2.8275,1.5272,8.9168,2,0,2,0.7648,0,0
PROD-G075,city-circuit,closed,17,2,3,0,0.007,1.5024,8.7025,4,1,1,0.7648,0,0
PROD-G075,city-circuit,closed,18,1,2,0,0.6968,0.4755,8.2383,13,0,5,0.7648,0,0
