G,track,seed,escapeDepthLen,escapeDepthCapped,maxLeaderGapLen,leaderDownCount,finaleLead,finaleDistinct,dead,frontGroupAtLine,duoEscape,gapP1P2,gapP2P3,runaway,parade,bandReach
0.50,searound,1,1.674,1,6.096,2,2,3,0,3,0,0.019,0.639,0,0,0.743
0.50,searound,2,1.958,1,4.866,4,0,1,1,1,0,4.87,1.202,0,0,0.743
0.50,searound,3,1.898,1,5.692,2,2,3,0,4,0,1.123,0.593,1,0,0.743
0.50,searound,4,2.118,1,2.576,3,3,4,0,15,0,0.273,0.201,0,0,0.743
0.50,searound,5,1.69,1,2.255,2,2,3,0,3,0,0.99,0.994,0,0,0.743
0.50,searound,6,1.178,1,6.985,3,0,1,1,1,0,4.846,3.166,1,0,0.743
0.50,searound,7,1.546,1,5.276,2,2,3,0,3,1,0.311,1.441,0,0,0.743
0.50,searound,8,1.502,1,2.774,3,6,7,0,4,0,1.213,0.08,0,0,0.743
0.50,searound,9,1.534,1,2.405,2,3,2,0,3,0,1.277,1.301,0,0,0.743
0.50,searound,10,1.447,1,3.001,3,2,3,0,4,0,1.302,0.712,0,0,0.743
0.50,searound,11,1.905,1,1.984,2,0,1,1,9,0,1.354,0.195,0,0,0.743
0.50,searound,12,2.813,1,6.827,2,0,1,1,2,0,1.198,3.559,1,0,0.743
0.50,searound,13,1.536,1,6.641,2,0,1,1,1,0,3.165,1.31,0,0,0.743
0.50,searound,14,1.522,1,5.466,3,2,3,0,2,0,2.212,5.466,0,0,0.743
0.50,searound,15,3.225,1,5.221,1,1,2,0,1,0,5.227,0.684,1,0,0.743
0.50,searound,16,2.323,1,5.512,2,0,1,1,1,0,3.437,5.051,1,0,0.743
0.50,searound,17,4.342,1,5.683,1,2,3,0,1,0,3.527,3.647,0,0,0.743
0.50,searound,18,1.514,1,4.527,2,2,3,0,1,0,4.388,1.807,0,0,0.743
0.50,searound,19,1.528,1,2.545,4,1,2,0,3,0,2.554,0.238,0,0,0.743
