arm,track,raceIdx,startP,endP,durationMs,peakGapLen,resolved,corrected,hadCorrectableRollAhead,startedAfterWindowEnd,cause
s0.50,city-circuit,0,0.0745,0.1267,5424,0.99,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,0,0.2474,0.2519,432,0.7769,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,0,0.3099,0.312,224,0.7807,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,0,0.359,0.3703,1232,0.8588,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,0,0.6477,0.7789,13440,2.9309,1,1,1,0,CORRECTED
s0.50,city-circuit,0,0.8118,0.9891,19920,1.2062,1,1,1,0,CORRECTED
s0.50,city-circuit,1,0.0935,0.2588,16032,1.5298,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,1,0.288,0.2892,128,0.766,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,1,0.363,0.3917,3136,1.0978,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,1,0.5251,0.553,3040,1.1567,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,1,0.8075,0.8108,336,0.7741,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,1,0.8593,1,20832,2.7989,0,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,2,0.1546,0.2725,11536,1.5015,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,2,0.5244,0.5506,2784,0.8832,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,2,0.6137,0.7589,16800,3.6602,1,1,1,0,CORRECTED
s0.50,city-circuit,2,0.879,0.9121,3408,1.2725,1,1,1,0,CORRECTED
s0.50,city-circuit,2,0.975,1,12384,1.278,0,0,0,1,OUT-OF-ROLLS
s0.50,city-circuit,3,0.1375,0.2889,15184,2.7304,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,3,0.3113,0.327,1712,0.9852,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,3,0.6365,0.6632,2896,1.184,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,3,0.6955,0.7423,5472,0.9767,1,1,1,0,CORRECTED
s0.50,city-circuit,3,0.7692,0.8619,10352,2.5489,1,1,1,0,CORRECTED
s0.50,city-circuit,3,0.92,1,14352,1.7122,0,0,0,0,OUT-OF-ROLLS
s0.50,city-circuit,4,0.0488,0.2653,22336,2.2,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,4,0.7337,0.8752,15904,2.6495,1,1,1,0,CORRECTED
s0.50,city-circuit,4,0.9044,1,13792,1.5827,0,0,0,1,OUT-OF-ROLLS
s0.50,city-circuit,5,0.1951,0.2354,4064,0.9465,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,5,0.6164,0.7102,10528,1.7749,1,1,1,0,CORRECTED
