S,track,seed,escapeDepthLen,escapeDepthCapped,maxLeaderGapLen,leaderDownCount,finaleLead,finaleDistinct,dead,frontGroupAtLine,duoEscape,gapP1P2,gapP2P3,runaway,parade,bandReach
0.50,searound,1,7.29,1,7.34,1,1,2,0,3,0,0.985,1.434,0,0,0.72
0.50,searound,2,1.958,1,3.359,2,1,2,0,2,0,2.219,1.844,1,0,0.72
0.50,searound,3,1.898,1,5.821,2,0,1,1,4,0,2.072,0.601,1,0,0.72
0.50,searound,4,2.118,1,4.754,3,0,1,1,5,0,1.04,0.563,0,0,0.72
0.50,searound,5,1.69,1,3.421,2,1,2,0,3,0,0.56,0.112,0,0,0.72
0.50,searound,6,1.178,1,7.011,3,2,3,0,1,0,5.234,0.65,1,0,0.72
0.50,searound,7,1.546,1,4.714,2,2,3,0,13,0,0.321,0.366,0,0,0.72
0.50,searound,8,2.806,1,4.006,1,2,3,0,2,0,2.404,1.698,0,0,0.72
0.50,searound,9,1.534,1,3.167,3,3,3,0,3,0,0.682,1.504,0,0,0.72
0.50,searound,10,2.173,1,3.727,2,0,1,1,5,1,0.086,1.944,0,0,0.72
0.50,searound,11,2.075,1,2.227,2,1,2,0,4,0,1.505,1.243,0,0,0.72
0.50,searound,12,2.813,1,4.298,2,2,3,0,2,0,2.918,1.201,1,0,0.72
0.50,searound,13,1.536,1,4.8,1,1,2,0,2,0,1.219,4.711,0,0,0.72
0.50,searound,14,1.522,1,2.014,2,1,2,0,3,0,0.207,1.203,0,0,0.72
0.50,searound,15,3.225,1,5.603,2,1,2,0,1,0,5.609,0.998,1,0,0.72
0.50,searound,16,2.323,1,2.41,1,2,3,0,7,0,0.973,0.023,0,0,0.72
0.50,searound,17,5.618,1,6.542,1,3,4,0,2,0,2.604,1.197,0,0,0.72
0.50,searound,18,3.176,1,3.681,1,2,3,0,1,0,3.007,0.484,0,0,0.72
0.50,searound,19,1.528,1,5.317,3,0,1,1,2,0,2.107,5.317,0,0,0.72
0.50,searound,20,4.831,1,4.831,1,1,2,0,2,0,0.841,2.618,0,0,0.72
0.50,searound,21,2.581,1,4.225,1,1,2,0,1,0,4.161,4.225,0,0,0.72
0.50,searound,22,1.561,1,3.576,2,3,4,0,4,0,1.099,0.305,0,0,0.72
0.50,searound,23,3.475,1,4.152,2,1,2,0,3,0,1.613,0.908,0,0,0.72
0.50,searound,24,3.34,1,5.873,1,0,1,1,3,0,1.565,1.074,0,0,0.72
0.50,searound,25,1.954,1,4.465,2,3,4,0,3,0,0.855,0.492,0,0,0.72
0.50,city-circuit,1,2.657,1,2.931,2,3,4,0,5,0,0.415,0.785,0,0,0.788
